"Life Regen",生命回复
"Gain {0} Resolve when you kill a Boss","当你消灭首领时，获得 {0} 坚毅"
"Gain {0} Resolve when you use a Fountain","每次你使用喷泉时，获得 {0} 坚毅"
"Recover {0} Resolve when you complete a Room","完成一个房间后恢复 {0} 坚毅"
"{0}% increased Resolve Recovered","坚毅恢复提高 {0}%"
"{0}% reduced Resolve Recovered","坚毅恢复减少 {0}%"
"An additional Room is revealed on the Sanctum Map",禁域地图上揭晓了一个额外的房间
"{0} additional Rooms are revealed on the Sanctum Map","禁域地图上揭晓了 {0} 个额外的房间"
"The Merchant has an additional Choice",商人会提供一个额外选择
"The Merchant has {0} additional Choices","商人会提供 {0} 个额外选择"
"{0}% increased Merchant Prices","商人处的出售价格提高 {0}%"
"{0}% reduced Merchant Prices","商人处的出售价格减少 {0}%"
"Monsters have {0}% chance to drop Double Aureus Coins","怪物有 {0}% 的几率掉落双倍耀金币"
"Gain {0} Aureus Coins at the start of the Sanctum","每个禁域开始时获得 {0} 枚耀金币"
"{0}% increased Maximum Resolve","最大坚毅提高 {0}%"
"{0}% reduced Maximum Resolve","最大坚毅降低 {0}%"
"{0} to Maximum Resolve","增加 {0} 最大坚毅"
"Gain {0} Inspiration at the start of the Sanctum","每个禁域开始时获得 {0} 层启迪"
"{0}% chance for found Sentinels to be Duplicated",有{0}%几率复制发现的护卫
"Spawns Worms",产生蛊虫
"Grants Level {0} Anger Aura",获得{0}级愤怒光环
"Grants Level {0} Purity of Ice Aura",获得{0}级冰霜净化光环
"Grants Level {0} Determination Aura",获得{0}级坚定光环
"Grants Level {0} Discipline Aura",获得{0}级纪律光环
"Grants Level {0} Purity of Fire Aura",获得{0}级火焰净化光环
"Grants Level {0} Grace Aura",获得{0}级优雅光环
"Grants Level {0} Haste Aura",获得{0}级迅捷光环
"Grants Level {0} Hatred Aura",获得{0}级憎恨光环
"Grants Level {0} Purity of Lightning Aura",赋予{0}级闪电净化光环
"Grants Level {0} Malevolence Aura",获得{0}级怨毒光环
"Grants Level {0} Purity of Elements Aura",获得{0}级元素净化光环
"Grants Level {0} Wrath Aura",获得{0}级雷霆光环
"Grants Level {0} Zealotry Aura",获得{0}级奋锐光环
"Cannot Empower Enemies",无法强化敌人
"{0} to Charge",充能{0}
"{0} second to Duration",持续时间延长{0}秒
"{0} seconds to Duration",持续时间延长{0}秒
"Empowers many enemies in one shot",一次射击能为多个敌人赋能
"Can only empower Rare enemies",只能为稀有怪物赋能
"Can only empower Rare or Unique enemies",只能为稀有或传奇怪物赋能
"{0}% increased number of Empowered Enemies",赋能的敌人数量增加{0}%
"{0}% reduced number of Empowered Enemies",赋能的敌人数量减少{0}%
"Empowers {0} Enemies","强化 {0}个敌人"
"Beams Chain an additional time",光束可额外连锁一次
"Beams Chain {0} times",光束可额外连锁{0}次
"Stalker Sentinels do not Empower Normal rarity enemies",追猎护卫不会强化普通稀有度敌人
"Stalker Sentinels have {0}% increased Cast Speed",追猎护卫有{0}%几率提升施法速度
"Stalker Sentinels have {0}% reduced Cast Speed",追猎护卫有{0}%几率降低施法速度
"Stalker Sentinels have {0}% increased Chaining range",追猎护卫有{0}%几率提升链接范围
"Stalker Sentinels have {0}% reduced Chaining range",追猎护卫有{0}%几率降低链接范围
"Stalker Sentinels have {0}% increased chance to add Rewards",追猎护卫附加奖励的几率增加{0}%
"Stalker Sentinels have {0}% reduced chance to add Rewards",追猎护卫附加奖励的几率减少{0}%
"Stalker Sentinels have {0}% chance to not consume Charge on use",使用追猎护卫时有{0}%几率不消耗能量球
"Stalker Sentinels do not consume Charge on use",使用追猎护卫时不消耗能量球
"Stalker Sentinels have {0}% chance to duplicate non-unique Enemies when they are Empowered",强化后的追猎护卫有{0}%机会复制非传奇敌人
"Stalker Sentinels duplicate non-unique Enemies when they are Empowered",强化后的追猎护卫会复制非传奇敌人
"Stalker Sentinels fire an additional Beam",追猎护卫额外发射一道光束
"Stalker Sentinels fire {0} additional Beams",追猎护卫额外发射{0}道光束
"Stalker Sentinel Beams Chain an additional time",追猎护卫光束链接次数增加
"Stalker Sentinel Beams Chain {0} times",追猎护卫光束链接{0}次
"{0}% increased number of Enemies Empowered by Stalker Sentinels",被追猎护卫强化的敌人数量增加{0}%
"{0}% reduced number of Enemies Empowered by Stalker Sentinels",被追猎护卫强化的敌人数量减少{0}%
"Pandemonium Sentinels can be Deployed an additional time each area",魔域护卫可以在每个区域额外部署一次
"Pandemonium Sentinels can be Deployed {0} additional times each area",魔域护卫可以在每个区域额外部署{0}次
"Pandemonium Sentinels have {0}% increased Cast Speed",魔域护卫有{0}%几率提升施法速度
"Pandemonium Sentinels have {0}% reduced Cast Speed",魔域护卫有{0}%几率降低施法速度
"Pandemonium Sentinels have {0}% increased Chaining range",魔域护卫提供的连锁范围扩大{0}%
"Pandemonium Sentinels have {0}% reduced Chaining range",魔域护卫提供的连锁范围缩小{0}%
"Pandemonium Sentinels have {0}% chance to not consume Charge on use",使用魔域护卫时有{0}%几率不消耗能量球
"Pandemonium Sentinels do not consume Charge on use",使用魔域护卫时不消耗能量球
"Pandemonium Sentinels have {0}% increased Duration",魔域护卫有{0}%几率增加持续时间
"Pandemonium Sentinels have {0}% reduced Duration",魔域护卫有{0}%几率减少持续时间
"Pandemonium Sentinels fire an additional Beam",魔域护卫额外发射一道光束
"Pandemonium Sentinels fire {0} additional Beams",魔域护卫额外发射{0}道光束
"Pandemonium Sentinel Beams Chain an additional time",魔域护卫光束链接次数增加
"Pandemonium Sentinel Beams Chain {0} times",魔域护卫光束链接{0}次
"Pandemonium Sentinels restore all of the Character's Flask Charges on Deployment",魔域护卫恢复角色在部署时的所有药剂充能
"Pandemonium Sentinels grant maximum Vaal Souls to one of the Character's Vaal Skills on Deployment",魔域护卫将最大瓦尔之灵给予角色在部署时的其中一个瓦尔技能
"Pandemonium Sentinels spawn packs of Monsters on Deployment",魔域护卫在部署时会产生大量怪物
"{0}% increased number of Enemies Empowered by Pandemonium Sentinels",被魔域护卫强化的敌人数量增加{0}%
"{0}% reduced number of Enemies Empowered by Pandemonium Sentinels",被魔域护卫强化的敌人数量减少{0}%
"Apex Sentinels can be re-deployed after being dismissed",巅峰护卫可以在解散后重新部署
"Apex Sentinels do not Empower Rare rarity enemies",巅峰护卫不会强化稀有度为“稀有”的敌人
"Apex Sentinels have {0}% increased Cast Speed",巅峰护卫有{0}%几率提升施法速度
"Apex Sentinels have {0}% reduced Cast Speed",巅峰护卫有{0}%几率降低施法速度
"Apex Sentinels have {0}% chance to not consume Charge on use",使用巅峰护卫时有{0}%几率不消耗能量球
"Apex Sentinels do not consume Charge on use",使用巅峰护卫时不消耗能量球
"Apex Sentinels have {0}% increased Empowerment",巅峰护卫有{0}%几率提升强化
"Apex Sentinels have {0}% reduced Empowerment",巅峰护卫有{0}%几率降低强化
"Apex Sentinels have {0}% increased Duration",巅峰护卫有{0}%几率增加持续时间
"Apex Sentinels have {0}% reduced Duration",巅峰护卫有{0}%几率减少持续时间
"Apex Sentinels grant {0}% increased Rewards",巅峰护卫有{0}%几率增加奖励
"Apex Sentinels grant {0}% reduced Rewards",巅峰护卫有{0}%几率减少奖励
"Apex Sentinels Sap Enemies for {0} Seconds with maximum effect on Empowering them",巅峰护卫用强化敌人的最大效果吸取敌人能量{0}秒
"Enemies Empowered by Apex Sentinels have {0}% chance for Rewards to be doubled",经巅峰护卫强化的敌人有{0}%机会奖励加倍
"Enemies Empowered by Apex Sentinels have Rewards doubled",经巅峰护卫强化的敌人有机会奖励加倍
"Apex Sentinels can Empower an additional Enemy",巅峰护卫能额外强化一名敌人
"Apex Sentinels can Empower {0} additional Enemies",巅峰护卫能额外强化{0}名敌人
"Enemies Empowered by Apex Sentinels have Onslaught",经巅峰护卫强化的敌人有猛攻效果
"Enemies Empowered by Apex Sentinels have {0}% to all Resistances","经巅峰护卫强化的敌人有{0}% 几率获得所有抗性"
"Cleanses Corrupted Fish",净化腐化的鱼
"Purifies Corrupted Water",净化腐化的水
"{0}% increased chance to add Rewards",附加奖励的几率增加{0}%
"{0}% reduced chance to add Rewards",附加奖励的几率减少{0}%
"Debilitates Empowered Enemies for {0} second",使赋能的敌人疲惫，持续{0}秒
"Debilitates Empowered Enemies for {0} seconds",使赋能的敌人疲惫，持续{0}秒
"Destroyed on Empowering target Enemy",为目标敌人赋能时被摧毁
"Sentinels have {0}% increased Aggro Radius",护卫有{0}%几率增加引怪距离
"Sentinels have {0}% reduced Aggro Radius",护卫有{0}%几率减少引怪距离
"Sentinels have {0}% increased Cast Speed",护卫有{0}%几率提升施法速度
"Sentinels have {0}% reduced Cast Speed",护卫有{0}%几率降低施法速度
"Sentinels have {0}% chance to not consume Charge on use",使用护卫时有{0}%几率不消耗能量球
"Sentinels do not consume Charge on use",使用护卫时不消耗能量球
"Sentinels have {0}% increased Empowerment",护卫有{0}%几率提升强化
"Sentinels have {0}% reduced Empowerment",护卫有{0}%几率降低强化
"Sentinels have {0}% increased Duration",护卫有{0}%几率增加持续时间
"Sentinels have {0}% reduced Duration",护卫有{0}%几率减少持续时间
"Character Gains Acceleration Shrine for {0} second on deployment",部署时角色获得迅速神龛，持续{0}秒。
"Character Gains Acceleration Shrine for {0} seconds on deployment",部署时角色获得迅速神龛，持续{0}秒。
"Character Gains Adrenaline for {0} second on deployment",部署时角色获得肾上腺素，持续{0}秒。
"Character Gains Adrenaline for {0} seconds on deployment",部署时角色获得肾上腺素，持续{0}秒。
"Character Gains Diamond Shrine for {0} second on deployment",部署时角色获得钻石神龛，持续{0}秒。
"Character Gains Diamond Shrine for {0} seconds on deployment",部署时角色获得钻石神龛，持续{0}秒。
"Character Gains Echoing Shrine for {0} second on deployment",部署时角色获得回响神龛，持续{0}秒。
"Character Gains Echoing Shrine for {0} seconds on deployment",部署时角色获得回响神龛，持续{0}秒。
"Character Gains Endurance Charges for {0} second on deployment",部署时角色获得耐力球，持续{0}秒。
"Character Gains Endurance Charges for {0} seconds on deployment",部署时角色获得耐力球，持续{0}秒。
"Character Gains Frenzy Charges for {0} second on deployment",部署时角色获得狂怒球，持续{0}秒。
"Character Gains Frenzy Charges for {0} seconds on deployment",部署时角色获得狂怒球，持续{0}秒。
"Character Gains Gloom Shrine for {0} second on deployment",部署时角色获得隐忍神龛，持续{0}秒。
"Character Gains Gloom Shrine for {0} seconds on deployment",部署时角色获得回响神龛，持续{0}秒。
"Character Gains Impenetrable Shrine for {0} second on deployment",部署时角色获得无畏神龛，持续{0}秒。
"Character Gains Impenetrable Shrine for {0} seconds on deployment",部署时角色获得无畏神龛，持续{0}秒。
"Character Gains Massive Shrine for {0} second on deployment",部署时角色获得威猛神龛，持续{0}秒。
"Character Gains Massive Shrine for {0} seconds on deployment",部署时角色获得威猛神龛，持续{0}秒。
"Character Gains Power Charges for {0} second on deployment",部署时角色获得能量球，持续{0}秒。
"Character Gains Power Charges for {0} seconds on deployment",部署时角色获得能量球，持续{0}秒。
"Character Gains Resistance Shrine for {0} second on deployment",部署时角色获得抗性神龛，持续{0}秒。
"Character Gains Resistance Shrine for {0} seconds on deployment",部署时角色获得抗性神龛，持续{0}秒。
"Character Gains Charged Shrine for {0} second on deployment",部署时角色获得充能神龛，持续{0}秒。
"Character Gains Charged Shrine for {0} seconds on deployment",部署时角色获得充能神龛，持续{0}秒。
"Character Gains Tailwind for {0} second on deployment",部署后角色获得提速尾流，持续{0}秒
"Character Gains Tailwind for {0} seconds on deployment",部署后角色获得提速尾流，持续{0}秒
"Character Gains Unholy Might for {0} second on deployment",部署后角色获得不洁之力，持续{0}秒
"Character Gains Unholy Might for {0} seconds on deployment",部署后角色获得不洁之力，持续{0}秒
"Map Item Quantity affects number of rewards from Empowered Enemy",地图物品数量会影响到赋能的敌人的奖励数量
"When a Character Kills an Empowered Rare Monster,",当一个角色消灭赋能的稀有怪物时，
"they have {0}% chance to gain its Modifiers for {1} seconds",有{0}%的几率获得其词缀效果，持续{1}秒
"they gain its Modifiers for {0} seconds",获得其词缀效果，持续{0}秒
"Petrifies Empowered Enemies for {0} second",石化赋能的敌人{0}秒
"Petrifies Empowered Enemies for {0} seconds",石化赋能的敌人{0}秒
"{0}% chance for found Power Cores to be Duplicated",有{0}%几率找到力量核心进行复制
"Found Power Cores are Duplicated",找到力量核心进行复制
"{0}% chance to be Deployable an additional time",有{0}%几率可部署额外时间
"Can be Deployed an additional time",可部署额外时间
"{0}% increased Rewards",奖励增加{0}%
"{0}% reduced Rewards",奖励减少{0}%
"Rewards are {0}% more likely to be Sentinel Rewards","奖励为护卫奖励的可能性总增 {0}%"
"Rewards are {0}% less likely to be Sentinel Rewards","奖励为护卫奖励的可能性总降 {0}%"
"Rewards are more likely to be less common types",奖励很可能是不常见的类型
"{0}% chance for Empowered Enemies to have an Abyss Reward",赋能的敌人有{0}%的几率掉落深渊奖励
"{0}% chance for Empowered Enemies to have an Armour Reward",赋能的敌人有{0}%的几率掉落护甲奖励
"Fires an additional Beam",额外射出一道光线
"Fires {0} additional Beams",额外射出{0}道光线
"{0}% chance for Empowered Enemies to have a Blight Reward",赋能的敌人有{0}%的几率掉落菌潮奖励
"{0}% chance for Empowered Enemies to have a Breach Reward",赋能的敌人有{0}%的几率掉落裂隙奖励
"{0}% chance for Empowered Enemies to have a Currency Reward",赋能的敌人有{0}%的几率掉落通货奖励
"{0}% chance for Empowered Enemies to have a Delirium Reward",赋能的敌人有{0}%的几率掉落惊悸迷雾奖励
"{0}% more Empowerment for each Enemy Empowered","每个被强化敌人获得的强化总增 {0}%"
"{0}% less Empowerment for each Enemy Empowered","每个被强化敌人获得的强化总降 {0}%"
"{0}% chance for Empowered Enemies to have a Divination Card Reward",赋能的敌人有{0}%的几率掉落命运卡奖励
"{0}% chance for Rewards to be Doubled",奖励有{0}%的几率翻倍
"Rewards are Doubled",奖励翻倍
"{0}% chance for Empowered Enemies to have an Essence Reward",赋能的敌人有{0}%的几率掉落精华奖励
"{0}% chance for Empowered Enemies to have an Expedition Reward",赋能的敌人有{0}%的几率掉落先祖秘藏奖励
"{0}% chance for Empowered Enemies to have a Fossil Reward",赋能的敌人有{0}%的几率掉落化石奖励
"{0}% chance for Empowered Enemies to have a Fragment Reward",赋能的敌人有{0}%的几率掉落碎片奖励
"{0}% chance for Empowered Enemies to have a Gem Reward",赋能的敌人有{0}%的几率掉落宝石奖励
"{0}% chance for Empowered Enemies to have a Harbinger Reward",赋能的敌人有{0}%的几率掉落先驱者奖励
"{0}% chance for Empowered Enemies to have a Heist Reward",赋能的敌人有{0}%的几率掉落夺宝奇兵奖励
"{0}% chance for Empowered Enemies to have a Legion Reward",赋能的敌人有{0}%的几率掉落战乱之殇奖励
"{0}% chance for Empowered Enemies to have a Map Reward",赋能的敌人有{0}%的几率掉落地图奖励
"{0}% chance for Empowered Enemies to have a Metamorphosis Reward",赋能的敌人有{0}%的几率掉落灾变奖励
"Empowered Enemies do not drop Items",强化后的敌人不会掉落物品
"Empowered Enemies cannot gain Rewards",强化后的敌人无法获得奖励
"{0}% increased chance to add a Reward for each Enemy Empowered",每个被强化敌人获得奖励的几率增加{0}%
"{0}% reduced chance to add a Reward for each Enemy Empowered",每个被强化敌人获得奖励的几率减少{0}%
"{0}% chance for Empowered Enemies to have a Ritual Reward",赋能的敌人有{0}%的几率掉落驱灵仪式奖励
"{0}% chance for Empowered Enemies to have a Scarab Reward",赋能的敌人有{0}%的几率掉落圣甲虫奖励
"{0}% chance for Empowered Enemies to have a Sentinel Reward",赋能的敌人有{0}%的几率掉落护卫奖励
"{0}% chance for Empowered Enemies to have a Jewellery Reward",赋能的敌人有{0}%的几率掉落珠宝奖励
"{0}% chance for Empowered Enemies to have a Unique Reward",赋能的敌人有{0}%的几率掉落独特奖励
"{0}% chance to upgrade Normal Rarity Enemies to be Rare when they are Empowered",强化后有{0}%几率将普通稀有度敌人升级为稀有敌人
"{0}% chance for Empowered Enemies to have a Weapon Reward",赋能的敌人有{0}%的几率掉落武器奖励
"Empowered Enemies gain {0}% increased Damage",赋能的怪物造成的伤害提高{0}%
"Empowered Enemies gain {0}% reduced Damage",赋能的怪物造成的伤害降低{0}%
"Empowered Monsters have {0}% increased Quantity of Items Found",强化怪物发现物品的数量增加{0}%
"Empowered Monsters have {0}% reduced Quantity of Items Found",强化怪物发现物品的数量减少{0}%
"Empowered Monsters have {0}% increased Rarity of Items Found",强化怪物发现稀有物品的几率增加{0}%
"Empowered Monsters have {0}% reduced Rarity of Items Found",强化怪物发现稀有物品的几率减少{0}%
"Empowered Monsters drop {0} Currency Rewards",赋能的怪物掉落{0}个通货奖励
"Empowered Monsters drop {0} Divination Card Rewards",赋能的怪物掉落{0}个命运卡奖励
"Empowered Monsters drop {0} Fragment Rewards",赋能的怪物掉落{0}个碎片奖励
"Empowered Monsters drop {0} Map Rewards",赋能的怪物掉落{0}个地图奖励
"Empowered Monsters drop {0} Scarab Rewards",赋能的怪物掉落{0}个圣甲虫奖励
"Empowered Monsters drop {0} Sentinel Rewards",{0}赋能的怪物掉落{1}个护卫奖励
"Empowered Monsters drop {0} Unique Rewards",赋能的怪物掉落{0}个独特奖励
"Empowered Monsters grant {0}% increased Sentinel Power",强化怪物得到护卫之力的几率提高{0}%
"Empowered Monsters grant {0}% reduced Sentinel Power",强化怪物得到护卫之力的几率降低{0}%
"{0}% chance to gain a Rampage Kill when Minion hits a Rare or Unique Enemy","有 {0}% 的几率在召唤生物击中稀有敌人或传奇敌人时获得一层暴走能量"
"Gain a Rampage Kill when Minion hits a Rare or Unique Enemy",在召唤生物击中稀有敌人或传奇敌人时获得一层暴走能量
"Minion deals {0}% more Damage to the Prey with Hits and Ailments","召唤生物对猎物造成的攻击和异常状态伤害增加 {0}%"
"Minion deals {0}% less Damage to the Prey with Hits and Ailments","召唤生物对猎物造成的攻击和异常状态伤害降低 {0}%"
"Minion Shocks Enemies as though dealing {0}% more Damage",召唤生物对感电敌人增加{0}%伤害
"Minion Shocks Enemies as though dealing {0}% less Damage",召唤生物对感电敌人减少{0}%伤害
"You cannot use this Skill yourself, your Statues will use this Skill for you",你无法施放该技能，雕像会为你施放该技能
"Grants {0}% increased Cast Speed","施法速度加快 {0}%"
"Grants {0}% reduced Cast Speed","施法速度减慢 {0}%"
"Modifiers to Totem Duration also apply to this Skill's Soul Gain Prevention",图腾持续时间修正也适用于该技能的阻灵术。
"Grants {0}% increased Attack Speed","攻击速度加快 {0}%"
"Grants {0}% reduced Attack Speed","攻击速度减慢 {0}%"
"Curse Duration is infinite",诅咒持续时间无限
"Curse Duration is {0} seconds","诅咒持续时间为 {0} 秒"
"Gain {0} Life for each Enemy Hit",每击中一名敌人获得{0}点生命
"Lose {0} Life for each Enemy Hit",每击中一名敌人损失{0}点生命
"Blind enemies on hit",命中时致盲敌人
"Explosion deals {0}% more Damage with Ailments per Explosive Arrow on Target",每支爆炸箭矢对目标造成的异常状态伤害增加{0}%
"Attack Repeats {0} times","攻击重复 {0} 次"
"Buff grants {0}% chance to Poison on Hit","增益效果在击中时有 {0}% 的几率使目标中毒"
"{0}% more Projectile Damage","投射物伤害增加 {0}%"
"{0}% less Projectile Damage","投射物伤害减少 {0}%"
"Returning Projectiles deal {0}% more Damage with Hits and Ailments","返回的投射物的击中和异常状态伤害总增 {0}%"
"Returning Projectiles deal {0}% less Damage with Hits and Ailments","返回的投射物的击中和异常状态伤害总降 {0}%"
"Deals up to {0}% more Damage with Hits to closer targets","对较近的目标造成的击中伤害总增最多 {0}%"
"Deals up to {0}% less Damage with Hits to closer targets","对较近的目标造成的击中伤害总降最多 {0}%"
"Projectiles deal {0}% more Damage with Hits and Ailments","投射物的击中和异常状态伤害增加 {0}%"
"Projectiles deal {0}% less Damage with Hits and Ailments","投射物的击中和异常状态伤害减少 {0}%"
"{0}% to Critical Strike Chance while Elusive","灵巧时暴击几率提高 {0}%"
"Increases and Reductions to Projectile Speed also apply to",影响投射物速度的增强与减弱效果也作用于
"Burning Ground deals {0}% of the Fire Damage per Second of strongest Ignite on Enemy",燃烧大地，根据每秒点燃的最高伤害对敌人造成{0}%的火焰伤害
"Caustic Ground deals {0}% of the Chaos Damage per Second of strongest Poison on Enemy",腐蚀大地，根据每秒中毒的最高伤害对敌人造成{0}%的混沌伤害
"Can create each Ground effect no more than once each second",每个地面效果每秒只能触发一次
"All Damage can Ignite, Freeze, and Shock",所有伤害都可以点燃、冰冻和感电
"{0} seconds to Cooldown","冷却时间增加 {0} 秒。"
"Can target each enemy only once every {0} second",每{0}秒只能瞄准敌人一次
"Can target each enemy only once every {0} seconds",每{0}秒只能瞄准敌人一次
"Lightning strikes {0} target","闪电打击 {0} 个目标"
"Lightning strikes {0} targets","闪电打击 {0} 个目标"
"Aura makes Smite strike {0} target with lightning","光环会使惩击用闪电打击 {0} 个目标"
"Aura makes Smite strike {0} targets with lightning","光环会使惩击用闪电打击 {0} 个目标"
"Hits from Final wave deal {0}% of Damage per stage",最后一波的攻击每阶段造成{0}%的伤害
"{0}% more Cleave Area of Effect","劈砍范围扩大 {0}%"
"{0}% less Cleave Area of Effect","劈砍范围缩小 {0}%"
"Applied Curses have {0}% more Effect","使用的诅咒效果提高 {0}%"
"Applied Curses have {0}% less Effect","使用的诅咒效果降低 {0}%"
"Cannot be Cast or Triggered while Elusive",灵巧时无法施放或被触发
"Grants Elusive",获得灵巧
"Become Flame-Touched",被火焰触碰
"Enemies Shocked by this Skill have {0}% increased Movement Speed","被此技能施加感电后，敌人移动速度加快 {0}%"
"Enemies Shocked by this Skill have {0}% reduced Movement Speed","被此技能施加感电后，敌人移动速度减慢 {0}%"
"{0}% more Damage with Hits per {1}% Shock Effect on Enemy","敌人每具有 {1}% 的感电效果，击中伤害总增 {0}%"
"{0}% less Damage with Hits per {1}% Shock Effect on Enemy","敌人每具有 {1}% 的感电效果，击中伤害总降 {0}%"
"{0}% more Damage with Ailments per {1} Life Reserved by this Skill",此技能每保留{1}点生命，其异常状态伤害增加{0}%
"{0}% less Damage with Ailments per {1} Life Reserved by this Skill",此技能每保留{1}点生命，其异常状态伤害减少{0}%
"{0}% more Damage with Hits per {1} Life Reserved by this Skill",此技能每保留{1}点生命，其击中伤害增加{0}%
"{0}% less Damage with Hits per {1} Life Reserved by this Skill",此技能每保留{1}点生命，其击中伤害减少{0}%
"{0}% more Damage with Hits and Ailments against Burning Enemies","对燃烧的敌人造成的击中和异常状态伤害总增 {0}%"
"{0}% less Damage with Hits and Ailments  against Burning Enemies","对燃烧的敌人造成的击中和异常状态伤害降低 {0}%"
"Projectiles gain {0}% increased Projectile Speed per second","投射物的速度每秒加快 {0}%"
"Projectiles gain {0}% reduced Projectile Speed per second","投射物的速度每秒减慢 {0}%"
"{0}% chance to Summon an additional Statue without consuming a Cooldown use","有 {0}% 几率召唤一个额外的雕像而不消耗冷却时间次数"
"Field gains {0}% more Damage with Hits per {1}% Shock Effect on Enemy when created",对敌人每造成{1}%感电效果时，电场造成的伤害增加{0}%
"Field gains {0}% less Damage with Hits per {1}% Shock Effect on Enemy when created",对敌人每造成{1}%感电效果时，电场造成的伤害减少{0}%
"Field gains {0} to Radius per {1}% Shock Effect on Enemy when created",对敌人每造成{1}%感电效果时，电场范围增加{0}
"Projectiles deal {0}% more Damage with Hits per Intensity","每层凝聚使投射物的击中伤害增加 {0}%"
"Projectiles deal {0}% less Damage with Hits per Intensity","每层凝聚使投射物的击中伤害减少 {0}%"
"Buff grants {0}% more Damage with Poison","增益效果使中毒伤害总增 {0}%"
"Buff grants {0}% less Damage with Poison","增益效果使中毒伤害总降 {0}%"
"Buff grants {0}% more Physical Damage","增益效果的物理伤害总增 {0}%"
"Buff grants {0}% less Physical Damage","增益效果的物理伤害总降 {0}%"
"Hexes from Supported Skills Transfer to all Enemies in range {0} when Hexed Enemy dies","当受到魔蛊的敌人死亡时，辅助技能的魔蛊会转移到范围 {0} 内所有敌人的身上"
"{0}% more Damage with Ailments if Enemy is Hexed","如果敌人受到魔蛊，则异常状态的伤害提高 {0}%"
"{0}% more Damage with Hits if Enemy is Hexed","如果敌人受到魔蛊，则击中伤害总增 {0}%"
"Removes a Hex after Damaging",造成伤害后移除一个魔蛊
"Can only be Hit once every {0} second","每 {0} 秒才能击中一次"
"Can only be Hit once every {0} seconds","每 {0} 秒才能击中一次"
"Projectiles deal up to {0}% increased Damage at the start of their movement, lowering this bonus as they travel farther","投射物开始移动时伤害最多提高 {0}%，该加成随着穿越的距离增加而减少"
"Projectiles deal up to {0}% reduced Damage at the start of their movement, lowering this penalty as they travel farther","投射物开始移动时伤害最多降低 {0}%，该惩罚随着穿越的距离增加而减少"
"Maximum {0} Field",最多{0}个电场
"Maximum {0} Fields",最多{0}个电场
"Maximum {0} caught Projectiles","最多 {0} 个抓回的投射物"
"Creates up to {0} caught Projectiles immediately","最多立即创造 {0} 个抓回的投射物"
"Creates {0} caught Projectiles per second","每秒创造 {0} 个抓回的投射物"
"Strikes every {0} second while Channelling a Lightning Skill near the Orb","在漩涡周围吟唱闪电技能时，每 {0} 秒打击一次"
"Strikes every {0} seconds while Channelling a Lightning Skill near the Orb","在漩涡周围吟唱闪电技能时，每 {0} 秒打击一次"
"Orb disappears after {0} Strikes","法球打击 {0} 次后消失"
"Recover {0}% of Life when you use this Skill","使用该技能时回复 {0}% 生命"
"Consumes one Cooldown Use per Statue Summoned",每召唤一个雕像，消耗一次冷却时间次数
"{0}% increased Effect of Shocks inflicted with Critical Strikes",带有暴击的感电效果增加{0}%
"{0}% reduced Effect of Shocks inflicted with Critical Strikes",带有暴击的感电效果减少{0}%
"{0}% to Maximum Effect of Shock",最大感电效果{0}%
"Ring always Shocks",闪电之环始终能造成感电
"{0}% chance to keep each caught Projectile fired with Whirling Blades","{0}% 几率让每一个抓回的投射物发射回旋之刃"
"{0}% chance to Hinder Enemies on Hit","有 {0}% 的几率击中时使敌人缓速"
"Hinder Enemies on Hit",击中时使敌人缓速
"Grants Minions {0}% increased Critical Strike Chance",使召唤生物的暴击率提高{0}%
"Grants Minions {0}% reduced Critical Strike Chance",使召唤生物的暴击率降低{0}%
"Grants Minions {0}% to Critical Strike Multiplier",使召唤生物的暴击加成伤害提高{0}%
"Energy Blades grant {0}% of Lightning Damage with Attacks Converted to Chaos Damage","能量之刃将其 {0}% 的闪电攻击伤害转化为混沌伤害"
"Energy Blades grant {0}% chance to Shock","能量之刃有 {0}% 的几率造成感电状态"
"Ensnared Enemies take {0}% reduced Projectile Damage from Attack Hits","被捕获的敌人受到的攻击击中投射物伤害降低 {0}%"
"Enemies in range are Hindered",射程内的敌人被缓速
"Trigger this Skill when you Hit a Rare or Unique Enemy with an Attack",在你用攻击击中稀有或传奇敌人时触发该技能
"{0}% more Damage Taken while Channelling","引导时受到的伤害提高 {0}%"
"{0}% less Damage Taken while Channelling","引导时受到的伤害降低 {0}%"
"Base Circle Radius is {0}","基础圆圈范围为 {0}"
"{0} to Circle Radius per Stage","每阶段圆圈范围增加 {0}"
"Channelling stops when Total Circle Radius reaches {0}","当圆圈总范围达到 {0} 时停止引导"
"Buff grants Culling Strike with Cleave",增益使劈砍带终结效果
"Buff grants {0}% more Cleave Area of Effect","使劈砍的范围总增 {0}%"
"Buff grants {0}% more Cleave Damage with Hits and Ailments to Enemies that are on Low Life","使劈砍对濒血状态下的敌人造成的击中和异常状态伤害总增 {0}%"
"Fissure erupts {0} times","火山裂缝喷发 {0} 次"
"Creates Cursed Ground for {0} second","创造一片诅咒区域，持续 {0} 秒"
"Enemies on the Cursed Ground are Cursed with this Hex",身处诅咒区域的敌人会被此魔蛊诅咒
"Creates Cursed Ground for {0} seconds","创造一片诅咒区域，持续 {0} 秒"
"Fissure travels {0}% faster","火山裂缝延伸速度加快 {0}%"
"Fissure travels {0}% slower","火山裂缝延伸速度减缓 {0}%"
