Strength,力量
"Invigorating Blaze",欢欣炽炎
Cauterisation,焰灼血肉
"Recovery Mastery",回复专精
"Protection Mastery",防护专精
"Warden of the Maji",众神守望者
"Coated Blade",涂抹小刀
"Nature's Concoction",自然灵药
"Intensifying Suffusion",增幅弥散
"Wildwood Blessing",荒林祝福
"Lesson of the Seasons",四季之训
"Oath of the Maji",众神之誓
"Detect Evil",追缉邪恶
"Vivid Wisps found",寻找活性鬼灵
"Warlock of the Mists",迷雾术士
Sanguimancy,滴血为咒
"Crimson Power",腥红之力
"Cannibalised Faith",蚕食信仰
"Soul Splitting",灵魂裂解
"Creeping Lobotomy",悚然切除
"Choir of the Damned",诅咒合颂
"Black Mass",黑暗布道
"Warlock Power",术士之力
"Foul Pact",邪秽契约
"Blood Hunt",猎血寻腥
"Wild Wisps found",寻找狂野鬼灵
"Wildwood Primalist",荒林原初者
"Might of the Bear",伟岸熊威
"Charm Socket",咒符插槽
"Howl of the Wolf",惊魂狼啸
"Primal Wisps found",寻找原始鬼灵
"Warlord's Call",督军的号召
"Mana and Increased Mana Cost",魔力和提高魔力消耗
"Flask Duration",药剂持续时间
