"k","v"
"{0}% increased Damage while wielding two different Weapon Types","當持兩件不同武器類型時，增加 {0}% 傷害"
"{0}% reduced Damage while wielding two different Weapon Types","當持兩件不同武器類型時，減少 {0}% 傷害"
"{0}% of Damage from Hits is taken from your nearest Totem's Life before you","被擊中時，生命值所受的 {0}% 傷害由最靠近你的圖騰扣除"
"{0}% more Damage over Time taken during Effect of any Life Flask","任何生命藥劑效果期間，承受 {0}% 更多持續傷害"
"{0}% less Damage over Time taken during Effect of any Life Flask","任何生命藥劑效果期間，承受 {0}% 更少持續傷害"
"{0}% increased Damage taken while on Full Life","滿血時增加承受 {0}% 傷害"
"{0}% reduced Damage taken while on Full Life","滿血時減少承受 {0}% 傷害"
"Debilitate Enemies for {0} second when you Suppress their Spell Damage","當你壓抑敵人的法術時，虛弱敵人 {0} 秒"
"{0}% increased Defences while wielding a Staff","持長杖時，增加 {0}% 防禦"
"{0}% reduced Defences while wielding a Staff","持長杖時，增加 {0}% 防禦f"
"Defend with {0}% of Armour while not on Low Energy Shield","非貧能量護盾時，以 {0}% 護甲防禦"
"Defiance Banner has {0}% increased Mana Reservation Efficiency","反抗之旗增加 {0}% 魔力保留效用"
"Defiance Banner has {0}% reduced Mana Reservation Efficiency","反抗之旗減少 {0}% 魔力保留效用"
"Area contains {0} extra Packs of Insects","區域含有 {0} 額外蟲群"
"Monsters' Projectiles always Pierce","怪物的投射物必定穿透"
"Despair has no Reservation if Cast as an Aura","若絕望以光環施放沒有保留"
"Determination has {0}% reduced Mana Reservation Efficiency","堅定減少 {0}% 魔力保留效用"
"Determination has {0}% increased Mana Reservation Efficiency","堅定增加 {0}% 魔力保留效用"
"Discipline has {0}% reduced Mana Reservation Efficiency","紀律減少 {0}% 魔力保留效用"
"Discipline has {0}% increased Mana Reservation Efficiency","紀律增加 {0}% 魔力保留效用"
"{0}% improved Rewards","優化 {0}% 獎勵"
"Dread Banner has {0}% increased Mana Reservation Efficiency","恐懼之旗增加 {0}% 魔力保留效用"
"Dread Banner has {0}% reduced Mana Reservation Efficiency","恐懼之旗減少 {0}% 魔力保留效用"
"{0}% increased Elemental Resistances","增加 {0}% 元素抗性"
"{0}% decreased Elemental Resistances","減少 {0}% 元素抗性"
"{0}% increased Elemental Damage taken if you have been Hit Recently","若你近期有被擊中，增加承受 {0}% 元素傷害"
"{0}% reduced Elemental Damage taken if you have been Hit Recently","若你近期有被擊中，減少承受 {0}% 元素傷害"
"Damage Penetrates {0}% Elemental Resistances while you are Chilled","你被冰緩時，傷害穿透 {0}% 元素抗性"
"Enemies Cursed by you have {0}% increased Life Regeneration Rate","被你詛咒的敵人增加 {0}% 生命回復率"
"Enemies Cursed by you have {0}% reduced Life Regeneration Rate","被你詛咒的敵人減少 {0}% 生命回復率"
"Enemies near your Marked Enemy are Blinded","靠近被你印記敵人的敵人被致盲"
"Enemies Poisoned by you cannot deal Critical Strikes","被你中毒的敵人不會造成暴擊"
"{0}% chance for Energy Shield Recharge to start when you Kill an Enemy","'當你擊殺敵人時，有 {0}% 機率能量護盾開始充能"
"Ethereal Knives Pierces an additional Target","虛空匕首穿透 1 個額外目標"
"{0}% increased Evasion Rating while Focused","專注時增加 {0}% 閃避值"
"{0}% increased Evasion Rating per {1} Maximum Mana, up to {2}%","每 {1} 最大魔力增加 {0}% 閃避值，最多 {2}%"
"Evasion Rating is increased by Overcapped Cold Resistance","超過上限的冰冷傷害增加為閃避值"
"Gain {0}% of Evasion Rating as Extra Armour","獲得 {0}% 閃避值的額外護甲"
"{0}% increased Evasion Rating per Green Socket on Main Hand Weapon","主手武器上每顆綠色插槽，增加 {0}% 閃避值"
"{0}% reduced Evasion Rating per Green Socket on Main Hand Weapon","主手武器上每顆綠色插槽，減少 {0}% 閃避值"
"{0}% increased Evasion Rating while you have Energy Shield","你有能量護盾時，增加 {0}% 閃避值"
"{0}% reduced Evasion Rating while you have Energy Shield","你有能量護盾時，減少 {0}% 閃避值"
"{0}% increased Quantity of Expedition Logbooks found in Excavated Chests","增加 {0}% 發掘保險箱的探險日誌數量"
"{0}% reduced Quantity of Expedition Logbooks found in Excavated Chests","減少 {0}% 發掘保險箱的探險日誌數量"
"{0}% increased Quantity of Expedition Logbooks dropped by Runic Monsters","增加 {0}% 魔符怪物掉落探險日誌的數量"
"{0}% reduced Quantity of Expedition Logbooks dropped by Runic Monsters","減少 {0}% 魔符怪物掉落探險日誌的數量"
"Exposure you inflict applies at least {0}% to the affected Resistance","你造成的曝曬至少套用 {0}% 被影響的抗性"
"Strike Skills which target additional Enemies can do so from {0}% further away","瞄準額外敵人的打擊技能可以從 {0}% 更遠的地方進行"
"Final Repeat of Spells has {0}% increased Area of Effect","最終重複的法術增加 {0}% 範圍效果"
"Final Repeat of Spells has {0}% reduced Area of Effect","最終重複的法術減少 {0}% 範圍效果"
"{0}% increased Duration of Fire Ailments","增加 {0}% 火焰異常狀態持續時間"
"{0}% reduced Duration of Fire Ailments","減少 {0}% 火焰異常狀態持續時間"
"Fire Exposure you inflict applies an extra {0}% to Fire Resistance","你造成的火焰曝曬套用額外 {0}% 火焰抗性"
"{0}% increased Flamethrower Trap Throwing Speed","增加 {0}% 噴火陷阱投擲速度"
"{0}% reduced Flamethrower Trap Throwing Speed","減少 {0}% 噴火陷阱投擲速度"
"Flammability has no Reservation if Cast as an Aura","若易燃以光環施放沒有保留"
"Flasks gain {0} Charges when you hit a Non-Unique Enemy, no more than once per second","當你擊中非傳奇敵人，藥劑獲得 {0} 充能，每秒不超過 1 次"
"Flasks gain {0} Charges every {1} seconds while they are inactive","藥劑未啟用時，每 {1} 秒獲得 {0} 充能"
"Flesh and Stone has {0}% reduced Mana Reservation Efficiency","血肉骸骨減少 {0}% 魔力保留效用"
"Flesh and Stone has {0}% increased Mana Reservation Efficiency","血肉骸骨增加 {0}% 魔力保留效用"
"Flesh and Stone has no Reservation","血肉骸骨沒有保留"
"Fortifying Hits grant {0}% increased Fortification","護體擊中增加 {0}% 護體"
"Fortifying Hits grant {0}% reduced Fortification","護體擊中減少 {0}% 護體"
"Fortifying Hits against Unique Enemies grant {0}% increased Fortification","對傳奇敵人的護體擊中增加 {0}% 護體"
"Fortifying Hits against Unique Enemies grant {0}% reduced Fortification","對傳奇敵人的護體擊中減少 {0}% 護體"
"{0}% increased Fortification Duration per {1} Strength","每 {1} 點力量增加 {0}% 護體持續時間"
"{0}% reduced Fortification Duration per {1} Strength","每 {1} 點力量減少 {0}% 護體持續時間"
"Frostbite has no Reservation if Cast as an Aura","若凍傷以光環施放沒有保留"
"Melee Hits with a Maces, Sceptres or Staves Fortify for {0} seconds","使用錘、權杖或長杖近戰擊中護體 {0} 秒"
"{0}% chance to gain a Frenzy Charge when you Shatter an Enemy","當你粉碎敵人時有 {0}% 機率獲得 1 顆狂怒球"
"You have Onslaught while Fortified","護體時你有猛攻"
"{0}% chance to gain a Power Charge on Critical Strike with Wands","使用法杖暴擊時有 {0}% 機率獲得 1 顆暴擊球"
"Intelligence is added to Accuracy Rating with Wands","智慧增加至法杖的命中值"
"Lose {0} Fragile Regrowth each second","每秒失去 {0} 脆弱生長"
"{0} to maximum Ghost Shrouds","{0} 最大幽魂屍布"
"Grace has {0}% reduced Mana Reservation Efficiency","優雅減少 {0}% 魔力保留效用"
"Grace has {0}% increased Mana Reservation Efficiency","優雅增加 {0}% 魔力保留效用"
"Animated Minions' Melee Attacks deal {0}% more Damage to surrounding targets","幻化召喚物的近戰攻擊對附近目標造成 {0}% 更多傷害"
"Haste has {0}% reduced Mana Reservation Efficiency","迅捷減少 {0}% 魔力保留效用"
"Haste has {0}% increased Mana Reservation Efficiency","迅捷增加 {0}% 魔力保留效用"
"Hatred has {0}% reduced Mana Reservation Efficiency","憎恨減少 {0}% 魔力保留效用"
"Hatred has {0}% increased Mana Reservation Efficiency","憎恨增加 {0}% 魔力保留效用"
"{0}% chance in Heists for Orbs of Scouring to drop as Orbs of Annulment instead","劫盜中有 {0}% 機率重鑄石掉落為無效石"
"{0}% chance in Heists for Orbs of Scouring to drop as Orbs of Regret instead","劫盜中有 {0}% 機率重鑄石掉落為後悔石"
"{0} Crucible slot","{0} 匣盒欄位"
"{0} Crucible slots","{0} 匣盒欄位"
"{0} Dream Furnace slot","{0} 邪夢冶煉欄位"
"{0} Dream Furnace slots","{0} 邪夢冶煉欄位"
"{0}% chance for transforming to apply a Corrupted Implicit Modifier to Items without one","{0}% 機率轉化 1 個已汙染固定詞綴至 1 個沒有固定詞綴的物品上"
"{0}% chance for transforming to add a Socket","{0}% 機率轉化 1 個插槽"
"{0}% chance for transforming to grant an additional Beneficial Modifier","{0}% 機率轉化 1 個額外有利詞綴"
"While in a Scourged Map, Items absorb {0}% more Corruption for each time the Map has been transformed","在災魘地圖時，物品根據每次地圖轉化吸收 {0}% 更多汙染"
"Armour Items absorb {0}% more Corruption","護甲吸收 {0}% 更多汙染"
"Jewellery absorbs {0}% more Corruption","飾品吸收 {0}% 更多汙染"
"Maps absorb {0}% more Corruption","地圖吸收 {0}% 更多汙染"
"Weapons absorb {0}% more Corruption","武器吸收 {0}% 更多汙染"
"Quivers absorb {0}% more Corruption","箭袋吸收 {0}% 更多汙染"
"Herald of Agony has {0}% reduced Mana Reservation Efficiency","苦痛之捷減少 {0}% 魔力保留效用"
"Herald of Agony has {0}% increased Mana Reservation Efficiency","苦痛之捷增加 {0}% 魔力保留效用"
"Herald of Ash has {0}% reduced Mana Reservation Efficiency","灰燼之捷減少 {0}% 魔力保留效用"
"Herald of Ash has {0}% increased Mana Reservation Efficiency","灰燼之捷增加 {0}% 魔力保留效用"
"Herald of Ice has {0}% reduced Mana Reservation Efficiency","冰霜之捷減少 {0}% 魔力保留效用"
"Herald of Ice has {0}% increased Mana Reservation Efficiency","冰霜之捷增加 {0}% 魔力保留效用"
"Herald of Purity has {0}% reduced Mana Reservation Efficiency","純淨之捷減少 {0}% 魔力保留效用"
"Herald of Purity has {0}% increased Mana Reservation Efficiency","純淨之捷增加 {0}% 魔力保留效用"
"Herald of Thunder has {0}% reduced Mana Reservation Efficiency","閃電之捷減少 {0}% 魔力保留效用"
"Herald of Thunder has {0}% increased Mana Reservation Efficiency","閃電之捷增加 {0}% 魔力保留效用"
"{0}% reduced Mana Reservation Efficiency of Herald Skills","減少 {0}% 捷技能的魔力保留效用"
"{0}% increased Mana Reservation Efficiency of Herald Skills","增加 {0}% 捷技能的魔力保留效用"
"{0}% chance for Hexes you Cast which can gain Doom to be applied with Maximum Doom","你施放可獲得災厄的咒術，有 {0}% 機率套用最大災厄"
"Crush Enemies on hit with Maces and Sceptres","錘和權杖擊中時壓碎敵人"
"Enemies Ignited or Chilled by you have {0}% to Elemental Resistances","你點燃或冰緩的敵人 {0}% 元素抗性"
"Immune to Hinder","免疫阻礙"
"Immune to Maim","免疫癱瘓"
"{0}% increased Effect of Impales you inflict on non-Impaled Enemies","增加 {0}% 你對未被穿刺敵人造成穿刺的效果"
"{0}% reduced Effect of Impales you inflict on non-Impaled Enemies","減少 {0}% 你對未被穿刺敵人造成穿刺的效果"
"Intimidate Enemies for {0} seconds on Block while holding a Shield","持盾格擋時，威嚇敵人 {0} 秒"
"Can be Anointed up to {0} times","最多可以抹油 {0} 次"
"Knock Back Enemies if you get a Critical Strike with Projectile Damage","若你受到投射物傷害暴擊，則擊退敵人"
"Life Flasks gain {0} Charges when you Suppress Spell Damage","當你壓抑法術傷害時，生命藥劑獲得 {0} 充能"
"Life Flasks gain a Charge when you hit your Marked Enemy, no more than once every {0} seconds","當你擊中印記的敵人，生命藥劑獲得 1 充能，每 {0} 秒不超過 1 次"
"Life Flasks gain {0} Charges when you hit your Marked Enemy, no more than once every {1} seconds","當你擊中印記的敵人，生命藥劑獲得 {0} 充能，每 {1} 秒不超過 1 次"
"Regenerate {0}% of Life per Second if you've Detonated a Mine Recently","若你近期有引爆地雷，每秒回復 {0}% 生命"
"Regenerate {0}% of Life per second if you've Hit a Cursed Enemy Recently","若你近期有擊中被詛咒的敵人，每秒回復 {0}% 生命"
"Regenerate {0}% of Life per Second if you have Blocked recently","若你近期有格擋，每秒回復 {0}% 生命"
"Regenerate {0}% of Life per Second if you've used a Life Flask in the past {1} seconds","若過去 {1} 秒你有使用生命藥劑，每秒回復 {0}% 生命"
"{0}% increased Lightning Spire Trap Throwing Speed","增加 {0}% 鋒雷陷阱投擲速度"
"{0}% reduced Lightning Spire Trap Throwing Speed","減少 {0}% 鋒雷陷阱投擲速度"
"Link Skills have {0}% increased Buff Effect","連結技能增加 {0}% 增益效果"
"Link Skills have {0}% reduced Buff Effect","連結技能減少 {0}% 增益效果"
"Link Skills have {0}% increased Cast Speed","連結技能增加 {0}% 施放速度"
"Link Skills have {0}% reduced Cast Speed","連結技能減少 {0}% 施放速度"
"Link Skills have {0}% increased Skill Effect Duration","連結技能增加 {0}% 技能效果持續時間"
"Link Skills have {0}% reduced Skill Effect Duration","連結技能減少 {0}% 技能效果持續時間"
"{0}% increased Mana Cost of Link Skills","增加 {0}% 連結技能的魔力消耗"
"{0}% reduced Mana Cost of Link Skills","減少 {0}% 連結技能的魔力消耗"
"{0} Added Passive Skill is Doedre's Spite","{0} 個附加天賦為德瑞的怨恨"
"{0} Added Passive Skill is Doedre's Apathy","{0} 個附加天賦為德瑞的冷漠"
"{0} Added Passive Skill is Doedre's Gluttony","{0} 個附加天賦為德瑞的暴食"
"{0} Added Passive Skill is Spiteful Presence","{0} 個附加天賦為惡意光環"
"{0} Added Passive Skill is Introspection","{0} 個附加天賦為自我反省"
"{0} Added Passive Skill is Hound's Mark","{0} 個附加天賦為獵犬印記"
"{0} Added Passive Skill is Master of the Maelstrom","{0} 個附加天賦為混亂大師"
"{0} Added Passive Skill is Destructive Aspect","{0} 個附加天賦為破壞面"
"{0} Added Passive Skill is Electric Presence","{0} 個附加天賦為電力光環"
"{0} Added Passive Skill is Volatile Presence","{0} 個附加天賦為變動光環"
"{0} Added Passive Skill is Mortifying Aspect","{0} 個附加天賦為屈辱面"
"{0} Added Passive Skill is Righteous Path","{0} 個附加天賦為正道"
"{0} Added Passive Skill is Inevitable Doom","{0} 個附加天賦為不可避免的厄運"
"{0} Added Passive Skill is Frantic Aspect","{0} 個附加天賦為瘋狂面"
"Nearby Enemies Killed by anyone count as being Killed by you instead","附近被任何人擊殺的敵人視為被你擊殺"
"Nearby Allies have {0} Fortification","附近友方有 {0} 護體"
"also grant Chance to Suppress Spell Damage at {0}% of its value","同時以 {0}% 它們的值給予壓抑法術傷害率"
"Lose {0}% of Life and Energy Shield when you use a Chaos Skill","當你使用混沌技能時，失去 {0}% 生命和能量護盾"
"{0}% increased Attack Damage with Main Hand while Dual Wielding","雙持時，增加 {0}% 主手攻擊傷害"
"{0}% reduced Attack Damage with Main Hand while Dual Wielding","雙持時，減少 {0}% 主手攻擊傷害"
"Malevolence has {0}% reduced Mana Reservation Efficiency","惡意減少 {0}% 魔力保留效用"
"Malevolence has {0}% increased Mana Reservation Efficiency","惡意增加 {0}% 魔力保留效用"
"Gain {0} Mana per Enemy Hit by Attacks if you've used a Mana Flask in the past {1} seconds","若過去 {1} 秒你有使用魔力藥劑，每次敵人攻擊擊中獲得 {0} 魔力"
"{0}% increased Mana Reservation Efficiency of Skills that throw Mines","增加 {0}% 投擲地雷技能的魔力保留效用"
"{0}% reduced Mana Reservation Efficiency of Skills that throw Mines","減少 {0}% 投擲地雷技能的魔力保留效用"
"{0}% reduced Mana Reservation Efficiency of Skills per {1} total Attributes","每 {1} 點總能力值，減少 {0}% 技能的魔力保留效用"
"{0}% increased Mana Reservation Efficiency of Skills per {1} total Attributes","每 {1} 點總能力值，增加 {0}% 技能的魔力保留效用"
"Area contains {0} additional Chest Markers","區域含有 {0} 個額外保險箱標記"
"Areas have {0}% chance to contain an Expedition Encounter","區域有 {0}% 機率含有 1 個探險事件"
"Area contains an additional Expedition Encounter","區域含有 1 個探險事件"
"Expeditions in Area have {0} Remnants","區域中探險 {0} 遺跡"
"Remnants have an additional Suffix Modifier","遺跡有 1 個額外後綴"
"Remnants have {0} additional Suffix Modifiers","遺跡有 {0} 個額外後綴"
"Area contains a Blight Encounter","區域含有 1 個凋落事件"
"Players are Cursed with a random Hex every {0} seconds","玩家每 {0} 秒被 1 個隨機咒術詛咒"
"Players Prevent {0}% of Suppressed Spell Damage","玩家阻止 {0}% 壓抑法術傷害"
"Players have {0}% to amount of Suppressed Spell Damage Prevented","玩家有 {0}% 壓抑法術傷害被阻止"
"{0} to maximum Fortification while Focused","專注時 {0} 最大護體"
"{0} to maximum Fortification while stationary","靜止時 {0} 最大護體"
"Skills that leave Lingering Blades have {0} to Maximum Lingering Blades","會留下剩餘劍刃的技能，有 {0} 最大剩餘劍刃"
"{0}% increased Melee Damage with Hits at Close Range","增加 {0}% 近距離的擊中近戰傷害"
"{0}% reduced Melee Damage with Hits at Close Range","減少 {0}% 近距離的擊中近戰傷害"
"Hits with Melee Movement Skills have {0}% chance to Fortify","此用位移技能擊中有 {0}% 機率護體"
"{0} to Melee Strike Range while at least {1} Enemies are Nearby","附近至少有 {1} 名敵人時，{0} 近戰打擊範圍"
"Mines cannot be Damaged","地雷不能被傷害"
"Minions Regenerate {0}% of Life per Second if they have Blocked recently","若召喚物近期有格檔，每秒回復 {0}% 生命"
"Minions have {0}% chance to Suppress Spell Damage","召喚物有 {0}% 壓抑法術傷害率"
"Minions Attacks Overwhelm {0}% Physical Damage Reduction","召喚物攻擊鎮壓 {0}% 物理傷害減免"
"Minions Penetrate {0}% of Cursed Enemies' Elemental Resistances","召喚物穿透 {0}% 被詛咒敵人的元素抗性"
"{0}% increased Movement Speed if you've cast a Mark Spell Recently","若你近期有施放印記法術，增加 {0}% 移動速度"
"{0}% reduced Movement Speed if you've cast a Mark Spell Recently","若你近期有施放印記法術，減少 {0}% 移動速度"
"{0}% increased Movement Speed while Dual Wielding","雙持時增加 {0}% 移動速度"
"{0}% reduced Movement Speed while Dual Wielding","雙持時減少 {0}% 移動速度"
"Necrotic Footprints","死靈足跡"
"Elusive also grants {0}% to Critical Strike Multiplier for Skills Supported by Nightblade","靈巧同時 {0}% 暴擊加成至被夜刃輔助的技能"
"Dual Wielding does not inherently grant chance to Block Attack Damage","雙持時不會獲得固有的格擋攻擊傷害機率"
"Non-Projectile Chaining Lightning Skills Chain {0} times","非投射物連鎖閃點技能連鎖 {0} 次"
"Off Hand Accuracy is equal to Main Hand Accuracy while wielding a Sword","持劍時，副手命中等同於主手命中"
"{0}% increased Attack Speed with Off Hand while Dual Wielding","雙持時，增加 {0}% 副手攻擊速度"
"{0}% reduced Attack Speed with Off Hand while Dual Wielding","雙持時，減少 {0}% 副手攻擊速度"
"{0}% more Duration of Ignite on You","{0}% 更多你身上點燃的持續時間"
"{0}% less Duration of Ignite on You","{0}% 更少你身上點燃的持續時間"
"{0}% more Damage Taken from Damage over Time","承受 {0}% 更多持續傷害"
"{0}% less Damage Taken from Damage over Time","承受 {0}% 更少持續傷害"
"{0}% more Damage with Hits and Ailments against Enemies affected by at least {1} Poisons","對至少有 {1} 層中毒的敵人，有 {0}% 更多擊中和異常狀態傷害"
"{0}% less Damage with Hits and Ailments against Enemies affected by at least {1} Poisons","對至少有 {1} 層中毒的敵人，有 {0}% 更少擊中和異常狀態傷害"
"{0}% more Maximum Physical Attack Damage with Daggers","匕首有 {0}% 更多最大物理攻擊傷害"
"{0}% less Maximum Physical Attack Damage with Daggers","匕首有 {0}% 更少最大物理攻擊傷害"
"{0}% more Stun Duration with Two Handed Weapons","雙手武器有 {0}% 更多暈眩持續時間"
"{0}% less Stun Duration with Two Handed Weapons","雙手武器有 {0}% 更少暈眩持續時間"
"Petrified Blood has {0}% reduced Mana Reservation Efficiency","石化之血減少 {0}% 魔力保留效用"
"Petrified Blood has {0}% increased Mana Reservation Efficiency","石化之血增加 {0}% 魔力保留效用"
"Gain {0}% of Physical Damage as Extra Damage of a random Element while you are Ignited","你被點燃時，獲得 {0}% 物理傷害的 1 個額外隨機元素傷害"
"{0}% increased Physical Damage with Skills that Cost Life","增加 {0}% 消耗生命技能的物理傷害"
"{0}% reduced Physical Damage with Skills that Cost Life","減少 {0}% 消耗生命技能的物理傷害"
"Plague Bearer has {0}% increased Maximum Plague Value","病疫之難增加 {0}% 最大瘟疫值"
"Plague Bearer has {0}% reduced Maximum Plague Value","病疫之難減少 {0}% 最大瘟疫值"
"Precision has {0}% reduced Mana Reservation Efficiency","精準減少 {0}% 魔力保留效用"
"Precision has {0}% increased Mana Reservation Efficiency","精準增加 {0}% 魔力保留效用"
"Pride has {0}% reduced Mana Reservation Efficiency","驕傲減少 {0}% 魔力保留效用"
"Pride has {0}% increased Mana Reservation Efficiency","驕傲增加 {0}% 魔力保留效用"
"{0}% increased Physical Damage while using Pride","使用驕傲時，增加 {0}% 物理傷害"
"{0}% reduced Physical Damage while using Pride","使用驕傲時，減少 {0}% 物理傷害"
"Projectile Attack Skills have {0}% to Critical Strike Multiplier","投射物攻擊技能 {0}% 暴擊加成"
"{0}% increased Projectile Damage per {1} Dexterity","每 {1} 點敏捷增加 {0}% 投射物傷害"
"Purity of Elements has {0}% reduced Mana Reservation Efficiency","元素淨化減少 {0}% 魔力保留效用"
"Purity of Elements has {0}% increased Mana Reservation Efficiency","元素淨化增加 {0}% 魔力保留效用"
"Purity of Fire has {0}% reduced Mana Reservation Efficiency","火焰淨化減少 {0}% 魔力保留效用"
"Purity of Fire has {0}% increased Mana Reservation Efficiency","火焰淨化增加 {0}% 魔力保留效用"
"Purity of Ice has {0}% reduced Mana Reservation Efficiency","冰霜淨化減少 {0}% 魔力保留效用"
"Purity of Ice has {0}% increased Mana Reservation Efficiency","冰霜淨化增加 {0}% 魔力保留效用"
"Purity of Lightning has {0}% reduced Mana Reservation Efficiency","閃電淨化減少 {0}% 魔力保留效用"
"Purity of Lightning has {0}% increased Mana Reservation Efficiency","閃電淨化增加 {0}% 魔力保留效用"
"{0}% more chance to Evade Attacks during Onslaught","猛攻期間有 {0}% 更多閃避攻擊率"
"{0}% less chance to Evade Attacks during Onslaught","猛攻期間有 {0}% 更少閃避攻擊率"
"Recover {0}% of Life when you Kill a Cursed Enemy","當你擊殺被詛咒的敵人時，回復 {0}% 生命"
"Recover {0}% of Energy Shield when you Block Spell Damage while wielding a Staff","當你持長杖格擋法術傷害時，回復 {0}% 能量護盾"
"Recover {0}% of Life when you Block Attack Damage while wielding a Staff","當你持長杖格擋攻擊傷害時，回復 {0}% 生命"
"Recover {0}% of Life when you Ignite a non-Ignited Enemy","當你點燃未被點燃的敵人時，回復 {0}% 生命"
"Recover {0}% of Life when you use a Life Flask while on Low Life","當你貧血時使用生命藥劑，回復 {0}% 生命"
"Recover {0}% of Mana when a Brand expires while Attached","當烙印附著時失效，回復 {0}% 魔力"
"Recover {0}% of Life on Killing a Poisoned Enemy","擊殺中毒敵人回復 {0}% 生命"
"Recover {0} Energy Shield when you Block Spell Damage","當你格檔法術傷害時，回復 {0} 能量護盾"
"Recover {0} Energy Shield when you Suppress Spell Damage","當你壓抑法術傷害時，回復 {0} 能量護盾"
"Your Hits treat Chaos Resistance as {0}% higher than actual value","你的擊中將混沌抗性視為比實際值高 {0}%"
"Damage Penetrates {0}% Fire Resistance while affected by Anger","被憤怒影響時，傷害穿透 {0}% 火焰抗性"
"Reflect Physical Damage equal to {0}% of Physical Damage prevented when Hit","被擊中時，反射物理傷害等同於 {0}% 以阻止物理傷害"
"Regenerate {0} Mana per second while you have Arcane Surge","你有秘能波動時，每秒回復 {0} 魔力"
"Remove a random non-Elemental Ailment when you use a Life Flask","當你使用生命藥劑時，移除 1 個隨機非元素異常狀態"
"{0}% to All Resistances","{0}% 全部抗性"
"Ruthless Hits Intimidate Enemies for {0} seconds","殘暴之擊威嚇敵人 {0} 秒"
"Attacks Exerted by Seismic Cry deal {0}% increased Damage","被裂地戰吼竭盡的攻擊增加 {0}% 傷害"
"Hits at Close Range with Shattering Steel Fortify","使用鋼之碎擊近距離擊中護體"
"Enemies Shocked or Frozen by you take {0}% increased Elemental Damage","被你感電或冰凍的敵人，增加承受 {0}% 元素傷害"
"Enemies Shocked or Frozen by you take {0}% reduced Elemental Damage","被你感電或冰凍的敵人，減少承受 {0}% 元素傷害"
"Skills Supported by Nightblade have {0}% increased Effect of Elusive","被夜刃輔助的技能增加 {0}% 靈巧的效果"
"Skills Supported by Nightblade have {0}% reduced Effect of Elusive","被夜刃輔助的技能減少 {0}% 靈巧的效果"
"Summon Skitterbots has {0}% reduced Mana Reservation Efficiency","召喚探測機獸減少 {0}% 魔力保留效用"
"Summon Skitterbots has {0}% increased Mana Reservation Efficiency","S召喚探測機獸增加 {0}% 魔力保留效用"
"{0}% chance to Block Spell Damage while holding a Staff or Shield","持長杖或盾時，{0}% 法術傷害格擋率"
"{0}% increased Spell Damage per {1}% Chance to Block Spell Damage","每 {1}% 法術傷害格擋率增加 {0}% 法術傷害"
"{0}% chance for Spell Hits against you to inflict Poison","法術 {0}% 機率對你擊中造成中毒"
"Spell Hits against you to inflict Poison","法術對你擊中造成中毒"
"{0}% chance to Suppress Spell Damage if you've Hit an Enemy Recently","若你近期有擊中敵人，{0}% 壓抑法術傷害率"
"{0}% chance to Suppress Spell Damage if your Boots, Helmet and Gloves have Evasion","若你的鞋子、頭盔和手套有閃避，{0}% 壓抑法術傷害率"
"{0}% chance to Suppress Spell Damage per Endurance Charge","每顆耐力球 {0}% 壓抑法術傷害率"
"{0}% chance to Suppress Spell Damage for each Dagger you're Wielding","每個你裝備的匕首，{0}% 壓抑法術傷害率"
"{0}% chance to Suppress Spell Damage per Power Charge","每顆報擊球 {0}% 壓抑法術傷害率"
"{0}% chance to Suppress Spell Damage while affected by Grace","被優雅影響時，{0}% 壓抑法術傷害率"
"{0}% chance to Suppress Spell Damage while affected by Haste","被迅捷影響時，{0}% 壓抑法術傷害率"
"{0}% chance to Suppress Spell Damage while holding a Shield","持盾時，{0}% 壓抑法術傷害率"
"{0}% chance to Suppress Spell Damage while moving","移動時，{0}% 壓抑法術傷害率"
"{0}% chance to Suppress Spell Damage while your Off Hand is empty","你沒有副手時，{0}% 壓抑法術傷害率"
"{0}% chance to Suppress Spell Damage if you've Suppressed Spell Damage Recently","若你近期有壓抑法術傷害，{0}% 壓抑法術傷害率"
"{0}% chance to Suppress Spell Damage while on Full Energy Shield","滿能量護盾時，{0}% 壓抑法術傷害率"
"{0}% chance to Suppress Spell Damage while on Full Life","滿血時，{0}% 壓抑法術傷害率"
"{0}% reduced Mana Reservation Efficiency of Skills Supported by Spellslinger","減少 {0}% 被法術回音輔助技能的魔力保留效用"
"{0}% increased Mana Reservation Efficiency of Skills Supported by Spellslinger","增加 {0}% 被法術回音輔助技能的魔力保留效用"
"{0}% increased Mana Reservation Efficiency of Stance Skills","增加 {0}% 姿態技能的魔力保留效用"
"{0}% reduced Mana Reservation Efficiency of Stance Skills","減少 {0}% 姿態技能的魔力保留效用"
"Energy Blades have {0}% increased Attack Speed","能量之刃增加 {0}% 攻擊速度"
"Energy Blades have {0}% reduced Attack Speed","能量之刃減少 {0}% 攻擊速度"
"Attacks with Energy Blades Penetrate {0}% Lightning Resistance","能量之刃攻擊穿透 {0}% 閃電抗性"
"Energy Blades Grant {0}% of Lightning Damage with Attacks Converted to Chaos Damage","能量之刃將 {0}% 攻擊閃電傷害轉化至混沌傷害"
"Energy Blades Grant {0}% chance to Shock","能量之刃有 {0}% 機率感電"
"Energy Blades have {0}% increased Critical Strike Chance","能量之刃增加 {0}% 暴擊率"
"Energy Blades have {0}% reduced Critical Strike Chance","能量之刃減少 {0}% 暴擊率"
"Stuns from Critical Strikes have {0}% increased Duration","暴擊造成的暈眩增加 {0}% 持續時間"
