"# of Nearby Corpses:","근처 시체 수:"
"% to not Consume:","충전 미-소모 확률:"
"%Inc Armour from Tree","방어도 증가%(패시브)"
"%Inc ES from Tree","에너지 보호막 증가%(패시브)"
"%Inc Evasion from Tree","회피 증가%(패시브)"
"%Inc Life from Tree","생명력 증가%(패시브)"
"%Inc Mana from Tree","마나 증가%(패시브)"
"{0} (base cooldown of Flamewood)","^7{0} ^8(화염나무 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Flammability)","^7{0} ^8(인화성의 기본 재사용 대기시간)"
"{0} (base cooldown of Flesh Offering)","^7{0} ^8(살점 공물의 기본 재사용 대기시간)"
"{0} (base cooldown of Flesh and Stone)","^7{0} ^8(육체와 돌의 기본 재사용 대기시간)"
"{0} (base cooldown of Flicker Strike)","^7{0} ^8(점멸 타격의 기본 재사용 대기시간)"
"{0} (base cooldown of Focused Ballista)","^7{0} ^8(쇠뇌 집중 사격 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Forbidden Rite)","^7{0} ^8(금단의 의식의 기본 재사용 대기시간)"
"{0} (base cooldown of Fork)","^7{0} ^8(갈래 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Fortify)","^7{0} ^8(방어 상승 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Freezing Pulse)","^7{0} ^8(동결 파동의 기본 재사용 대기시간)"
"{0} (base cooldown of Frenzy)","^7{0} ^8(격분의 기본 재사용 대기시간)"
"{0} (base cooldown of Fresh Meat)","^7{0} ^8(신선한 고기 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Frigid Bond)","^7{0} ^8(차디찬 유대 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Frost Blades)","^7{0} ^8(서리 칼날의 기본 재사용 대기시간)"
"{0} (base cooldown of Frost Bomb)","^7{0} ^8(서리 폭탄의 기본 재사용 대기시간)"
"{0} (base cooldown of Frost Shield)","^7{0} ^8(서리 방패의 기본 재사용 대기시간)"
"{0} (base cooldown of Frost Wall)","^7{0} ^8(서리 방벽의 기본 재사용 대기시간)"
"{0} (base cooldown of Frostbite)","^7{0} ^8(동상의 기본 재사용 대기시간)"
"{0} (base cooldown of Frostblink)","^7{0} ^8(서리점멸의 기본 재사용 대기시간)"
"{0} (base cooldown of Frostbolt)","^7{0} ^8(서리 구체의 기본 재사용 대기시간)"
"{0} (base cooldown of Frozen Legion)","^7{0} ^8(얼어붙은 군단의 기본 재사용 대기시간)"
"{0} (base cooldown of Galvanic Arrow)","^7{0} ^8(충격 화살의 기본 재사용 대기시간)"
"{0} (base cooldown of Galvanic Field)","^7{0} ^8(충격장의 기본 재사용 대기시간)"
"{0} (base cooldown of General's Cry)","^7{0} ^8(장군의 함성의 기본 재사용 대기시간)"
"{0} (base cooldown of Generosity)","^7{0} ^8(관대함 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Glacial Cascade)","^7{0} ^8(빙하 폭포의 기본 재사용 대기시간)"
"{0} (base cooldown of Glacial Hammer)","^7{0} ^8(빙하 망치의 기본 재사용 대기시간)"
"{0} (base cooldown of Grace)","^7{0} ^8(은총의 기본 재사용 대기시간)"
"{0} (base cooldown of Greater Multiple Projectiles)","^7{0} ^8(상위 다중 투사체 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Greater Volley)","^7{0} ^8(상위 사격 공세 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Ground Slam)","^7{0} ^8(대지 강타의 기본 재사용 대기시간)"
"{0} (base cooldown of Guardian's Blessing)","^7{0} ^8(수호자의 축복 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Haste)","^7{0} ^8(가속의 기본 재사용 대기시간)"
"{0} (base cooldown of Hatred)","^7{0} ^8(증오의 기본 재사용 대기시간)"
"{0} (base cooldown of Heavy Strike)","^7{0} ^8(묵직한 타격의 기본 재사용 대기시간)"
"{0} (base cooldown of Herald of Agony)","^7{0} ^8(고통의 전령의 기본 재사용 대기시간)"
"{0} (base cooldown of Herald of Ash)","^7{0} ^8(재의 전령의 기본 재사용 대기시간)"
"{0} (base cooldown of Herald of Ice)","^7{0} ^8(얼음의 전령의 기본 재사용 대기시간)"
"{0} (base cooldown of Herald of Purity)","^7{0} ^8(순수의 전령의 기본 재사용 대기시간)"
"{0} (base cooldown of Herald of Thunder)","^7{0} ^8(천둥의 전령의 기본 재사용 대기시간)"
"{0} (base cooldown of Hex Bloom)","^7{0} ^8(사술의 꽃 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Hexblast)","^7{0} ^8(사술 폭발의 기본 재사용 대기시간)"
"{0} (base cooldown of Hextouch)","^7{0} ^8(사술 손길 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of High-Impact Mine)","^7{0} ^8(고충격 지뢰 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Holy Flame Totem)","^7{0} ^8(신성한 화염 토템의 기본 재사용 대기시간)"
"{0} (base cooldown of Hydrosphere)","^7{0} ^8(물의 구체의 기본 재사용 대기시간)"
"{0} (base cooldown of Hypothermia)","^7{0} ^8(체온저하 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Ice Bite)","^7{0} ^8(얼음 쐐기 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Ice Crash)","^7{0} ^8(얼음 충격의 기본 재사용 대기시간)"
"{0} (base cooldown of Ice Nova)","^7{0} ^8(얼음 폭발의 기본 재사용 대기시간)"
"{0} (base cooldown of Ice Shot)","^7{0} ^8(얼음 화살의 기본 재사용 대기시간)"
"{0} (base cooldown of Ice Spear)","^7{0} ^8(얼음 창의 기본 재사용 대기시간)"
"{0} (base cooldown of Ice Trap)","^7{0} ^8(얼음 덫의 기본 재사용 대기시간)"
"{0} (base cooldown of Icicle Mine)","^7{0} ^8(고드름 지뢰의 기본 재사용 대기시간)"
"{0} (base cooldown of Ignite Proliferation)","^7{0} ^8(점화 확산 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Immolate)","^7{0} ^8(번제 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Immortal Call)","^7{0} ^8(불멸의 외침의 기본 재사용 대기시간)"
"{0} (base cooldown of Impale)","^7{0} ^8(꿰뚫기 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Impending Doom)","^7{0} ^8(임박한 멸망 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Incinerate)","^7{0} ^8(소각의 기본 재사용 대기시간)"
"{0} (base cooldown of Increased Area of Effect)","^7{0} ^8(효과 범위 증가 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Increased Critical Damage)","^7{0} ^8(치명타 피해 증가 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Increased Critical Strikes)","^7{0} ^8(치명타 증가 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Increased Duration)","^7{0} ^8(지속시간 증가 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Infernal Blow)","^7{0} ^8(지옥불 맹타의 기본 재사용 대기시간)"
"{0} (base cooldown of Infernal Cry)","^7{0} ^8(지옥불 함성의 기본 재사용 대기시간)"
"{0} (base cooldown of Infernal Legion)","^7{0} ^8(지옥불 군단 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Infused Channelling)","^7{0} ^8(깊어지는 집중 유지 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Innervate)","^7{0} ^8(자극 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Inspiration)","^7{0} ^8(영감 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Intensify)","^7{0} ^8(격화 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Intimidating Cry)","^7{0} ^8(위협의 함성의 기본 재사용 대기시간)"
"{0} (base cooldown of Intuitive Link)","^7{0} ^8(직관의 연결의 기본 재사용 대기시간)"
"{0} (base cooldown of Iron Grip)","^7{0} ^8(강철 손아귀 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Iron Will)","^7{0} ^8(강철의 의지 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Item Rarity)","^7{0} ^8(아이템 희귀도 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Kinetic Blast)","^7{0} ^8(역학 폭발의 기본 재사용 대기시간)"
"{0} (base cooldown of Kinetic Bolt)","^7{0} ^8(역학 투사체의 기본 재사용 대기시간)"
"{0} (base cooldown of Knockback)","^7{0} ^8(밀어내기 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Lacerate)","^7{0} ^8(피부 찢기의 기본 재사용 대기시간)"
"{0} (base cooldown of Lancing Steel)","^7{0} ^8(강철 관통의 기본 재사용 대기시간)"
"{0} (base cooldown of Leap Slam)","^7{0} ^8(도약 강타의 기본 재사용 대기시간)"
"{0} (base cooldown of Less Duration)","^7{0} ^8(지속시간 감소 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Lesser Multiple Projectiles)","^7{0} ^8(하위 다중 투사체 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Life Gain on Hit)","^7{0} ^8(명중 시 생명력 획득 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Life Leech)","^7{0} ^8(생명력 흡수 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Lifetap)","^7{0} ^8(생명력 전환 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Lightning Arrow)","^7{0} ^8(번개 화살의 기본 재사용 대기시간)"
"{0} (base cooldown of Lightning Conduit)","^7{0} ^8(번개 도관의 기본 재사용 대기시간)"
"{0} (base cooldown of Lightning Penetration)","^7{0} ^8(번개 관통 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Lightning Spire Trap)","^7{0} ^8(번개 첨탑 덫의 기본 재사용 대기시간)"
"{0} (base cooldown of Lightning Strike)","^7{0} ^8(번개 타격의 기본 재사용 대기시간)"
"{0} (base cooldown of Lightning Tendrils)","^7{0} ^8(덩굴 번개의 기본 재사용 대기시간)"
"{0} (base cooldown of Lightning Trap)","^7{0} ^8(번개 덫의 기본 재사용 대기시간)"
"{0} (base cooldown of Lightning Warp)","^7{0} ^8(번개 차원 이동의 기본 재사용 대기시간)"
"{0} (base cooldown of Locus Mine)","^7{0} ^8(궤적 지뢰 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Maim)","^7{0} ^8(힘줄 절단 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Malevolence)","^7{0} ^8(악의의 기본 재사용 대기시간)"
"{0} (base cooldown of Mana Leech)","^7{0} ^8(마나 흡수 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Manabond)","^7{0} ^8(마나 결속의 기본 재사용 대기시간)"
"{0} (base cooldown of Manaforged Arrows)","^7{0} ^8(마나벼림 화살 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Mark On Hit)","^7{0} ^8(명중 시 징표 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Meat Shield)","^7{0} ^8(육탄 방어 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Melee Physical Damage)","^7{0} ^8(근접 물리 피해 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Melee Splash)","^7{0} ^8(근접 범위 피해 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Minefield)","^7{0} ^8(지뢰밭 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Minion Damage)","^7{0} ^8(소환수 피해 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Minion Life)","^7{0} ^8(소환수 생명력 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Minion Speed)","^7{0} ^8(소환수 속도 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Mirage Archer)","^7{0} ^8(신기루 궁수 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Mirror Arrow)","^7{0} ^8(거울 화살의 기본 재사용 대기시간)"
"{0} (base cooldown of Molten Shell)","^7{0} ^8(용암 방패의 기본 재사용 대기시간)"
"{0} (base cooldown of Molten Strike)","^7{0} ^8(용암 타격의 기본 재사용 대기시간)"
"{0} (base cooldown of Momentum)","^7{0} ^8(기세 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Multiple Totems)","^7{0} ^8(다중 토템 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Multiple Traps)","^7{0} ^8(다중 덫 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Multistrike)","^7{0} ^8(연속타격 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Nightblade)","^7{0} ^8(밤의 칼날 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Orb of Storms)","^7{0} ^8(폭풍 보주의 기본 재사용 대기시간)"
"{0} (base cooldown of Overcharge)","^7{0} ^8(과충전 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Penance Brand)","^7{0} ^8(속죄의 낙인의 기본 재사용 대기시간)"
"{0} (base cooldown of Perforate)","^7{0} ^8(천공의 기본 재사용 대기시간)"
"{0} (base cooldown of Pestilent Strike)","^7{0} ^8(전염성 일격의 기본 재사용 대기시간)"
"{0} (base cooldown of Petrified Blood)","^7{0} ^8(피 석화의 기본 재사용 대기시간)"
"{0} (base cooldown of Phase Run)","^7{0} ^8(위상 질주의 기본 재사용 대기시간)"
"{0} (base cooldown of Physical to Lightning)","^7{0} ^8(물리 번개 전환 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Pierce)","^7{0} ^8(관통 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Pinpoint)","^7{0} ^8(핵심 조준 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Plague Bearer)","^7{0} ^8(독성 운반자의 기본 재사용 대기시간)"
"{0} (base cooldown of Poacher's Mark)","^7{0} ^8(밀렵꾼의 징표의 기본 재사용 대기시간)"
"{0} (base cooldown of Point Blank)","^7{0} ^8(근접 사격 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Poisonous Concoction)","^7{0} ^8(독성 혼합물의 기본 재사용 대기시간)"
"{0} (base cooldown of Power Charge On Critical)","^7{0} ^8(치명타 시 권능 충전 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Power Siphon)","^7{0} ^8(권능 착취의 기본 재사용 대기시간)"
"{0} (base cooldown of Precision)","^7{0} ^8(정밀함의 기본 재사용 대기시간)"
"{0} (base cooldown of Predator)","^7{0} ^8(포식자 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Pride)","^7{0} ^8(자부심의 기본 재사용 대기시간)"
"{0} (base cooldown of Prismatic Burst)","^7{0} ^8(분광 격발 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Protective Link)","^7{0} ^8(보호의 연결의 기본 재사용 대기시간)"
"{0} (base cooldown of Pulverise)","^7{0} ^8(분쇄 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Puncture)","^7{0} ^8(관통상의 기본 재사용 대기시간)"
"{0} (base cooldown of Punishment)","^7{0} ^8(응징의 기본 재사용 대기시간)"
"{0} (base cooldown of Purifying Flame)","^7{0} ^8(정화의 불길의 기본 재사용 대기시간)"
"{0} (base cooldown of Purity of Elements)","^7{0} ^8(원소의 순수함의 기본 재사용 대기시간)"
"{0} (base cooldown of Purity of Fire)","^7{0} ^8(불의 순수함의 기본 재사용 대기시간)"
"{0} (base cooldown of Purity of Ice)","^7{0} ^8(얼음의 순수함의 기본 재사용 대기시간)"
"{0} (base cooldown of Purity of Lightning)","^7{0} ^8(번개의 순수함의 기본 재사용 대기시간)"
"{0} (base cooldown of Pyroclast Mine)","^7{0} ^8(화산탄 지뢰의 기본 재사용 대기시간)"
"{0} (base cooldown of Rage Vortex)","^7{0} ^8(격노 소용돌이의 기본 재사용 대기시간)"
"{0} (base cooldown of Rage)","^7{0} ^8(격노 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Rain of Arrows)","^7{0} ^8(화살비의 기본 재사용 대기시간)"
"{0} (base cooldown of Raise Spectre)","^7{0} ^8(망령 소환의 기본 재사용 대기시간)"
"{0} (base cooldown of Raise Zombie)","^7{0} ^8(좀비 소환의 기본 재사용 대기시간)"
"{0} (base cooldown of Rallying Cry)","^7{0} ^8(집결의 함성의 기본 재사용 대기시간)"
"{0} (base cooldown of Reap)","^7{0} ^8(낫질의 기본 재사용 대기시간)"
"{0} (base cooldown of Reave)","^7{0} ^8(약탈의 기본 재사용 대기시간)"
"{0} (base cooldown of Reckoning)","^7{0} ^8(역습의 기본 재사용 대기시간)"
"{0} (base cooldown of Rejuvenation Totem)","^7{0} ^8(회복 토템의 기본 재사용 대기시간)"
"{0} (base cooldown of Returning Projectiles)","^7{0} ^8(돌아오는 투사체 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Righteous Fire)","^7{0} ^8(정의의 화염의 기본 재사용 대기시간)"
"{0} (base cooldown of Riposte)","^7{0} ^8(반격의 기본 재사용 대기시간)"
"{0} (base cooldown of Rolling Magma)","^7{0} ^8(몰려오는 마그마의 기본 재사용 대기시간)"
"{0} (base cooldown of Ruthless)","^7{0} ^8(무자비 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Sacrifice)","^7{0} ^8(희생 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Sadism)","^7{0} ^8(가학증 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Scorching Ray)","^7{0} ^8(작열 광선의 기본 재사용 대기시간)"
"{0} (base cooldown of Scourge Arrow)","^7{0} ^8(재앙의 화살의 기본 재사용 대기시간)"
"{0} (base cooldown of Searing Bond)","^7{0} ^8(불타는 굴레의 기본 재사용 대기시간)"
"{0} (base cooldown of Second Wind)","^7{0} ^8(새로운 활력 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Seismic Cry)","^7{0} ^8(지진 함성의 기본 재사용 대기시간)"
"{0} (base cooldown of Seismic Trap)","^7{0} ^8(지진 덫의 기본 재사용 대기시간)"
"{0} (base cooldown of Shattering Steel)","^7{0} ^8(강철 파편의 기본 재사용 대기시간)"
"{0} (base cooldown of Shield Charge)","^7{0} ^8(방패 돌진의 기본 재사용 대기시간)"
"{0} (base cooldown of Shield Crush)","^7{0} ^8(방패 타쇄의 기본 재사용 대기시간)"
"{0} (base cooldown of Shock Nova)","^7{0} ^8(충격 폭발의 기본 재사용 대기시간)"
"{0} (base cooldown of Shockwave Totem)","^7{0} ^8(충격파 토템의 기본 재사용 대기시간)"
"{0} (base cooldown of Shockwave)","^7{0} ^8(충격파 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Shrapnel Ballista)","^7{0} ^8(파편 쇠뇌의 기본 재사용 대기시간)"
"{0} (base cooldown of Siege Ballista)","^7{0} ^8(공성 쇠뇌의 기본 재사용 대기시간)"
"{0} (base cooldown of Sigil of Power)","^7{0} ^8(힘의 부적의 기본 재사용 대기시간)"
"{0} (base cooldown of Siphoning Trap)","^7{0} ^8(착취 덫의 기본 재사용 대기시간)"
"{0} (base cooldown of Slower Projectiles)","^7{0} ^8(투사체 속도 감소 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Smite)","^7{0} ^8(징벌의 기본 재사용 대기시간)"
"{0} (base cooldown of Smoke Mine)","^7{0} ^8(연막 지뢰의 기본 재사용 대기시간)"
"{0} (base cooldown of Snipe)","^7{0} ^8(저격의 기본 재사용 대기시간)"
"{0} (base cooldown of Sniper's Mark)","^7{0} ^8(저격수의 징표의 기본 재사용 대기시간)"
"{0} (base cooldown of Soul Link)","^7{0} ^8(영혼의 연결의 기본 재사용 대기시간)"
"{0} (base cooldown of Soulrend)","^7{0} ^8(영혼 분리의 기본 재사용 대기시간)"
"{0} (base cooldown of Spark)","^7{0} ^8(전기불꽃의 기본 재사용 대기시간)"
"{0} (base cooldown of Spectral Helix)","^7{0} ^8(영체 나선의 기본 재사용 대기시간)"
"{0} (base cooldown of Spectral Shield Throw)","^7{0} ^8(환영 방패 투척의 기본 재사용 대기시간)"
"{0} (base cooldown of Spectral Throw)","^7{0} ^8(환영 무기 투척의 기본 재사용 대기시간)"
"{0} (base cooldown of Spell Cascade)","^7{0} ^8(연속 주문 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Spell Echo)","^7{0} ^8(주문 메아리 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Spell Totem)","^7{0} ^8(주문 토템 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Spellblade)","^7{0} ^8(주문칼날 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Spellslinger)","^7{0} ^8(주문투척의 기본 재사용 대기시간)"
"{0} (base cooldown of Spirit Offering)","^7{0} ^8(영혼 공물의 기본 재사용 대기시간)"
"{0} (base cooldown of Split Arrow)","^7{0} ^8(분할 화살의 기본 재사용 대기시간)"
"{0} (base cooldown of Splitting Steel)","^7{0} ^8(강철 분할의 기본 재사용 대기시간)"
"{0} (base cooldown of Static Strike)","^7{0} ^8(정전기 타격의 기본 재사용 대기시간)"
"{0} (base cooldown of Steelskin)","^7{0} ^8(강철피부의 기본 재사용 대기시간)"
"{0} (base cooldown of Storm Brand)","^7{0} ^8(폭풍의 낙인의 기본 재사용 대기시간)"
"{0} (base cooldown of Storm Burst)","^7{0} ^8(폭풍 점사의 기본 재사용 대기시간)"
"{0} (base cooldown of Storm Call)","^7{0} ^8(폭풍 부름의 기본 재사용 대기시간)"
"{0} (base cooldown of Storm Rain)","^7{0} ^8(폭풍우의 기본 재사용 대기시간)"
"{0} (base cooldown of Stormbind)","^7{0} ^8(폭풍 연대의 기본 재사용 대기시간)"
"{0} (base cooldown of Stormblast Mine)","^7{0} ^8(태풍 파열 지뢰의 기본 재사용 대기시간)"
"{0} (base cooldown of Stun)","^7{0} ^8(기절 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Summon Carrion Golem)","^7{0} ^8(부패 골렘 소환의 기본 재사용 대기시간)"
"{0} (base cooldown of Summon Chaos Golem)","^7{0} ^8(카오스 골렘 소환의 기본 재사용 대기시간)"
"{0} (base cooldown of Summon Flame Golem)","^7{0} ^8(화염 골렘 소환의 기본 재사용 대기시간)"
"{0} (base cooldown of Summon Holy Relic)","^7{0} ^8(신성한 유물 소환의 기본 재사용 대기시간)"
"{0} (base cooldown of Summon Ice Golem)","^7{0} ^8(얼음 골렘 소환의 기본 재사용 대기시간)"
"{0} (base cooldown of Summon Lightning Golem)","^7{0} ^8(번개 골렘 소환의 기본 재사용 대기시간)"
"{0} (base cooldown of Summon Phantasm)","^7{0} ^8(환영 소환 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Summon Raging Spirit)","^7{0} ^8(격노의 유령 소환의 기본 재사용 대기시간)"
"{0} (base cooldown of Summon Reaper)","^7{0} ^8(수확자 소환의 기본 재사용 대기시간)"
"{0} (base cooldown of Summon Skeletons)","^7{0} ^8(해골 소환의 기본 재사용 대기시간)"
"{0} (base cooldown of Summon Skitterbots)","^7{0} ^8(원격 기폭 장치 소환의 기본 재사용 대기시간)"
"{0} (base cooldown of Summon Stone Golem)","^7{0} ^8(돌 골렘 소환의 기본 재사용 대기시간)"
"{0} (base cooldown of Sunder)","^7{0} ^8(산산조각의 기본 재사용 대기시간)"
"{0} (base cooldown of Sweep)","^7{0} ^8(휩쓸기의 기본 재사용 대기시간)"
"{0} (base cooldown of Swift Affliction)","^7{0} ^8(고통 격화 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Swift Assembly)","^7{0} ^8(재빠른 조립 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Swiftbrand)","^7{0} ^8(재빠른 낙인 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Tectonic Slam)","^7{0} ^8(지층 강타의 기본 재사용 대기시간)"
"{0} (base cooldown of Tempest Shield)","^7{0} ^8(폭풍의 방패의 기본 재사용 대기시간)"
"{0} (base cooldown of Temporal Chains)","^7{0} ^8(시간의 사슬의 기본 재사용 대기시간)"
"{0} (base cooldown of Temporal Rift)","^7{0} ^8(시간의 균열의 기본 재사용 대기시간)"
"{0} (base cooldown of Tornado Shot)","^7{0} ^8(회오리 사격의 기본 재사용 대기시간)"
"{0} (base cooldown of Tornado)","^7{0} ^8(회오리의 기본 재사용 대기시간)"
"{0} (base cooldown of Toxic Rain)","^7{0} ^8(맹독성 비의 기본 재사용 대기시간)"
"{0} (base cooldown of Trap and Mine Damage)","^7{0} ^8(덫 및 지뢰 피해 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Trap)","^7{0} ^8(덫 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Trauma)","^7{0} ^8(외상 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Trinity)","^7{0} ^8(삼위일체 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Unbound Ailments)","^7{0} ^8(벌어지는 상처 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Unearth)","^7{0} ^8(발굴의 기본 재사용 대기시간)"
"{0} (base cooldown of Unleash)","^7{0} ^8(촉발 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Urgent Orders)","^7{0} ^8(긴급 명령 보조의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Absolution)","^7{0} ^8(바알 면죄의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Ancestral Warchief)","^7{0} ^8(바알 선대의 대전사의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Animate Weapon)","^7{0} ^8(바알 무기 기동의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Arc)","^7{0} ^8(바알 연쇄 번개의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Arctic Armour)","^7{0} ^8(바알 한기의 방어구의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Blade Flurry)","^7{0} ^8(바알 질풍의 칼날의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Blade Vortex)","^7{0} ^8(바알 칼날 소용돌이의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Blight)","^7{0} ^8(바알 황폐의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Burning Arrow)","^7{0} ^8(바알 불타는 화살의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Caustic Arrow)","^7{0} ^8(바알 부식성 화살의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Clarity)","^7{0} ^8(바알 명상의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Cleave)","^7{0} ^8(바알 회전베기의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Cold Snap)","^7{0} ^8(바알 한파의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Cyclone)","^7{0} ^8(바알 회오리바람의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Detonate Dead)","^7{0} ^8(바알 시체 폭발의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Discipline)","^7{0} ^8(바알 단련의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Domination)","^7{0} ^8(바알 지배의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Double Strike)","^7{0} ^8(바알 이중 타격의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Earthquake)","^7{0} ^8(바알 지진의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Fireball)","^7{0} ^8(바알 화염구의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Firestorm)","^7{0} ^8(바알 화염 폭풍의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Flameblast)","^7{0} ^8(바알 화염파의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Flicker Strike)","^7{0} ^8(바알 점멸 타격의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Glacial Hammer)","^7{0} ^8(바알 빙하 망치의 기본 재사용 대기시간)"
"{0} (base cooldown of Vaal Grace)","^7{0} ^8(바알 은총의 기본 재사용 대기시간)"
