Absolution,면죄
"Anger (Disabled) (Forced Active) (FullDPS)","^7분노 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Determination (Disabled) (Forced Active) (FullDPS)","^7결의 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Battlemage's Cry (Disabled) (Forced Active) (FullDPS)","^7전투마법사의 함성 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Dread Banner (Disabled) (Forced Active) (FullDPS)","^7공포의 깃발 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Purity of Fire (Disabled) (Forced Active) (FullDPS)","^7불의 순수함 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"General's Cry (Disabled) (Forced Active) (FullDPS)","^7장군의 함성 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Infernal Cry (Disabled) (Forced Active) (FullDPS)","^7지옥불 함성 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Petrified Blood (Disabled) (Forced Active) (FullDPS)","^7피 석화 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Pride (Disabled) (Forced Active) (FullDPS)","^7자부심 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Punishment (Disabled) (Forced Active) (FullDPS)","^7응징 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Rallying Cry (Disabled) (Forced Active) (FullDPS)","^7집결의 함성 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Impurity of Fire (Disabled) (Forced Active) (FullDPS)","^7바알 불의 부정함 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vengeance (Disabled) (Forced Active) (FullDPS)","^7복수 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vulnerability (Disabled) (Forced Active) (FullDPS)","^7취약성 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Reap (Disabled) (Forced Active) (FullDPS)","^7바알 낫질 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Domination (Disabled) (Forced Active) (FullDPS)","^7바알 지배 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Animate Guardian (Disabled) (Forced Active) (FullDPS)","^7수호자 기동 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Boneshatter (Disabled) (Forced Active) (FullDPS)","^7뼈 박살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Reap (Disabled) (Forced Active) (FullDPS)","^7낫질 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Bladestorm (Disabled) (Forced Active) (FullDPS)","^7칼날 폭풍 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Dominating Blow (Disabled) (Forced Active) (FullDPS)","^7지배의 맹타 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Consecrated Path (Disabled) (Forced Active) (FullDPS)","^7축성의 진격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ice Crash (Disabled) (Forced Active) (FullDPS)","^7얼음 충격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Earthquake (Disabled) (Forced Active) (FullDPS)","^7지진 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Rage Vortex (Disabled) (Forced Active) (FullDPS)","^7격노 소용돌이 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Shockwave Totem (Disabled) (Forced Active) (FullDPS)","^7충격파 토템 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ancestral Warchief (Disabled) (Forced Active) (FullDPS)","^7선대의 대전사 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Ancestral Warchief (Disabled) (Forced Active) (FullDPS)","^7바알 선대의 대전사 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Tectonic Slam (Disabled) (Forced Active) (FullDPS)","^7지층 강타 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Earthquake (Disabled) (Forced Active) (FullDPS)","^7바알 지진 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Frozen Legion (Disabled) (Forced Active) (FullDPS)","^7얼어붙은 군단 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Berserk (Disabled) (Forced Active) (FullDPS)","^7광폭 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Protective Link (Disabled) (Forced Active) (FullDPS)","^7보호의 연결 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Flame Golem (Disabled) (Forced Active) (FullDPS)","^7화염 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Flame Link (Disabled) (Forced Active) (FullDPS)","^7화염의 연결 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Immortal Call (Disabled) (Forced Active) (FullDPS)","^7불멸의 외침 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Stone Golem (Disabled) (Forced Active) (FullDPS)","^7돌 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Immortal Call (Disabled) (Forced Active) (FullDPS)","^7바알 불멸의 외침 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Ice Shot (Disabled) (Forced Active) (FullDPS)","^7바알 얼음 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Caustic Arrow (Disabled) (Forced Active) (FullDPS)","^7바알 부식성 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Split Arrow (Disabled) (Forced Active) (FullDPS)","^7바알 분할 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Burning Arrow (Disabled) (Forced Active) (FullDPS)","^7불타는 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Cobra Lash (Disabled) (Forced Active) (FullDPS)","^7코브라 채찍 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Double Strike (Disabled) (Forced Active) (FullDPS)","^7이중 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Dual Strike (Disabled) (Forced Active) (FullDPS)","^7쌍수 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ethereal Knives (Disabled) (Forced Active) (FullDPS)","^7천상의 단도 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Spectral Throw (Disabled) (Forced Active) (FullDPS)","^7환영 무기 투척 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ice Shot (Disabled) (Forced Active) (FullDPS)","^7얼음 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Frost Blades (Disabled) (Forced Active) (FullDPS)","^7서리 칼날 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Splitting Steel (Disabled) (Forced Active) (FullDPS)","^7강철 분할 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Caustic Arrow (Disabled) (Forced Active) (FullDPS)","^7부식성 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Galvanic Arrow (Disabled) (Forced Active) (FullDPS)","^7충격 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Explosive Trap (Disabled) (Forced Active) (FullDPS)","^7폭발 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Split Arrow (Disabled) (Forced Active) (FullDPS)","^7분할 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Burning Arrow (Disabled) (Forced Active) (FullDPS)","^7바알 불타는 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Spectral Throw (Disabled) (Forced Active) (FullDPS)","^7바알 환영 무기 투척 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Double Strike (Disabled) (Forced Active) (FullDPS)","^7바알 이중 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Viper Strike (Disabled) (Forced Active) (FullDPS)","^7맹독 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Animate Weapon (Disabled) (Forced Active) (FullDPS)","^7바알 무기 기동 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Animate Weapon (Disabled) (Forced Active) (FullDPS)","^7무기 기동 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Bear Trap (Disabled) (Forced Active) (FullDPS)","^7곰 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Detonate Dead (Disabled) (Forced Active) (FullDPS)","^7시체 폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Sniper's Mark (Disabled) (Forced Active) (FullDPS)","^7저격수의 징표 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Puncture (Disabled) (Forced Active) (FullDPS)","^7관통상 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Dash (Disabled) (Forced Active) (FullDPS)","^7질주 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Riposte (Disabled) (Forced Active) (FullDPS)","^7반격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Shrapnel Ballista (Disabled) (Forced Active) (FullDPS)","^7파편 쇠뇌 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Detonate Dead (Disabled) (Forced Active) (FullDPS)","^7바알 시체 폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Snipe (Disabled) (Forced Active) (FullDPS)","^7저격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Flicker Strike (Disabled) (Forced Active) (FullDPS)","^7바알 점멸 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Precision (Disabled) (Forced Active) (FullDPS)","^7정밀함 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Unearth (Disabled) (Forced Active) (FullDPS)","^7발굴 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blink Arrow (Disabled) (Forced Active) (FullDPS)","^7점멸 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Flicker Strike (Disabled) (Forced Active) (FullDPS)","^7점멸 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Mirror Arrow (Disabled) (Forced Active) (FullDPS)","^7거울 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Smoke Mine (Disabled) (Forced Active) (FullDPS)","^7연막 지뢰 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Whirling Blades (Disabled) (Forced Active) (FullDPS)","^7칼날 선회 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Withering Step (Disabled) (Forced Active) (FullDPS)","^7고사시키는 걸음 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Lightning Arrow (Disabled) (Forced Active) (FullDPS)","^7바알 번개 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Venom Gyre (Disabled) (Forced Active) (FullDPS)","^7바알 독액 선회 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Barrage (Disabled) (Forced Active) (FullDPS)","^7연발 사격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blade Trap (Disabled) (Forced Active) (FullDPS)","^7칼날 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Siege Ballista (Disabled) (Forced Active) (FullDPS)","^7공성 쇠뇌 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lacerate (Disabled) (Forced Active) (FullDPS)","^7피부 찢기 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Elemental Hit (Disabled) (Forced Active) (FullDPS)","^7원소의 일격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Fire Trap (Disabled) (Forced Active) (FullDPS)","^7화염 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lightning Arrow (Disabled) (Forced Active) (FullDPS)","^7번개 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lightning Strike (Disabled) (Forced Active) (FullDPS)","^7번개 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Poisonous Concoction (Disabled) (Forced Active) (FullDPS)","^7독성 혼합물 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Rain of Arrows (Disabled) (Forced Active) (FullDPS)","^7화살비 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Toxic Rain (Disabled) (Forced Active) (FullDPS)","^7맹독성 비 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Reave (Disabled) (Forced Active) (FullDPS)","^7약탈 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Shattering Steel (Disabled) (Forced Active) (FullDPS)","^7강철 파편 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Venom Gyre (Disabled) (Forced Active) (FullDPS)","^7독액 선회 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Spectral Helix (Disabled) (Forced Active) (FullDPS)","^7영체 나선 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blade Vortex (Disabled) (Forced Active) (FullDPS)","^7칼날 소용돌이 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Lightning Strike (Disabled) (Forced Active) (FullDPS)","^7바알 번개 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Blade Vortex (Disabled) (Forced Active) (FullDPS)","^7바알 칼날 소용돌이 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Rain of Arrows (Disabled) (Forced Active) (FullDPS)","^7바알 화살비 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Reave (Disabled) (Forced Active) (FullDPS)","^7바알 약탈 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Volatile Dead (Disabled) (Forced Active) (FullDPS)","^7시체 불덩이 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Arctic Armour (Disabled) (Forced Active) (FullDPS)","^7바알 한기의 방어구 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blood Rage (Disabled) (Forced Active) (FullDPS)","^7피의 격노 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blade Blast (Disabled) (Forced Active) (FullDPS)","^7칼날 폭격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Desecrate (Disabled) (Forced Active) (FullDPS)","^7모독 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ensnaring Arrow (Disabled) (Forced Active) (FullDPS)","^7올가미 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Frenzy (Disabled) (Forced Active) (FullDPS)","^7격분 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Herald of Agony (Disabled) (Forced Active) (FullDPS)","^7고통의 전령 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Herald of Ice (Disabled) (Forced Active) (FullDPS)","^7얼음의 전령 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Arctic Armour (Disabled) (Forced Active) (FullDPS)","^7한기의 방어구 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Poacher's Mark (Disabled) (Forced Active) (FullDPS)","^7밀렵꾼의 징표 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Alchemist's Mark (Disabled) (Forced Active) (FullDPS)","^7연금술사의 징표 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Purity of Ice (Disabled) (Forced Active) (FullDPS)","^7얼음의 순수함 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Grace (Disabled) (Forced Active) (FullDPS)","^7은총 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Haste (Disabled) (Forced Active) (FullDPS)","^7가속 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Hatred (Disabled) (Forced Active) (FullDPS)","^7증오 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Plague Bearer (Disabled) (Forced Active) (FullDPS)","^7독성 운반자 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Temporal Chains (Disabled) (Forced Active) (FullDPS)","^7시간의 사슬 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Impurity of Ice (Disabled) (Forced Active) (FullDPS)","^7바알 얼음의 부정함 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Grace (Disabled) (Forced Active) (FullDPS)","^7바알 은총 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Haste (Disabled) (Forced Active) (FullDPS)","^7바알 가속 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Blade Flurry (Disabled) (Forced Active) (FullDPS)","^7바알 질풍의 칼날 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blast Rain (Disabled) (Forced Active) (FullDPS)","^7폭발 화살비 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blade Flurry (Disabled) (Forced Active) (FullDPS)","^7질풍의 칼날 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Charged Dash (Disabled) (Forced Active) (FullDPS)","^7충전 질주 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Cremation (Disabled) (Forced Active) (FullDPS)","^7시체 소각 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Cyclone (Disabled) (Forced Active) (FullDPS)","^7회오리바람 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Wild Strike (Disabled) (Forced Active) (FullDPS)","^7사나운 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Explosive Arrow (Disabled) (Forced Active) (FullDPS)","^7폭발 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Explosive Concoction (Disabled) (Forced Active) (FullDPS)","^7폭발성 혼합물 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Flamethrower Trap (Disabled) (Forced Active) (FullDPS)","^7화염방사기 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ice Trap (Disabled) (Forced Active) (FullDPS)","^7얼음 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lancing Steel (Disabled) (Forced Active) (FullDPS)","^7강철 관통 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Pestilent Strike (Disabled) (Forced Active) (FullDPS)","^7전염성 일격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Artillery Ballista (Disabled) (Forced Active) (FullDPS)","^7포대 쇠뇌 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Storm Rain (Disabled) (Forced Active) (FullDPS)","^7폭풍우 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Bladefall (Disabled) (Forced Active) (FullDPS)","^7칼날비 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Seismic Trap (Disabled) (Forced Active) (FullDPS)","^7지진 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Spectral Shield Throw (Disabled) (Forced Active) (FullDPS)","^7환영 방패 투척 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Tornado Shot (Disabled) (Forced Active) (FullDPS)","^7회오리 사격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Cyclone (Disabled) (Forced Active) (FullDPS)","^7바알 회오리바람 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Scourge Arrow (Disabled) (Forced Active) (FullDPS)","^7재앙의 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ambush (Disabled) (Forced Active) (FullDPS)","^7매복 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Temporal Rift (Disabled) (Forced Active) (FullDPS)","^7시간의 균열 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Summon Ice Golem (Disabled) (Forced Active) (FullDPS)","^7얼음 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vampiric Link (Disabled) (Forced Active) (FullDPS)","^7흡혈의 연결 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Phase Run (Disabled) (Forced Active) (FullDPS)","^7위상 질주 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Tornado (Disabled) (Forced Active) (FullDPS)","^7회오리 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Intuitive Link (Disabled) (Forced Active) (FullDPS)","^7직관의 연결 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blight (Disabled) (Forced Active) (FullDPS)","^7황폐 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Rolling Magma (Disabled) (Forced Active) (FullDPS)","^7몰려오는 마그마 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Fireball (Disabled) (Forced Active) (FullDPS)","^7화염구 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Frostbolt (Disabled) (Forced Active) (FullDPS)","^7서리 구체 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Freezing Pulse (Disabled) (Forced Active) (FullDPS)","^7동결 파동 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Stormblast Mine (Disabled) (Forced Active) (FullDPS)","^7태풍 파열 지뢰 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Lightning Tendrils (Disabled) (Forced Active) (FullDPS)","^7덩굴 번개 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Purifying Flame (Disabled) (Forced Active) (FullDPS)","^7정화의 불길 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Raise Zombie (Disabled) (Forced Active) (FullDPS)","^7좀비 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Spark (Disabled) (Forced Active) (FullDPS)","^7전기불꽃 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Blight (Disabled) (Forced Active) (FullDPS)","^7바알 황폐 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Fireball (Disabled) (Forced Active) (FullDPS)","^7바알 화염구 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Vaal Spark (Disabled) (Forced Active) (FullDPS)","^7바알 전기불꽃 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Kinetic Bolt (Disabled) (Forced Active) (FullDPS)","^7역학 투사체 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Contagion (Disabled) (Forced Active) (FullDPS)","^7전염 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Conversion Trap (Disabled) (Forced Active) (FullDPS)","^7전향 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Flame Wall (Disabled) (Forced Active) (FullDPS)","^7화염 벽 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
