"Absolution of Inspiring","격려의 면죄"
"Double Strike of Impaling (Disabled) (Forced Active)","^7꿰뚫기의 이중 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Double Strike of Momentum (Disabled) (Forced Active)","^7기세의 이중 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Dual Strike of Ambidexterity (Disabled) (Forced Active)","^7양손잡이의 쌍수 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Earthquake of Amplification (Disabled) (Forced Active)","^7증폭의 지진 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Earthshatter of Fragility (Disabled) (Forced Active)","^7허약의 지면 분쇄 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Earthshatter of Prominence (Disabled) (Forced Active)","^7출중의 지면 분쇄 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Essence Drain of Desperation (Disabled) (Forced Active)","^7필사의 정수 흡수 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Essence Drain of Wickedness (Disabled) (Forced Active)","^7사악함의 정수 흡수 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Ethereal Knives of Lingering Blades (Disabled) (Forced Active)","^7지속되는 칼날의 천상의 단도 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Ethereal Knives of the Massacre (Disabled) (Forced Active)","^7도륙의 천상의 단도 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Explosive Concoction of Destruction (Disabled) (Forced Active)","^7파괴의 폭발성 혼합물 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Explosive Trap of Magnitude (Disabled) (Forced Active)","^7규모의 폭발 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Explosive Trap of Shrapnel (Disabled) (Forced Active)","^7파편의 폭발 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Exsanguinate of Transmission (Disabled) (Forced Active)","^7전송의 방혈 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Eye of Winter of Finality (Disabled) (Forced Active)","^7종극의 겨울의 눈 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Eye of Winter of Transience (Disabled) (Forced Active)","^7덧없음의 겨울의 눈 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Fire Trap of Blasting (Disabled) (Forced Active)","^7폭발의 화염 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Firestorm of Meteors (Disabled) (Forced Active)","^7유성의 화염 폭풍 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Firestorm of Pelting (Disabled) (Forced Active)","^7퍼부음의 화염 폭풍 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Flame Dash of Incinerating (Disabled) (Forced Active)","^7소각의 화염 질주 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Flame Dash of Return (Disabled) (Forced Active)","^7귀환의 화염 질주 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Flame Surge of Combusting (Disabled) (Forced Active)","^7발화의 화염 쇄도 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Flameblast of Celerity (Disabled) (Forced Active)","^7민첩함의 화염파 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Flameblast of Contraction (Disabled) (Forced Active)","^7수축의 화염파 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Flicker Strike of Power (Disabled) (Forced Active)","^7권능의 점멸 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Forbidden Rite of Soul Sacrifice (Disabled) (Forced Active)","^7영혼 희생의 금단의 의식 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Frenzy of Onslaught (Disabled) (Forced Active)","^7맹공의 격분 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Frost Blades of Katabasis (Disabled) (Forced Active)","^7퇴각의 서리 칼날 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Frost Bomb of Forthcoming (Disabled) (Forced Active)","^7임박의 서리 폭탄 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Frost Bomb of Instability (Disabled) (Forced Active)","^7불안정의 서리 폭탄 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Frostblink of Wintry Blast (Disabled) (Forced Active)","^7차가운 폭발의 서리점멸 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Frozen Legion of Rallying (Disabled) (Forced Active)","^7재집결의 얼어붙은 군단 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Galvanic Arrow of Energy (Disabled) (Forced Active)","^7에너지의 충격 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Galvanic Arrow of Surging (Disabled) (Forced Active)","^7쇄도의 충격 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Galvanic Field of Intensity (Disabled) (Forced Active)","^7격렬함의 충격장 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Glacial Cascade of the Fissure (Disabled) (Forced Active)","^7균열의 빙하 폭포 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Glacial Hammer of Shattering (Disabled) (Forced Active)","^7산산조각의 빙하 망치 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Ground Slam of Earthshaking (Disabled) (Forced Active)","^7지동의 대지 강타 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Hexblast of Contradiction (Disabled) (Forced Active)","^7상반의 사술폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Hexblast of Havoc (Disabled) (Forced Active)","^7혼란의 사술폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Holy Flame Totem of Ire (Disabled) (Forced Active)","^7노여움의 신성한 화염 토템 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Ice Crash of Cadence (Disabled) (Forced Active)","^7운율의 얼음 충격 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Ice Nova of Deep Freeze (Disabled) (Forced Active)","^7결빙의 얼음 폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Ice Nova of Frostbolts (Disabled) (Forced Active)","^7서리 구체의 얼음 폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Ice Spear of Splitting (Disabled) (Forced Active)","^7분할의 얼음 창 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Ice Trap of Hollowness (Disabled) (Forced Active)","^7무상의 얼음 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Icicle Mine of Fanning (Disabled) (Forced Active)","^7퍼짐의 고드름 지뢰 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Icicle Mine of Sabotage (Disabled) (Forced Active)","^7방해 공작의 고드름 지뢰 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Infernal Blow of Immolation (Disabled) (Forced Active)","^7제물의 지옥불 맹타 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Kinetic Bolt of Fragmentation (Disabled) (Forced Active)","^7파쇄의 역학 투사체 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Lacerate of Butchering (Disabled) (Forced Active)","^7도살의 피부 찢기 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Lacerate of Haemorrhage (Disabled) (Forced Active)","^7실혈의 피부 찢기 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Lancing Steel of Spraying (Disabled) (Forced Active)","^7분사의 강철 관통 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Leap Slam of Groundbreaking (Disabled) (Forced Active)","^7땅 분쇄의 도약 강타 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Lightning Arrow of Electrocution (Disabled) (Forced Active)","^7전기 처형의 번개 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Lightning Conduit of the Heavens (Disabled) (Forced Active)","^7천국의 번개 도관 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Lightning Spire Trap of Overloading (Disabled) (Forced Active)","^7과부하의 번개 첨탑 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Lightning Spire Trap of Zapping (Disabled) (Forced Active)","^7전류의 번개 첨탑 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Lightning Strike of Arcing (Disabled) (Forced Active)","^7전호의 번개 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Lightning Tendrils of Eccentricity (Disabled) (Forced Active)","^7기행의 덩굴 번개 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Lightning Tendrils of Escalation (Disabled) (Forced Active)","^7격화의 덩굴 번개 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Lightning Trap of Sparking (Disabled) (Forced Active)","^7전기불꽃의 번개 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Mirror Arrow of Bombarding Clones (Disabled) (Forced Active)","^7포격 분신의 거울 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Mirror Arrow of Prismatic Clones (Disabled) (Forced Active)","^7분광 분신의 거울 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Molten Strike of the Zenith (Disabled) (Forced Active)","^7북극성의 용암 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Pacify (Disabled) (Forced Active)","^7진정 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Penance Brand of Conduction (Disabled) (Forced Active)","^7전도의 속죄의 낙인 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Penance Brand of Dissipation (Disabled) (Forced Active)","^7소실의 속죄의 낙인 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Penance Mark (Disabled) (Forced Active)","^7속죄의 징표 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Perforate of Bloodshed (Disabled) (Forced Active)","^7유혈의 천공 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Perforate of Duality (Disabled) (Forced Active)","^7이중성의 천공 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Power Siphon of the Archmage (Disabled) (Forced Active)","^7대마법사의 권능 착취 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Purifying Flame of Revelations (Disabled) (Forced Active)","^7계시의 정화의 불길 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Pyroclast Mine of Sabotage (Disabled) (Forced Active)","^7방해 공작의 화산탄 지뢰 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Rage Vortex of Berserking (Disabled) (Forced Active)","^7광폭화의 격노 소용돌이 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Rain of Arrows of Artillery (Disabled) (Forced Active)","^7포대의 화살비 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Rain of Arrows of Saturation (Disabled) (Forced Active)","^7포화의 화살비 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Raise Spectre of Transience (Disabled) (Forced Active)","^7덧없음의 망령 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Raise Zombie of Falling (Disabled) (Forced Active)","^7추락의 좀비 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Raise Zombie of Slamming (Disabled) (Forced Active)","^7강타의 좀비 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Ravenous (Disabled) (Forced Active)","^7굶주림 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Reave of Refraction (Disabled) (Forced Active)","^7굴절의 약탈 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Righteous Fire of Arcane Devotion (Disabled) (Forced Active)","^7비전 헌신의 정의의 화염 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Rune Blast of Teleportation (Disabled) (Forced Active)","^7순간이동의 룬 폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Scorching Ray of Immolation (Disabled) (Forced Active)","^7제물의 작열 광선 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Scourge Arrow of Menace (Disabled) (Forced Active)","^7위험의 재앙의 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Seismic Trap of Swells (Disabled) (Forced Active)","^7팽창의 지진 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Shattering Steel of Ammunition (Disabled) (Forced Active)","^7탄약의 강철 파편 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Shield Crush of the Chieftain (Disabled) (Forced Active)","^7부족장의 방패 타쇄 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Shrapnel Ballista of Steel (Disabled) (Forced Active)","^7강철의 파편 쇠뇌 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Siege Ballista of Splintering (Disabled) (Forced Active)","^7파편의 공성 쇠뇌 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Smite of Divine Judgement (Disabled) (Forced Active)","^7신성한 심판의 징벌 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Soulrend of Reaping (Disabled) (Forced Active)","^7낫질의 영혼 분리 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Soulrend of the Spiral (Disabled) (Forced Active)","^7나선의 영혼 분리 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Spark of Unpredictability (Disabled) (Forced Active)","^7예측 불허의 전기불꽃 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Spark of the Nova (Disabled) (Forced Active)","^7폭발의 전기불꽃 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Spectral Shield Throw of Shattering (Disabled) (Forced Active)","^7산산조각의 환영 방패 투척 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Spectral Throw of Materialising (Disabled) (Forced Active)","^7구체화의 환영 무기 투척 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Split Arrow of Splitting (Disabled) (Forced Active)","^7분할의 분할 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Splitting Steel of Ammunition (Disabled) (Forced Active)","^7탄약의 강철 분할 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Spray Paint Blood (Disabled) (Forced Active)","^7핏빛 물감 뿌리기 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Spray Paint Celestial (Disabled) (Forced Active)","^7천공의 물감 뿌리기 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Spray Paint Magmatic (Disabled) (Forced Active)","^7마그마 물감 뿌리기 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Storm Brand of Indecision (Disabled) (Forced Active)","^7우유부단의 폭풍의 낙인 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Storm Rain of the Conduit (Disabled) (Forced Active)","^7도관의 폭풍우 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Storm Rain of the Fence (Disabled) (Forced Active)","^7울타리의 폭풍우 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Stormbind of Teleportation (Disabled) (Forced Active)","^7순간이동의 폭풍 연대 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Carrion Golem of Hordes (Disabled) (Forced Active)","^7군단의 부패 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Carrion Golem of Scavenging (Disabled) (Forced Active)","^7청소부의 부패 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Chaos Golem of Hordes (Disabled) (Forced Active)","^7군단의 카오스 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Chaos Golem of the Maelström (Disabled) (Forced Active)","^7마엘스트롬의 카오스 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Dark Effigy (Disabled) (Forced Active)","^7어둠의 제웅 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Flame Golem of Hordes (Disabled) (Forced Active)","^7군단의 화염 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Flame Golem of the Meteor (Disabled) (Forced Active)","^7유성의 화염 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Ice Golem of Hordes (Disabled) (Forced Active)","^7군단의 얼음 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Ice Golem of Shattering (Disabled) (Forced Active)","^7산산조각의 얼음 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Lightning Golem of Hordes (Disabled) (Forced Active)","^7군단의 번개 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Raging Spirit of Enormity (Disabled) (Forced Active)","^7극악무도의 격노의 유령 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Reaper of Eviscerating (Disabled) (Forced Active)","^7적출의 수확자 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Reaper of Revenants (Disabled) (Forced Active)","^7원령의 수확자 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Skeletons of Archers (Disabled) (Forced Active)","^7궁수의 해골 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Skeletons of Mages (Disabled) (Forced Active)","^7마법사의 해골 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Stone Golem of Hordes (Disabled) (Forced Active)","^7군단의 돌 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Summon Stone Golem of Safeguarding (Disabled) (Forced Active)","^7방비의 돌 골렘 소환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Sunder of Earthbreaking (Disabled) (Forced Active)","^7대지 분쇄의 산산조각 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Tectonic Slam of Cataclysm (Disabled) (Forced Active)","^7대재앙의 지층 강타 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Tornado Shot of Cloudburst (Disabled) (Forced Active)","^7구름폭발의 회오리 사격 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Toxic Rain of Sporeburst (Disabled) (Forced Active)","^7포자 폭발의 맹독성 비 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Toxic Rain of Withering (Disabled) (Forced Active)","^7고사의 맹독성 비 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Viper Strike of the Mamba (Disabled) (Forced Active)","^7큰독사의 맹독 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Void Sphere of Rending (Disabled) (Forced Active)","^7분리의 공허 구체 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Volatile Dead of Confinement (Disabled) (Forced Active)","^7감금의 시체 불덩이 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Volatile Dead of Seething (Disabled) (Forced Active)","^7끓어오름의 시체 불덩이 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Volcanic Fissure of Snaking (Disabled) (Forced Active)","^7구불거림의 화산 균열 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Vortex of Projection (Disabled) (Forced Active)","^7투영의 소용돌이 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Wild Strike of Extremes (Disabled) (Forced Active)","^7극단의 사나운 타격 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"

"Portal (Disabled) (Forced Active) (FullDPS)","^7포탈 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Absolution of Inspiring (Disabled) (Forced Active) (FullDPS)","^7격려의 면죄 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Animate Guardian of Smiting (Disabled) (Forced Active) (FullDPS)","^7징벌의 수호자 기동 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Animate Weapon of Ranged Arms (Disabled) (Forced Active) (FullDPS)","^7원거리 병기의 무기 기동 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Animate Weapon of Self Reflection (Disabled) (Forced Active) (FullDPS)","^7자기 반사의 무기 기동 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Arc of Oscillating (Disabled) (Forced Active) (FullDPS)","^7뇌동의 연쇄 번개 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Arc of Surging (Disabled) (Forced Active) (FullDPS)","^7쇄도의 연쇄 번개 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Armageddon Brand of Recall (Disabled) (Forced Active) (FullDPS)","^7소환의 종말의 낙인 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Armageddon Brand of Volatility (Disabled) (Forced Active) (FullDPS)","^7일촉즉발의 종말의 낙인 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ball Lightning of Orbiting (Disabled) (Forced Active) (FullDPS)","^7공전의 구형 번개 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Ball Lightning of Static (Disabled) (Forced Active) (FullDPS)","^7정전기의 구형 번개 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Bane of Condemnation (Disabled) (Forced Active) (FullDPS)","^7규탄의 파멸 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Barrage of Volley Fire (Disabled) (Forced Active) (FullDPS)","^7일제 포격의 연발 사격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Bear Trap of Skewers (Disabled) (Forced Active) (FullDPS)","^7꼬챙이의 곰 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blade Blast of Dagger Detonation (Disabled) (Forced Active) (FullDPS)","^7단검 폭파의 칼날 폭격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blade Blast of Unloading (Disabled) (Forced Active) (FullDPS)","^7난사의 칼날 폭격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blade Flurry of Incision (Disabled) (Forced Active) (FullDPS)","^7절개의 질풍의 칼날 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blade Trap of Greatswords (Disabled) (Forced Active) (FullDPS)","^7대검의 칼날 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blade Trap of Laceration (Disabled) (Forced Active) (FullDPS)","^7열상의 칼날 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blade Vortex of the Scythe (Disabled) (Forced Active) (FullDPS)","^7낫의 칼날 소용돌이 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Bladefall of Impaling (Disabled) (Forced Active) (FullDPS)","^7꿰뚫기의 칼날비 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Bladefall of Volleys (Disabled) (Forced Active) (FullDPS)","^7사격 공세의 칼날비 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Bladestorm of Uncertainty (Disabled) (Forced Active) (FullDPS)","^7불확실성의 칼날 폭풍 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blight of Atrophy (Disabled) (Forced Active) (FullDPS)","^7위축의 황폐 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blight of Contagion (Disabled) (Forced Active) (FullDPS)","^7전염의 황폐 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blink Arrow of Bombarding Clones (Disabled) (Forced Active) (FullDPS)","^7포격 분신의 점멸 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Blink Arrow of Prismatic Clones (Disabled) (Forced Active) (FullDPS)","^7분광 분신의 점멸 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Bodyswap of Sacrifice (Disabled) (Forced Active) (FullDPS)","^7희생의 신체 전환 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Boneshatter of Carnage (Disabled) (Forced Active) (FullDPS)","^7살육의 뼈 박살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Boneshatter of Complex Trauma (Disabled) (Forced Active) (FullDPS)","^7복합 외상의 뼈 박살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Burning Arrow of Vigour (Disabled) (Forced Active) (FullDPS)","^7활력의 불타는 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Caustic Arrow of Poison (Disabled) (Forced Active) (FullDPS)","^7독의 부식성 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Cleave of Rage (Disabled) (Forced Active) (FullDPS)","^7격노의 회전베기 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Cold Snap of Power (Disabled) (Forced Active) (FullDPS)","^7권능의 한파 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Consecrated Path of Endurance (Disabled) (Forced Active) (FullDPS)","^7인내의 축성의 진격 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Contagion of Subsiding (Disabled) (Forced Active) (FullDPS)","^7침하의 전염 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Contagion of Transference (Disabled) (Forced Active) (FullDPS)","^7전이의 전염 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Crackling Lance of Branching (Disabled) (Forced Active) (FullDPS)","^7파생의 치직대는 창 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Crackling Lance of Disintegration (Disabled) (Forced Active) (FullDPS)","^7분해의 치직대는 창 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Cremation of Exhuming (Disabled) (Forced Active) (FullDPS)","^7발굴의 시체 소각 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Cremation of the Volcano (Disabled) (Forced Active) (FullDPS)","^7화산의 시체 소각 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Cyclone of Tumult (Disabled) (Forced Active) (FullDPS)","^7소동의 회오리바람 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Detonate Dead of Chain Reaction (Disabled) (Forced Active) (FullDPS)","^7연쇄 반응의 시체 폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Detonate Dead of Scavenging (Disabled) (Forced Active) (FullDPS)","^7청소부의 시체 폭발 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Discharge of Misery (Disabled) (Forced Active) (FullDPS)","^7비참의 방출 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
"Divine Ire of Disintegration (Disabled) (Forced Active) (FullDPS)","^7분해의 신성한 진노 ^x7F7F7F(사용안함) ^x60C060(강제 활성) ^x5CF0BB(전체DPS)"
