
"Abandoned Abode","버려진 거처"
"Sol Desire","솔 갈망"
"Sol Device","솔 장치"
"Sol Dew","솔 이슬"
"Sol Disguise","솔 위장"
"Sol Dome","솔 돔"
"Sol Dream","솔 꿈"
"Sol Dregs","솔 찌꺼기"
"Sol Drop","솔 방울"
"Sol Duty","솔 의무"
"Sol Dwelling","솔 거주지"
"Sol Edge","솔 칼날"
"Sol Ember","솔 잉걸불"
"Sol Emblem","솔 상징"
"Sol Enterprise","솔 사업"
"Sol Equipment","솔 장착품"
"Sol Essence","솔 에센스"
"Sol Etcher","솔 부각사"
"Sol Excavation","솔 발굴터"
"Sol Excursion","솔 기행"
"Sol Expedition","솔 탐험"
"Sol Exploration","솔 원정"
"Sol Eye","솔 눈"
"Sol Fang","솔 송곳니"
"Sol Fend","솔 방어"
"Sol Fetish","솔 숭배물"
"Sol Finger","솔 손가락"
"Sol Fingers","솔 손가락"
"Sol Firestorm","솔 화염 폭풍"
"Sol Fish","솔 물고기"
"Sol Fist","솔 주먹"
"Sol Flame","솔 화염"
"Sol Fletch","솔 화살깃"
"Sol Flight","솔 비행"
"Sol Folktale","솔 설화"
"Sol Frontier","솔 개척지"
"Sol Gaze","솔 응시"
"Sol Gear","솔 장비"
"Sol Gill","솔 아가미"
"Sol Girdle","솔 허리띠"
"Sol Glance","솔 곁눈질"
"Sol Glare","솔 섬광"
"Sol Glimmer","솔 미광"
"Sol Glisten","솔 반짝임"
"Sol Globe","솔 구체"
"Sol Gnarl","솔 마디"
"Sol Gnash","솔 악문 이빨"
"Sol Goad","솔 몰이 막대"
"Sol Gorget","솔 목가리개"
"Sol Grasp","솔 장악"
"Sol Grinder","솔 갈이개"
"Sol Grip","솔 손아귀"
"Sol Guard","솔 수호"
"Sol Guardian","솔 가디언"
"Sol Guide","솔 안내"
"Sol Gutter","솔 시궁창"
"Sol Gyre","솔 선회"
"Sol Hail","솔 칭송"
"Sol Halo","솔 후광"
"Sol Hand","솔 손"
"Sol Harness","솔 고삐"
"Sol Haven","솔 안식처"
"Sol Heart","솔 심장"
"Sol Hide","솔 가죽"
"Sol Hold","솔 유지"
"Sol Hoof","솔 발굽"
"Sol Hope","솔 희망"
"Sol Horn","솔 뿔"
"Sol Hunger","솔 갈망"
"Sol Ichor","솔 영액"
"Sol Idol","솔 우상"
"Sol Impaler","솔 꼬챙이"
"Sol Implement","솔 기물"
"Sol Incitement","솔 조장"
"Sol Inferno","솔 지옥불"
"Sol Inscription","솔 명문"
"Sol Instigation","솔 교사"
"Sol Instrument","솔 계기"
"Sol Invitation","솔 초대"
"Sol Invocation","솔 기원"
"Sol Iridescence","솔 무지개 빛깔"
"Sol Jack","솔 상인"
"Sol Jig","솔 지그"
"Sol Journey","솔 여정"
"Sol Joy","솔 기쁨"
"Sol Keep","솔 감옥"
"Sol Keeper","솔 보관자"
"Sol Key","솔 열쇠"
"Sol Kit","솔 공구"
"Sol Knell","솔 전조"
"Sol Knot","솔 매듭"
"Sol Knuckle","솔 관절"
"Sol Lahar","솔 화산이류"
"Sol Lands","솔 땅"
"Sol Lash","솔 채찍"
"Sol League","솔 리그"
"Sol Leash","솔 가죽끈"
"Sol Leer","솔 시선"
"Sol Lens","솔 시점"
"Sol Line","솔 낚싯줄"
"Sol Liturgy","솔 기도문"
"Sol Lock","솔 자물쇠"
"Sol Locket","솔 갑 목걸이"
"Sol Loop","솔 고리"
"Sol Lure","솔 루어"
"Sol Machine","솔 장치"
"Sol Magma","솔 마그마"
"Sol Mandate","솔 통치"
"Sol Mangler","솔 파괴자"
"Sol Manifesto","솔 성명서"
"Sol Mantle","솔 외투"
"Sol March","솔 행진"
"Sol Mark","솔 징표"
"Sol Mast","솔 돛대"
"Sol Material","솔 재료"
"Sol Medallion","솔 메달리온"
"Sol Mission","솔 임무"
"Sol Mitts","솔 미트"
"Sol Myth","솔 신화"
"Sol Nail","솔 손톱"
"Sol Nails","솔 손톱"
"Sol Needle","솔 바늘"
"Sol Nexus","솔 연결부"
"Sol Nock","솔 활시위"
"Sol Noose","솔 올가미"
"Sol Oath","솔 서약"
"Sol Oculus","솔 눈"
"Sol Offer","솔 제안"
"Sol Orb","솔 구체"
"Sol Orders","솔 명령서"
"Sol Ornament","솔 장신구"
"Sol Oubliette","솔 지하 감옥"
"Sol Outpost","솔 전초기지"
"Sol Pace","솔 보조"
"Sol Pact","솔 맹약"
"Sol Palm","솔 손바닥"
"Sol Panorama","솔 전경"
"Sol Passage","솔 통로"
"Sol Pause","솔 중지"
"Sol Paw","솔 발"
"Sol Peak","솔 앞챙"
"Sol Pelt","솔 가죽모"
"Sol Pendant","솔 펜던트"
"Sol Pile","솔 더미"
"Sol Pillar","솔 기둥"
"Sol Pit","솔 구덩이"
"Sol Pith","솔 핵심"
"Sol Pledge","솔 선서"
"Sol Point","솔 끝"
"Sol Pole","솔 기둥"
"Sol Portent","솔 전조"
"Sol Post","솔 말뚝"
"Sol Precinct","솔 구획"
"Sol Prism","솔 분광기"
"Sol Provocation","솔 촉발"
"Sol Quarters","솔 구역"
"Sol Quest","솔 도전"
"Sol Quill","솔 화살"
"Sol Rain","솔 비"
"Sol Ram","솔 충격"
"Sol Razor","솔 면도날"
"Sol Reach","솔 역량"
"Sol Reaches","솔 역량"
"Sol Refuge","솔 피난처"
"Sol Refuse","솔 거절"
"Sol Relic","솔 유물"
"Sol Remains","솔 유물"
"Sol Remnant","솔 유물"
"Sol Rend","솔 분리"
"Sol Rite","솔 의례"
"Sol Road","솔 길"
"Sol Roar","솔 포효"
"Sol Rock","솔 바위"
"Sol Rod","솔 막대"
"Sol Rook","솔 성"
"Sol Roost","솔 보금자리"
"Sol Rosary","솔 묵주"
"Sol Ruin","솔 유적"
"Sol Rupture","솔 파열"
"Sol Saga","솔 영웅담"
"Sol Salvation","솔 구원"
"Sol Sanctuary","솔 성역"
"Sol Sanctum","솔 지성소"
"Sol Saw","솔 톱"
"Sol Scalpel","솔 수술칼"
"Sol Scar","솔 흉터"
"Sol Scarab","솔 갑충석"
"Sol Scratch","솔 찰과상"
"Sol Scripture","솔 성서"
"Sol Scum","솔 쓰레기"
"Sol Secrets","솔 비밀"
"Sol Sector","솔 영역"
"Sol Sentry","솔 보초"
"Sol Sepulchre","솔 매장소"
"Sol Sever","솔 절단"
"Sol Shackle","솔 족쇄"
"Sol Shadows","솔 그림자"
"Sol Shard","솔 파편"
"Sol Shatter","솔 산산조각"
"Sol Shell","솔 껍질"
"Sol Shelter","솔 대피소"
"Sol Shine","솔 광채"
"Sol Shot","솔 사격"
"Sol Shroud","솔 연막"
"Sol Siege","솔 공성"
"Sol Sight","솔 통찰력"
"Sol Sinker","솔 봉돌"
"Sol Skewer","솔 꼬챙이"
"Sol Skin","솔 피부"
"Sol Slag","솔 용재"
"Sol Slayer","솔 슬레이어"
"Sol Slicer","솔 썰기"
"Sol Slippers","솔 슬리퍼"
"Sol Sliver","솔 편린"
"Sol Smasher","솔 파쇄기"
"Sol Snare","솔 올가미"
"Sol Solace","솔 위안"
"Sol Sole","솔 밑창"
"Sol Solitude","솔 고독"
"Sol Song","솔 노래"
"Sol Span","솔 발"
"Sol Spark","솔불꽃"
"Sol Spawn","솔 유충"
"Sol Spear","솔 창"
"Sol Spell","솔 주문"
"Sol Sphere","솔 구"
"Sol Spike","솔 가시"
"Sol Spiker","솔 가시등"
"Sol Spiral","솔 소용돌이"
"Sol Spire","솔 첨탑"
"Sol Spires","솔 첨탑"
"Sol Splinter","솔 파편"
"Sol Splitter","솔 스플리터"
"Sol Spur","솔 박차"
"Sol Star","솔 별"
"Sol Stare","솔 눈초리"
"Sol Stinger","솔 쐐기털"
"Sol Stone","솔 돌"
"Sol Strap","솔 혁대"
"Sol Stride","솔 질주"
"Sol Strike","솔 일격"
"Sol Suit","솔 복장"
"Sol Summons","솔 소환"
"Sol Sunder","솔 작렬"
"Sol Tackle","솔 낚시 도구"
"Sol Tale","솔 이야기"
"Sol Talisman","솔 부적"
"Sol Talons","솔 발톱"
"Sol Territory","솔 영토"
"Sol Testament","솔 증거"
"Sol Tether","솔 밧줄"
"Sol Thirst","솔 갈증"
"Sol Thread","솔 실타래"
"Sol Thresher","솔 도리깨"
"Sol Thunder","솔 천둥"
"Sol Tool","솔 도구"
"Sol Torc","솔 목걸이 사슬"
"Sol Touch","솔 손길"
"Sol Tower","솔 탑"
"Sol Track","솔 통로"
"Sol Trail","솔 발자취"
"Sol Trap","솔 덫"
"Sol Tread","솔 발걸음"
"Sol Trek","솔 길"
"Sol Trinket","솔 장신구"
"Sol Turn","솔 선회"
"Sol Twine","솔 꼬임"
"Sol Twirl","솔 회전"
"Sol Undertaking","솔 일"
"Sol Urge","솔 열망"
"Sol Vault","솔 금고"
"Sol Veil","솔 장막"
"Sol Vessel","솔 그릇"
"Sol View","솔 관점"
"Sol Vine","솔 덩굴"
"Sol Visage","솔 얼굴"
"Sol Vise","솔 조임쇠"
"Sol Vision","솔 시각"
"Sol Visor","솔 차양"
"Sol Volcano","솔 화산"
"Sol Volley","솔 사격 공세"
"Sol Vow","솔 맹세"
"Sol Voyage","솔 항해"
"Sol Ward","솔 수호"
"Sol Warden","솔 간수"
"Sol Waste","솔 황무지"
"Sol Watch","솔 감시"
"Sol Watcher","솔 감시자"
"Sol Weaver","솔 직공"
"Sol Whorl","솔 나사선"
"Sol Wind","솔 바람"
"Sol Wing","솔 부속 건물"
"Sol Wisdom","솔 지혜"
"Sol Wish","솔 소망"
"Sol Wound","솔 상처"
"Sol Wrap","솔 겉옷"
"Sol Wreck","솔 붕괴"
"Sol Writ","솔 영장"
"Sol Ziggurat","솔 지구라트"
"Sol Zone","솔 지역"
"Sorrow Abode","슬픔의 거처"
"Sorrow Abyss","슬픔의 심연"
"Sorrow Aegis","슬픔의 비호"
"Sorrow Angler","슬픔의 낚시꾼"
"Sorrow Anthem","슬픔의 찬가"
"Sorrow Apex","슬픔의 정점"
"Sorrow Apparatus","슬픔의 기구"
"Sorrow Arbiter","슬픔의 중재자"
"Sorrow Arch","슬픔의 활"
"Sorrow Arrow","슬픔의 화살"
"Sorrow Artifice","슬픔의 책략"
"Sorrow Badge","슬픔의 배지"
"Sorrow Bait","슬픔의 미끼"
"Sorrow Ballad","슬픔의 담시"
"Sorrow Band","슬픔의 띠"
"Sorrow Bane","슬픔의 파멸"
"Sorrow Barb","슬픔의 가시"
"Sorrow Barrage","슬픔의 연발 사격"
"Sorrow Barrier","슬픔의 방어막"
"Sorrow Bastion","슬픔의 보루"
"Sorrow Batter","슬픔의 구타"
"Sorrow Bauble","슬픔의 방울"
"Sorrow Bead","슬픔의 구슬"
"Sorrow Beads","슬픔의 구슬"
"Sorrow Beak","슬픔의 부리"
"Sorrow Beam","슬픔의 광선"
"Sorrow Bid","슬픔의 노력"
"Sorrow Bind","슬픔의 묶음"
"Sorrow Bite","슬픔의 이빨"
"Sorrow Blast","슬픔의 폭발"
"Sorrow Bliss","슬픔의 지복"
"Sorrow Blood","슬픔의 피의"
"Sorrow Bloom","슬픔의 꽃"
"Sorrow Blow","슬픔의 일격"
"Sorrow Blunt","슬픔의 둔기"
"Sorrow Bolt","슬픔의 화살"
"Sorrow Bond","슬픔의 유대"
"Sorrow Braid","슬픔의 끈"
"Sorrow Branch","슬픔의 나뭇가지"
"Sorrow Brand","슬픔의 낙인"
"Sorrow Breach","슬픔의 균열"
"Sorrow Breaker","슬픔의 분쇄기"
"Sorrow Breath","슬픔의 숨결"
"Sorrow Breeze","슬픔의 바람"
"Sorrow Brow","슬픔의 이마"
"Sorrow Buckle","슬픔의 버클"
"Sorrow Bulwark","슬픔의 방벽"
"Sorrow Burst","슬픔의 격발"
"Sorrow Butcher","슬픔의 도살자"
"Sorrow Cage","슬픔의 창살"
"Sorrow Caldera","슬픔의 칼데라"
"Sorrow Call","슬픔의 소환"
"Sorrow Campaign","슬픔의 작전"
"Sorrow Carapace","슬픔의 등딱지"
"Sorrow Caress","슬픔의 손길"
"Sorrow Cast","슬픔의 던지기"
"Sorrow Challenge","슬픔의 도전"
"Sorrow Chambers","슬픔의 방"
"Sorrow Chant","슬픔의 노래"
"Sorrow Charm","슬픔의 부적"
"Sorrow Choker","슬픔의 목줄"
"Sorrow Chum","슬픔의 밑밥"
"Sorrow Circle","슬픔의 고리"
"Sorrow Clasp","슬픔의 걸쇠"
"Sorrow Claw","슬픔의 클로"
"Sorrow Cloak","슬픔의 망토"
"Sorrow Clutches","슬픔의 손아귀"
"Sorrow Coat","슬픔의 외투"
"Sorrow Coffers","슬픔의 궤짝"
"Sorrow Coil","슬픔의 감개"
"Sorrow Collar","슬픔의 목걸이"
"Sorrow Colony","슬픔의 식민지"
"Sorrow Construct","슬픔의 구조물"
"Sorrow Contraption","슬픔의 고안품"
"Sorrow Cord","슬픔의 줄"
"Sorrow Core","슬픔의 중심부"
"Sorrow Corona","슬픔의 광환"
"Sorrow Court","슬픔의 법정"
"Sorrow Covenant","슬픔의 계약"
"Sorrow Cover","슬픔의 덮개"
"Sorrow Cowl","슬픔의 고깔"
"Sorrow Crack","슬픔의 균열"
"Sorrow Cradle","슬픔의 받침대"
"Sorrow Crag","슬픔의 바위"
"Sorrow Cramp","슬픔의 경련"
"Sorrow Crate","슬픔의 나무상자"
"Sorrow Creed","슬픔의 신념"
"Sorrow Crest","슬픔의 문양"
"Sorrow Crown","슬픔의 왕관"
"Sorrow Crusher","슬픔의 타쇄자"
"Sorrow Cry","슬픔의 함성"
"Sorrow Curio","슬픔의 골동품"
"Sorrow Curtain","슬픔의 장막"
"Sorrow Cut","슬픔의 조각"
"Sorrow Dart","슬픔의 화살침"
"Sorrow Dash","슬픔의 질주"
"Sorrow Deed","슬픔의 증서"
"Sorrow Delirium","슬픔의 섬망"
"Sorrow Depths","슬픔의 심연"
"Sorrow Desire","슬픔의 갈망"
"Sorrow Device","슬픔의 장치"
"Sorrow Dew","슬픔의 이슬"
"Sorrow Disguise","슬픔의 위장"
"Sorrow Dome","슬픔의 돔"
"Sorrow Dream","슬픔의 꿈"
"Sorrow Dregs","슬픔의 찌꺼기"
"Sorrow Drop","슬픔의 방울"
"Sorrow Duty","슬픔의 의무"
"Sorrow Dwelling","슬픔의 거주지"
"Sorrow Edge","슬픔의 칼날"
"Sorrow Ember","슬픔의 잉걸불"
"Sorrow Emblem","슬픔의 상징"
"Sorrow Enterprise","슬픔의 사업"
"Sorrow Equipment","슬픔의 장착품"
"Sorrow Essence","슬픔의 에센스"
"Sorrow Etcher","슬픔의 부각사"
"Sorrow Excavation","슬픔의 발굴터"
"Sorrow Excursion","슬픔의 기행"
"Sorrow Expedition","슬픔의 탐험"
"Sorrow Exploration","슬픔의 원정"
"Sorrow Eye","슬픔의 눈"
"Sorrow Fang","슬픔의 송곳니"
"Sorrow Fend","슬픔의 방어"
"Sorrow Fetish","슬픔의 숭배물"
"Sorrow Finger","슬픔의 손가락"
"Sorrow Fingers","슬픔의 손가락"
"Sorrow Firestorm","슬픔의 화염 폭풍"
"Sorrow Fish","슬픔의 물고기"
"Sorrow Fist","슬픔의 주먹"
"Sorrow Flame","슬픔의 화염"
"Sorrow Fletch","슬픔의 화살깃"
"Sorrow Flight","슬픔의 비행"
"Sorrow Folktale","슬픔의 설화"
"Sorrow Frontier","슬픔의 개척지"
"Sorrow Gaze","슬픔의 응시"
"Sorrow Gear","슬픔의 장비"
"Sorrow Gill","슬픔의 아가미"
"Sorrow Girdle","슬픔의 허리띠"
"Sorrow Glance","슬픔의 곁눈질"
"Sorrow Glare","슬픔의 섬광"
"Sorrow Glimmer","슬픔의 미광"
"Sorrow Glisten","슬픔의 반짝임"
"Sorrow Globe","슬픔의 구체"
"Sorrow Gnarl","슬픔의 마디"
"Sorrow Gnash","슬픔의 악문 이빨"
"Sorrow Goad","슬픔의 몰이 막대"
"Sorrow Gorget","슬픔의 목가리개"
"Sorrow Grasp","슬픔의 장악"
"Sorrow Grinder","슬픔의 갈이개"
"Sorrow Grip","슬픔의 손아귀"
"Sorrow Guard","슬픔의 수호"
"Sorrow Guardian","슬픔의 가디언"
"Sorrow Guide","슬픔의 안내"
"Sorrow Gutter","슬픔의 시궁창"
"Sorrow Gyre","슬픔의 선회"
"Sorrow Hail","슬픔의 칭송"
"Sorrow Halo","슬픔의 후광"
"Sorrow Hand","슬픔의 손"
"Sorrow Harness","슬픔의 고삐"
"Sorrow Haven","슬픔의 안식처"
"Sorrow Heart","슬픔의 심장"
"Sorrow Hide","슬픔의 가죽"
"Sorrow Hold","슬픔의 유지"
"Sorrow Hoof","슬픔의 발굽"
"Sorrow Hope","슬픔의 희망"
"Sorrow Horn","슬픔의 뿔"
"Sorrow Hunger","슬픔의 갈망"
"Sorrow Ichor","슬픔의 영액"
"Sorrow Idol","슬픔의 우상"
"Sorrow Impaler","슬픔의 꼬챙이"
"Sorrow Implement","슬픔의 기물"
"Sorrow Incitement","슬픔의 조장"
"Sorrow Inferno","슬픔의 지옥불"
"Sorrow Inscription","슬픔의 명문"
"Sorrow Instigation","슬픔의 교사"
"Sorrow Instrument","슬픔의 계기"
"Sorrow Invitation","슬픔의 초대"
"Sorrow Invocation","슬픔의 기원"
"Sorrow Iridescence","슬픔의 무지개 빛깔"
"Sorrow Jack","슬픔의 상인"
"Sorrow Jig","슬픔의 지그"
"Sorrow Journey","슬픔의 여정"
"Sorrow Joy","슬픔의 기쁨"
"Sorrow Keep","슬픔의 감옥"
"Sorrow Keeper","슬픔의 보관자"
"Sorrow Key","슬픔의 열쇠"
"Sorrow Kit","슬픔의 공구"
"Sorrow Knell","슬픔의 전조"
"Sorrow Knot","슬픔의 매듭"
"Sorrow Knuckle","슬픔의 관절"
"Sorrow Lahar","슬픔의 화산이류"
"Sorrow Lands","슬픔의 땅"
"Sorrow Lash","슬픔의 채찍"
"Sorrow League","슬픔의 리그"
"Sorrow Leash","슬픔의 가죽끈"
"Sorrow Leer","슬픔의 시선"
"Sorrow Lens","슬픔의 시점"
"Sorrow Line","슬픔의 낚싯줄"
"Sorrow Liturgy","슬픔의 기도문"
"Sorrow Lock","슬픔의 자물쇠"
"Sorrow Locket","슬픔의 갑 목걸이"
"Sorrow Loop","슬픔의 고리"
"Sorrow Lure","슬픔의 루어"
"Sorrow Machine","슬픔의 장치"
"Sorrow Magma","슬픔의 마그마"
"Sorrow Mandate","슬픔의 통치"
"Sorrow Mangler","슬픔의 파괴자"
"Sorrow Manifesto","슬픔의 성명서"
"Sorrow Mantle","슬픔의 외투"
"Sorrow March","슬픔의 행진"
"Sorrow Mark","슬픔의 징표"
"Sorrow Mast","슬픔의 돛대"
"Sorrow Material","슬픔의 재료"
"Sorrow Medallion","슬픔의 메달리온"
"Sorrow Mission","슬픔의 임무"
"Sorrow Mitts","슬픔의 미트"
"Sorrow Myth","슬픔의 신화"
"Sorrow Nail","슬픔의 손톱"
"Sorrow Nails","슬픔의 손톱"
"Sorrow Needle","슬픔의 바늘"
"Sorrow Nexus","슬픔의 연결부"
"Sorrow Nock","슬픔의 활시위"
"Sorrow Noose","슬픔의 올가미"
"Sorrow Oath","슬픔의 서약"
"Sorrow Oculus","슬픔의 눈"
"Sorrow Offer","슬픔의 제안"
"Sorrow Orb","슬픔의 구체"
"Sorrow Orders","슬픔의 명령서"
"Sorrow Ornament","슬픔의 장신구"
"Sorrow Oubliette","슬픔의 지하 감옥"
"Sorrow Outpost","슬픔의 전초기지"
"Sorrow Pace","슬픔의 보조"
"Sorrow Pact","슬픔의 맹약"
"Sorrow Palm","슬픔의 손바닥"
"Sorrow Panorama","슬픔의 전경"
"Sorrow Passage","슬픔의 통로"
"Sorrow Pause","슬픔의 중지"
"Sorrow Paw","슬픔의 발"
"Sorrow Peak","슬픔의 앞챙"
"Sorrow Pelt","슬픔의 가죽모"
"Sorrow Pendant","슬픔의 펜던트"
"Sorrow Pile","슬픔의 더미"
"Sorrow Pillar","슬픔의 기둥"
"Sorrow Pit","슬픔의 구덩이"
"Sorrow Pith","슬픔의 핵심"
"Sorrow Pledge","슬픔의 선서"
"Sorrow Point","슬픔의 끝"
"Sorrow Pole","슬픔의 기둥"
"Sorrow Portent","슬픔의 전조"
"Sorrow Post","슬픔의 말뚝"
"Sorrow Precinct","슬픔의 구획"
"Sorrow Prism","슬픔의 분광기"
"Sorrow Provocation","슬픔의 촉발"
"Sorrow Quarters","슬픔의 구역"
"Sorrow Quest","슬픔의 도전"
"Sorrow Quill","슬픔의 화살"
"Sorrow Rain","슬픔의 비"
"Sorrow Ram","슬픔의 충격"
"Sorrow Razor","슬픔의 면도날"
"Sorrow Reach","슬픔의 역량"
"Sorrow Reaches","슬픔의 역량"
"Sorrow Refuge","슬픔의 피난처"
"Sorrow Refuse","슬픔의 거절"
"Sorrow Relic","슬픔의 유물"
"Sorrow Remains","슬픔의 유물"
"Sorrow Remnant","슬픔의 유물"
"Sorrow Rend","슬픔의 분리"
"Sorrow Rite","슬픔의 의례"
"Sorrow Road","슬픔의 길"
"Sorrow Roar","슬픔의 포효"
"Sorrow Rock","슬픔의 바위"
"Sorrow Rod","슬픔의 막대"
"Sorrow Rook","슬픔의 성"
"Sorrow Roost","슬픔의 보금자리"
"Sorrow Rosary","슬픔의 묵주"
"Sorrow Ruin","슬픔의 유적"
"Sorrow Rupture","슬픔의 파열"
"Sorrow Saga","슬픔의 영웅담"
"Sorrow Salvation","슬픔의 구원"
"Sorrow Sanctuary","슬픔의 성역"
"Sorrow Sanctum","슬픔의 지성소"
"Sorrow Saw","슬픔의 톱"
"Sorrow Scalpel","슬픔의 수술칼"
"Sorrow Scar","슬픔의 흉터"
"Sorrow Scarab","슬픔의 갑충석"
"Sorrow Scratch","슬픔의 찰과상"
"Sorrow Scripture","슬픔의 성서"
"Sorrow Scum","슬픔의 쓰레기"
"Sorrow Secrets","슬픔의 비밀"
"Sorrow Sector","슬픔의 영역"
"Sorrow Sentry","슬픔의 보초"
"Sorrow Sepulchre","슬픔의 매장소"
"Sorrow Sever","슬픔의 절단"
"Sorrow Shackle","슬픔의 족쇄"
"Sorrow Shadows","슬픔의 그림자"
"Sorrow Shard","슬픔의 파편"
"Sorrow Shatter","슬픔의 산산조각"
"Sorrow Shell","슬픔의 껍질"
"Sorrow Shelter","슬픔의 대피소"
"Sorrow Shine","슬픔의 광채"
"Sorrow Shot","슬픔의 사격"
"Sorrow Shroud","슬픔의 연막"
"Sorrow Siege","슬픔의 공성"
"Sorrow Sight","슬픔의 통찰력"
"Sorrow Sinker","슬픔의 봉돌"
"Sorrow Skewer","슬픔의 꼬챙이"
"Sorrow Skin","슬픔의 피부"
"Sorrow Slag","슬픔의 용재"
"Sorrow Slayer","슬픔의 슬레이어"
"Sorrow Slicer","슬픔의 썰기"
"Sorrow Slippers","슬픔의 슬리퍼"
"Sorrow Sliver","슬픔의 편린"
"Sorrow Smasher","슬픔의 파쇄기"
"Sorrow Snare","슬픔의 올가미"
"Sorrow Solace","슬픔의 위안"
"Sorrow Sole","슬픔의 밑창"
"Sorrow Solitude","슬픔의 고독"
"Sorrow Song","슬픔의 노래"
"Sorrow Span","슬픔의 발"
"Sorrow Spark","슬픔의불꽃"
"Sorrow Spawn","슬픔의 유충"
"Sorrow Spear","슬픔의 창"
"Sorrow Spell","슬픔의 주문"
"Sorrow Sphere","슬픔의 구"
"Sorrow Spike","슬픔의 가시"
"Sorrow Spiker","슬픔의 가시등"
"Sorrow Spiral","슬픔의 소용돌이"
"Sorrow Spire","슬픔의 첨탑"
"Sorrow Spires","슬픔의 첨탑"
"Sorrow Splinter","슬픔의 파편"
"Sorrow Splitter","슬픔의 스플리터"
"Sorrow Spur","슬픔의 박차"
"Sorrow Star","슬픔의 별"
"Sorrow Stare","슬픔의 눈초리"
"Sorrow Stinger","슬픔의 쐐기털"
"Sorrow Stone","슬픔의 돌"
"Sorrow Strap","슬픔의 혁대"
"Sorrow Stride","슬픔의 질주"
"Sorrow Strike","슬픔의 일격"
"Sorrow Suit","슬픔의 복장"
"Sorrow Summons","슬픔의 소환"
"Sorrow Sunder","슬픔의 작렬"
"Sorrow Tackle","슬픔의 낚시 도구"
"Sorrow Tale","슬픔의 이야기"
"Sorrow Talisman","슬픔의 부적"
"Sorrow Talons","슬픔의 발톱"
"Sorrow Territory","슬픔의 영토"
"Sorrow Testament","슬픔의 증거"
"Sorrow Tether","슬픔의 밧줄"
"Sorrow Thirst","슬픔의 갈증"
"Sorrow Thread","슬픔의 실타래"
"Sorrow Thresher","슬픔의 도리깨"
"Sorrow Thunder","슬픔의 천둥"
"Sorrow Tool","슬픔의 도구"
"Sorrow Torc","슬픔의 목걸이 사슬"
"Sorrow Touch","슬픔의 손길"
"Sorrow Tower","슬픔의 탑"
"Sorrow Track","슬픔의 통로"
"Sorrow Trail","슬픔의 발자취"
"Sorrow Trap","슬픔의 덫"
"Sorrow Tread","슬픔의 발걸음"
"Sorrow Trek","슬픔의 길"
"Sorrow Trinket","슬픔의 장신구"
"Sorrow Turn","슬픔의 선회"
"Sorrow Twine","슬픔의 꼬임"
"Sorrow Twirl","슬픔의 회전"
"Sorrow Undertaking","슬픔의 일"
"Sorrow Urge","슬픔의 열망"
"Sorrow Vault","슬픔의 금고"
"Sorrow Veil","슬픔의 장막"
"Sorrow Vessel","슬픔의 그릇"
"Sorrow View","슬픔의 관점"
"Sorrow Vine","슬픔의 덩굴"
"Sorrow Visage","슬픔의 얼굴"
"Sorrow Vise","슬픔의 조임쇠"
"Sorrow Vision","슬픔의 시각"
"Sorrow Visor","슬픔의 차양"
"Sorrow Volcano","슬픔의 화산"
"Sorrow Volley","슬픔의 사격 공세"
"Sorrow Vow","슬픔의 맹세"
"Sorrow Voyage","슬픔의 항해"
"Sorrow Ward","슬픔의 수호"
"Sorrow Warden","슬픔의 간수"
"Sorrow Waste","슬픔의 황무지"
"Sorrow Watch","슬픔의 감시"
"Sorrow Watcher","슬픔의 감시자"
"Sorrow Weaver","슬픔의 직공"
"Sorrow Whorl","슬픔의 나사선"
"Sorrow Wind","슬픔의 바람"
"Sorrow Wing","슬픔의 부속 건물"
"Sorrow Wisdom","슬픔의 지혜"
"Sorrow Wish","슬픔의 소망"
"Sorrow Wound","슬픔의 상처"
"Sorrow Wrap","슬픔의 겉옷"
"Sorrow Wreck","슬픔의 붕괴"
"Sorrow Writ","슬픔의 영장"
"Sorrow Ziggurat","슬픔의 지구라트"
"Sorrow Zone","슬픔의 지역"
"Soul Abode","영혼 거처"
"Soul Abyss","영혼 심연"
"Soul Aegis","영혼 비호"
"Soul Angler","영혼 낚시꾼"
"Soul Anthem","영혼 찬가"
"Soul Apex","영혼 정점"
"Soul Apparatus","영혼 기구"
"Soul Arbiter","영혼 중재자"
"Soul Arch","영혼 활"
"Soul Arrow","영혼 화살"
"Soul Artifice","영혼 책략"
"Soul Badge","영혼 배지"
"Soul Bait","영혼 미끼"
"Soul Ballad","영혼 담시"
"Soul Band","영혼 띠"
"Soul Bane","영혼 파멸"
"Soul Barb","영혼 가시"
"Soul Barrage","영혼 연발 사격"
"Soul Barrier","영혼 방어막"
"Soul Bastion","영혼 보루"
"Soul Batter","영혼 구타"
"Soul Bauble","영혼 방울"
"Soul Bead","영혼 구슬"
"Soul Beads","영혼 구슬"
"Soul Beak","영혼 부리"
"Soul Beam","영혼 광선"
"Soul Bid","영혼 노력"
"Soul Bind","영혼 묶음"
"Soul Bite","영혼 이빨"
"Soul Blast","영혼 폭발"
"Soul Bliss","영혼 지복"
"Soul Blood","영혼 피의"
"Soul Bloom","영혼 꽃"
"Soul Blow","영혼 일격"
"Soul Blunt","영혼 둔기"
"Soul Bolt","영혼 화살"
"Soul Bond","영혼 유대"
"Soul Braid","영혼 끈"
"Soul Branch","영혼 나뭇가지"
"Soul Brand","영혼 낙인"
