原文(有{0}),翻譯
"With at least {1} Intelligence in Radius, Discharge deals {0}% less Damage","若範圍內含 {1} 點智慧，解放造成 {0}% 更少傷害"
"With at least {1} Intelligence in Radius, Discharge deals {0}% more Damage","若範圍內含 {1} 點智慧，解放造成 {0}% 更多傷害"
"With at least {1} Intelligence in Radius, Discharge has {0}% less Area of Effect","若範圍內含 {1} 點智慧，解放有 {0}% 更少範圍效果"
"With at least {1} Intelligence in Radius, Discharge has {0}% more Area of Effect","若範圍內含 {1} 點智慧，解放有 {0}% 更多範圍效果"
"With at least {1} Intelligence in Radius, each Lightning Tendrils Repeat has {0}% increased Area of Effect per Enemy Hit","若範圍內含 {1} 點智慧，電能釋放擊中每位敵人增加 {0}% 範圍"
"With at least {1} Intelligence in Radius, Fireball has {0}% chance to inflict scorch","若範圍內含 {1} 點智慧，火球 {0}% 機率造成焦灼"
"With at least {1} Intelligence in Radius, Fireball Projectiles gain Area as they travel farther, up to {0}% increased Area of Effect","若範圍內含 {1} 智慧，火球投射物爆炸範圍將隨著飛行距離提升，最多增加 {0}% 範圍"
"With at least {1} Intelligence in Radius, Fireball Projectiles gain Area as they travel farther, up to {0}% reduced Area of Effect","若範圍內含 {1} 智慧，火球投射物爆炸範圍將隨著飛行距離減少，最多減少 {0}% 範圍"
"With at least {1} Intelligence in Radius, Fireball Projectiles gain Radius as they travel farther, up to {0} Radius","若範圍內含 {1} 智慧，火球投射物爆炸範圍將隨著飛行距離提升，最多增加 {0} 範圍"
"With at least {1} Intelligence in Radius, Freezing Pulse fires {0} additional Projectiles","若範圍內含 {1} 點智慧，冰霜脈衝額外發射 {0} 顆投射物"
"With at least {1} Intelligence in Radius, Frostbolt fires {0} additional Projectiles","若範圍內含 {1} 點智慧，寒冰彈額外發射 {0} 枚投射物"
"With at least {1} Intelligence in Radius, Magma Orb fires {0} additional Projectiles","若範圍內含有 {1} 點智慧，【熔岩之核】會額外發射 {0} 個投射物"
"With at least {1} Intelligence in Radius, Raised Spectres have a {0}% chance to gain Soul Eater for {2} seconds on Kill","若範圍內含 {1} 點智慧，喚醒幽魂擊殺時有 {0}% 機率獲得噬魂者，持續 {2} 秒"
"With at least {1} Intelligence in Radius, Rolling Magma deals {0}% less Damage","若範圍內含 {1} 智慧，熔岩翻騰造成 {0}% 更少傷害"
"With at least {1} Intelligence in Radius, Rolling Magma deals {0}% less Damage per Chain","若範圍內含 {1} 智慧，每次連鎖熔岩翻騰造成 {0}% 更少傷害"
"With at least {1} Intelligence in Radius, Rolling Magma deals {0}% more Damage","若範圍內含 {1} 智慧，熔岩翻騰造成 {0}% 更多傷害"
"With at least {1} Intelligence in Radius, Rolling Magma deals {0}% more Damage per Chain","若範圍內含 {1} 智慧，每次連鎖熔岩翻騰造成 {0}% 更多傷害"
"With at least {1} Intelligence in Radius, Rolling Magma fires {0} additional Projectiles","若範圍內含 {1} 點智慧，熔岩翻騰額外發射 {0} 枚投射物"
"With at least {1} Intelligence in Radius, Spark fires {0} additional Projectiles","若範圍內含 {1} 點智慧，電球發射 {0} 個額外投射物"
"With at least {1} Intelligence in Radius, Spark Projectiles chain {0} additional times","若範圍內含 {1} 點智慧，電球投射物額外連鎖 {0} 次"
"With at least {1} Intelligence in Radius, Summon Skeletons can Summon up to {0} Skeleton Mages","若範圍內含 {1} 點智慧，召喚骷髏可以召喚最多 {0} 個骷髏法師"
"With at least {1} Strength in Radius, {0}% of Glacial","若範圍內含 {1} 點力量，"
"With at least {1} Strength in Radius, Ground Slam has a {0}% chance","若範圍內含 {1} 點力量，"
"With at least {1} Strength in Radius, Hits with Vigilant Strike Fortify you and Nearby Allies for {0} seconds","範圍內至少有 {1} 點力量，使用戒備打擊擊中護體你和附近友方 {0} 秒"
"With at least {1} Strength in Radius, Molten Strike fires {0} additional Projectiles","若範圍內含 {1} 點力量，熔岩之擊額外發射 {0} 枚投射物"
"With at least {1} Strength in Radius, Molten Strike fires {0}% less Projectiles","若範圍內含 {1} 力量，熔岩之擊發射 {0}% 更少投射物"
"With at least {1} Strength in Radius, Molten Strike fires {0}% more Projectiles","若範圍內含 {1} 力量，熔岩之擊發射 {0}% 更多投射物"
"With at least {1} Strength in Radius, Molten Strike has {0}% increased Area of Effect","若範圍內含 {1} 點力量，熔岩之擊增加 {0}% 範圍"
"With at least {1} Strength in Radius, Molten Strike Projectiles Chain {0} time","若範圍內含 {1} 力量，熔岩之擊投射物連鎖 {0} 次"
"With at least {1} Strength in Radius, Molten Strike Projectiles Chain {0} times","若範圍內含 {1} 力量，熔岩之擊投射物連鎖 {0} 次"
"With at least {1} Strength, {0}% of Damage dealt by your Raised Zombies is Leeched to you as Life","當力量超過 {1} 時，召喚殭屍所造成傷害的 {0}% 為你偷取生命"
"With at least one nearby corpse, nearby Enemies deal {0} increased Damage","當週圍有至少 1 個屍體，週圍敵人的傷害增加 {0}"
"With at least one nearby corpse, nearby Enemies deal {0} reduced Damage","當週圍有至少 1 個屍體，週圍敵人的傷害減少 {0}"
"With at least one nearby corpse, nearby Enemies deal {0}% increased Damage","附近至少有 1 個屍體，附近敵人增加 {0}% 傷害"
"With at least one nearby corpse, nearby Enemies deal {0}% reduced Damage","附近至少有 1 個屍體，附近敵人減少 {0}% 傷害"
"With at least one nearby corpse, you and nearby Allies deal {0} less Damage","當週圍有至少 1 個屍體，你與週圍友軍的總傷害更少 {0}"
"With at least one nearby corpse, you and nearby Allies deal {0} more Damage","當週圍有至少 1 個屍體，你與週圍友軍的總傷害更多 {0}"
"With at least one nearby corpse, you and nearby Allies deal {0}% less Damage","附近至少有 1 個屍體，你和附近友方造成 {0}% 更少傷害"
"With at least one nearby corpse, you and nearby Allies deal {0}% more Damage","附近至少有 1 個屍體，你和附近友方造成 {0}% 更多傷害"
"Wither has {0} increased Area of Effect","【死亡凋零】範圍擴大 {0}"
"Wither has {0} increased Duration","【死亡凋零】持續時間延長 {0}"
"Wither has {0} reduced Area of Effect","【死亡凋零】範圍縮小 {0}"
"Wither has {0} reduced Duration","【死亡凋零】持續時間縮短 {0}"
"Wither has {0}% increased Area of Effect","死亡凋零增加 {0}% 範圍效果"
"Wither has {0}% increased Duration","增加 {0}% 死亡凋零持續時間"
"Wither has {0}% reduced Area of Effect","死亡凋零減少 {0}% 範圍效果"
"Wither has {0}% reduced Duration","減少 {0}% 死亡凋零持續時間"
"Withered inflicted by Minions has a base duration of {0} second","召喚物造成的凋零有 {0} 秒基礎持續時間"
"Withered inflicted by Minions has a base duration of {0} seconds","召喚物造成的凋零有 {0} 秒基礎持續時間"
"Withered inflicted by this Spell or Minions has a base duration of {0} second","此法術或召喚物造成的凋零有 {0} 秒的基礎持續時間"
"Withered inflicted by this Spell or Minions has a base duration of {0} seconds","此法術或召喚物造成的凋零有 {0} 秒的基礎持續時間"
"Withered lasts {0} second","凋零持續 {0} 秒"
"Withered lasts {0} seconds","凋零持續 {0} 秒"
"Withered you Inflict expires {0} faster","你施加的【枯萎】耗竭速度加快 {0}"
"Withered you Inflict expires {0} slower","你施加的【枯萎】耗竭速度減慢 {0}"
"Withered you Inflict expires {0}% faster","你造成的凋零加速 {0}% 失效"
"Withered you Inflict expires {0}% slower","你造成的凋零減緩 {0}% 失效"
"Withering Step has {0} increased Elusive Effect","【凋零步】的【靈巧】效果增加 {0}"
"Withering Step has {0} reduced Elusive Effect","【凋零步】的【靈巧】效果減少 {0}"
"Withering Step has {0}% increased Elusive Effect","凋零之步增加 {0}% 靈巧效果"
"Withering Step has {0}% reduced Elusive Effect","凋零之步減少 {0}% 靈巧效果"
"Withering Step inflicts {0} additional Withered Debuffs","凋零之步造成 {0} 次額外凋零減益效果"
"Wrath has {0} increased Aura Effect","【雷霆】的光環效果增加 {0}"
"Wrath has {0} increased Mana Reservation","【雷霆】的魔力保留增加 {0}"
"Wrath has {0} reduced Aura Effect","【雷霆】的光環效果減少 {0}"
"Wrath has {0} reduced Mana Reservation","【雷霆】的魔力保留減少 {0}"
"Wrath has {0}% increased Aura Effect","雷霆增加 {0}% 光環效果"
"Wrath has {0}% increased Mana Reservation","雷霆增加 {0}% 魔力保留"
"Wrath has {0}% increased Mana Reservation Efficiency","雷霆增加 {0}% 魔力保留效用"
"Wrath has {0}% increased Reservation","雷霆增加 {0}% 保留"
"Wrath has {0}% reduced Aura Effect","雷霆減少 {0}% 光環效果"
"Wrath has {0}% reduced Mana Reservation","雷霆減少 {0}% 魔力保留"
"Wrath has {0}% reduced Mana Reservation Efficiency","雷霆減少 {0}% 魔力保留效用"
"Wrath has {0}% reduced Reservation","雷霆減少 {0}% 保留"
"x {0} (ailment effect modifier)","x {0} (異常狀態效果詞綴)"
"x {0} (attack rate)","x {0} (攻擊速度)"
"x {0} (average instances)","x {0} (平均實例)"
"x {0} (base leech rate is {1}% per second)","x {0} (每秒偷取速率基礎 {1}%)"
"x {0} (bleed deals {1}% per second)","x {0} (每秒流血 {1}%)"
"x {0} (cast rate)","x {0} (施放速度)"
"x {0} (chance to deal double damage)","x {0} (造成雙倍傷害機率)"
"x {0} (chance to hit)","x {0} (擊中機率)"
"x {0} (DPS multiplier for this skill)","x {0} (此技能秒傷 倍數)"
"x {0} (duration modifier)","x {0} (持續時間詞綴)"
"x {0} (effective DPS modifier)","x {0} (有效秒傷詞綴)"
"x {0} (hit rate)","x {0} (擊中速度)"
"x {0} (ignite duration)","x {0} (點燃持續時間)"
"x {0} (increased/reduced duration)","x {0} (增加/減少 持續時間)"
"x {0} (increased/reduced extra crit damage taken by enemy)","x {0} (增加/減少 敵人額外暴擊傷害)"
"x {0} (increased/reduced mana cost)","x {0} (增加/減少 魔力消耗)"
"x {0} (increased/reduced stun duration)","x {0} (增加/減少 暈眩時間)"
"x {0} (increased/reduced)","x {0} (增加/減少)"
"x {0} (instance duration)","x {0} (實例持續時間)"
"x {0} (life multiplier for this totem type)","x {0} (此類圖騰生命倍率)"
"x {0} (mana cost multiplier)","x {0} (魔力消耗倍率)"
"x {0} (more/less duration)","x {0} (更多/更少 持續時間)"
"x {0} (more/less mana cost)","x {0} (更多/更少 魔力消耗)"
"x {0} (more/less)","x {0} (更多/更少)"
"x {0} (poison duration)","x {0} (中毒持續時間)"
"x {0} (portion of instances created by crits)","x {0} (暴擊實例部分)"
"x {0} (portion of instances created by main hand)","x {0} (主手實例部分)"
"x {0} (portion of instances created by non-crits)","x {0} (非暴擊實例部分)"
"x {0} (portion of instances created by off hand)","x {0} (副手實例部分)"
"x {0} (ruthless blow effect modifier)","x {0} (無情效果加成)"
"x {0} (totem life modifier)","x {0} (圖騰生命詞綴)"
"x {0} {1}% converted to other damage types)","x {0} ({1}% 轉換為其它傷害類型)"
"x {0} leech rate modifier","x {0} 偷取速率詞綴"
"x {0}% (percentage of life to maximum leech rate)","x {0}% (最大生命偷取速率百分比)"
"You and Allies affected by Auras from your Skills {0}% reduced Attack and Cast Speed","你和友軍受你的光環影響時，攻擊和施放速度減少 {0}%"
"You and Allies affected by Auras from your Skills deal {0}% increased Damage","你和友軍受你的光環影響時，傷害增加 {0}%"
"You and Allies affected by Auras from your Skills deal {0}% reduced Damage","你和友軍受你的光環影響時，傷害減少 {0}%"
"You and Allies affected by Auras from your Skills have {0}% Chance to Block Attack Damage","你和友軍受你的光環影響時，獲得 {0}% 額外攻擊傷害格擋機率"
"You and Allies affected by Auras from your Skills have {0}% increased Attack and Cast Speed","你和友軍受你的光環影響時，攻擊和施放速度增加 {0}%"
"You and Allies affected by Auras from your Skills have {0}% increased Attack, Cast and Movement Speed","你和友軍受你的光環影響時，攻擊速度，施放速度，移動速度增加 {0}%"
"You and Allies affected by Auras from your Skills have {0}% reduced Attack, Cast and Movement Speed","你和友軍受你的光環影響時，攻擊速度，施放速度，移動速度減少 {0}%"
"You and Allies affected by Auras from your Skills have {0}% to Chaos Resistance","你和友軍受你的光環影響時，獲得 {0}% 混沌抗性"
"You and Allies affected by Auras from your Skills have {0}% to Elemental Resistances","你和友軍受你的光環影響時，元素抗性 {0}%"
"You and Allies affected by your placed Banners Regenerate {0} of",你和友軍受到你放置的旗幟影響，
"You and Allies affected by your placed Banners Regenerate {0} of  Life per second for each Stage","你和友軍受到你放置的旗幟影響，每階每秒回復 {0} 生命"
"You and Allies affected by your placed Banners Regenerate {0}% of",你和友方被你放置的鬥旗影響時，根據每層
"You and Allies affected by your placed Banners Regenerate {0}% of  Life per second for each Stage","你和隊友受到你放置的旗幟影響，每階每秒回復 {0}% 生命"
"You and Enemies have {0} increased Movement Speed while inflicted with an Ailment","被施加異常狀態時，你和敵人的移動速度加快 {0}"
"You and Enemies have {0} increased Movement Speed while inflicted with an Ailment from Supported Skills","若施加的異常狀態來自被輔助技能，則你和敵人的移動速度加快 {0}"
"You and Enemies have {0} reduced Movement Speed while inflicted with an Ailment","被施加異常狀態時，你和敵人的移動速度減慢 {0}"
"You and Enemies have {0} reduced Movement Speed while inflicted with an Ailment from Supported Skills","若施加的異常狀態來自被輔助技能，你和敵人的移動速度減慢 {0}"
"You and Enemies have {0}% increased Movement Speed while inflicted with an Ailment","被異常狀態影響時，你和敵人增加 {0}% 移動速度"
"You and Enemies have {0}% increased Movement Speed while inflicted with an Ailment from Supported Skills","受到來自被輔助技能的異常狀態影響時，你和敵人增加 {0}% 移動速度"
"You and Enemies have {0}% reduced Movement Speed while inflicted with an Ailment","被異常狀態影響時，你和敵人減少 {0}% 移動速度"
"You and Enemies have {0}% reduced Movement Speed while inflicted with an Ailment from Supported Skills","受到來自被輔助技能的異常狀態影響時，你和敵人減少 {0}% 移動速度"
"You and nearby allies {0} reduced Skill Effect Duration","你和週圍友軍的技能效果持續時間減少 {0}"
"You and nearby allies {0}% reduced Skill Effect Duration","你和附近友方減少 {0}% 技能效果持續時間"
"You and nearby Allies deal {0} decreased Damage","你和週圍友軍的傷害減少 {0}"
"You and nearby Allies deal {0} decreased Damage with Ailments","你和週圍友軍的異常狀態傷害減少 {0}"
"You and nearby Allies deal {0} increased Burning Damage","你和週圍友軍的燃燒傷害增加 {0}"
"You and nearby Allies deal {0} increased Damage","你和週圍友軍的傷害增加 {0}"
"You and nearby Allies deal {0} increased Damage while on Full Life","滿血時，你和週圍友軍的傷害增加 {0}"
"You and nearby Allies deal {0} increased Damage while you have Fortify","當你有護體時，你和週圍友軍的傷害增加 {0}"
"You and nearby Allies deal {0} increased Damage with Ailments","你和週圍友軍的異常狀態傷害增加 {0}"
"You and nearby allies deal {0} less Cold Damage","你與週圍友軍的冰冷總傷害更少 {0}"
"You and nearby allies deal {0} less Damage over Time","你與週圍友軍的總持續性傷害更少 {0}"
"You and nearby allies deal {0} less Spell Damage with Spells","你與週圍友軍的法術總傷害更少 {0}"
"You and nearby allies deal {0} less Spell Lightning Damage with Spells","你與週圍友軍施放法術時造成的閃電總傷害更少 {0}"
"You and nearby allies deal {0} more Cold Damage","你與週圍友軍的冰冷總傷害更多 {0}"
"You and nearby allies deal {0} more Damage over Time","你與週圍友軍的總持續性傷害更多 {0}"
"You and nearby allies deal {0} more Spell Damage","你與週圍友軍的法術總傷害更多 {0}"
"You and nearby allies deal {0} more Spell Lightning Damage","你與週圍友軍施放法術時造成的閃電總傷害更多 {0}"
"You and nearby Allies deal {0} reduced Burning Damage","你和週圍友軍的燃燒傷害減少 {0}"
"You and nearby Allies deal {0} reduced Damage","你和週圍友軍的傷害減少 {0}"
"You and nearby Allies deal {0} reduced Damage while you have Fortify","當你有護體時，你和週圍友軍的傷害減少 {0}"
"You and nearby allies deal {0} to {1} additional Chaos Damage with Attacks","你和附近友方的攻擊額外造成 {0} 至 {1} 混沌傷害"
"You and nearby allies deal {0} to {1} additional Chaos Damage with Spells","你和附近友方的法術額外造成 {0} 至 {1} 混沌傷害"
"You and nearby allies deal {0} to {1} additional Fire Damage with Attacks","你和附近友方的攻擊額外造成 {0} 至 {1} 火焰傷害"
"You and nearby allies deal {0} to {1} additional Fire Damage with Spells","你和附近友方的法術額外造成 {0} 至 {1} 火焰傷害"
"You and nearby allies deal {0} to {1} additional Lightning Damage with Attacks","你和附近友方的攻擊額外造成 {0} 至 {1} 閃電傷害"
"You and nearby Allies deal {0}% decreased Damage","你和附近友方減少 {0}% 傷害"
"You and nearby Allies deal {0}% decreased Damage with Ailments","你和附近友方減少 {0}% 異常狀態傷害"
"You and nearby Allies deal {0}% increased Burning Damage","你和附近友方增加 {0}% 燃燒傷害"
"You and nearby Allies deal {0}% increased Damage","你和附近友方增加 {0}% 傷害"
"You and nearby Allies deal {0}% increased Damage while on Full Life","滿血時，你和附近友方增加 {0}% 傷害"
"You and nearby Allies deal {0}% increased Damage while you have Fortify","當你有護體時，你和附近友方增加 {0}% 傷害"
"You and nearby Allies deal {0}% increased Damage with Ailments","你和附近友方增加 {0}% 異常狀態傷害"
"You and nearby allies deal {0}% less Cold Damage","你和附近友方造成 {0}% 更少冰冷傷害"
"You and nearby allies deal {0}% less Damage over Time","你和附近友方造成 {0}% 更少持續傷害"
"You and nearby allies deal {0}% less Spell Damage with Spells","你和附近友方造成 {0}% 更少法術傷害"
"You and nearby allies deal {0}% less Spell Lightning Damage with Spells","你和附近的隊友造成 {0}% 更少閃電法術傷害"
"You and nearby allies deal {0}% more Cold Damage","你和附近友方造成 {0}% 更多冰冷傷害"
"You and nearby allies deal {0}% more Damage over Time","你和附近友方造成 {0}% 更多持續傷害"
"You and nearby allies deal {0}% more Spell Damage","你和附近友方造成 {0}% 更多法術傷害"
"You and nearby allies deal {0}% more Spell Lightning Damage","你和附近的隊友造成 {0}% 更多閃電法術傷害"
"You and nearby Allies deal {0}% reduced Burning Damage","你和附近友方減少 {0}% 燃燒傷害"
"You and nearby Allies deal {0}% reduced Damage","你和附近友方減少 {0}% 傷害"
"You and nearby Allies deal {0}% reduced Damage while you have Fortify","當你有護體時，你和附近友方減少 {0}% 傷害"
"You and nearby allies gain {0} additional Armour","你與附近的隊友獲得 {0} 額外護甲"
"You and nearby allies gain {0} additional Cold Resistance","你與週圍友軍的冰冷抗性增加 {0}"
"You and nearby allies gain {0} additional Energy Shield","你與附近的隊友獲得 {0} 額外能量護盾"
"You and nearby allies gain {0} additional Evasion Rating","你與附近的隊友獲得 {0} 額外閃避值"
"You and nearby allies gain {0} additional Fire Resistance","你與週圍友軍的火焰抗性增加 {0}"
"You and nearby allies gain {0} additional Lightning Resistance","你與週圍友軍的閃電抗性增加 {0}"
"You and nearby allies gain {0} additional maximum Cold Resistance","你與週圍友軍的冰冷抗性上限增加 {0}"
"You and nearby allies gain {0} additional maximum Fire Resistance","你與週圍友軍的火焰抗性上限增加 {0}"
"You and nearby allies gain {0} additional maximum Lightning Resistance","你與週圍友軍的閃電抗性上限增加 {0}"
"You and nearby allies gain {0} increased Accuracy Rating","你與週圍友軍的命中值增加 {0}"
"You and nearby allies gain {0} increased Attack Speed","你與週圍友軍的攻擊速度增加 {0}"
"You and nearby allies gain {0} increased Cast Speed","你與週圍友軍的施放速度增加 {0}"
"You and nearby allies gain {0} increased Critical Strike Chance","你與週圍友軍的攻擊和法術暴擊率增加 {0}"
"You and nearby allies gain {0} increased Damage","你和友軍的傷害增加 {0}"
"You and nearby Allies gain {0} increased Energy Shield Recharge rate","你與週圍友軍的能量護盾回復速度增加 {0}"
"You and nearby Allies gain {0} increased Melee Physical Damage per {1} Strength","每 {1} 點力量可使你和週圍友軍的近戰物理傷害增加 {0}"
"You and nearby allies gain {0} increased Movement Speed","你與週圍友軍的移動速度增加 {0}"
"You and nearby allies gain {0} increased Physical Damage","你與週圍友軍的物理傷害增加 {0}"
"You and nearby allies gain {0} more Armour","你與週圍友軍的總護甲更多 {0}"
"You and nearby allies gain {0} more Evasion rating","你與週圍友軍的總閃避值更多 {0}"
"You and nearby Allies gain {0} of Evasion Rating as Extra Armour","你和週圍友軍將 {0} 閃避值視為額外護甲"
"You and nearby allies gain {0} of Physical Damage as Extra Cold Damage","你與週圍友軍額外獲得 {0} 物理傷害，並轉化為冰冷傷害"
"You and nearby allies gain {0} reduced Accuracy Rating","你與週圍友軍的命中值減少 {0}"
"You and nearby allies gain {0} reduced Attack Speed","你與週圍友軍的攻擊速度減少 {0}"
"You and nearby allies gain {0} reduced Cast Speed","你與週圍友軍的施放速度減少 {0}"
"You and nearby allies gain {0} reduced Critical Strike Chance","你與週圍友軍的攻擊和法術暴擊率減少 {0}"
"You and nearby Allies gain {0} reduced Energy Shield Recharge rate","你與週圍友軍的能量護盾回復速度減少 {0}"
"You and nearby allies gain {0} reduced Movement Speed","你與週圍友軍的移動速度減少 {0}"
"You and nearby allies gain {0} reduced Physical Damage","你與週圍友軍的物理傷害減少 {0}"
"You and nearby allies gain {0} to Accuracy Rating","你和附近友方 {0} 命中值"
"You and nearby allies gain {0} to all Elemental Resistances","你與週圍友軍獲得 {0} 元素抗性"
"You and nearby allies gain {0}% additional Cold Resistance","你與附近的隊友獲得 {0}% 額外冰冷抗性"
"You and nearby allies gain {0}% additional Fire Resistance","你與附近的隊友獲得 {0}% 額外火焰抗性"
"You and nearby allies gain {0}% additional Lightning Resistance","你與附近的隊友獲得 {0}% 額外閃電抗性"
"You and nearby allies gain {0}% additional maximum Cold Resistance","你與附近的隊友獲得 {0}% 額外最大冰冷抗性"
"You and nearby allies gain {0}% additional maximum Fire Resistance","你與附近的隊友獲得 {0}% 額外最大火焰抗性"
"You and nearby allies gain {0}% additional maximum Lightning Resistance","你與附近的隊友獲得 {0}% 額外最大閃電抗性"
"You and nearby allies gain {0}% increased Accuracy Rating","你與附近的隊友獲得 {0}% 命中值"
"You and nearby allies gain {0}% increased Attack Speed","你與附近的隊友獲得 {0}% 攻擊速度"
"You and nearby allies gain {0}% increased Cast Speed","你與附近的隊友獲得 {0}% 施放速度"
"You and nearby allies gain {0}% increased Critical Strike Chance","你和附近友方增加 {0}% 暴擊率"
"You and nearby allies gain {0}% increased Damage","你跟友方增加 {0}% 傷害"
"You and nearby Allies gain {0}% increased Energy Shield Recharge rate","你和附近友方獲得增加 {0}% 能量護盾充能率"
"You and nearby Allies gain {0}% increased Melee Physical Damage per {1} Strength","每 {1} 點力量增加你和附近友方 {0}% 近戰物理傷害"
"You and nearby allies gain {0}% increased Movement Speed","你與附近的隊友獲得 {0}% 移動速度"
"You and nearby allies gain {0}% increased Physical Damage","你與附近的隊友獲得 {0}% 物理傷害"
"You and nearby allies gain {0}% more Armour","你與附近的隊友獲得 {0}% 更多護甲"
"You and nearby allies gain {0}% more Evasion rating","你與附近的隊友獲得 {0}% 閃避值"
"You and nearby Allies gain {0}% of Evasion Rating as Extra Armour","你和附近友方獲得 {0}% 閃避值得額外護甲"
"You and nearby allies gain {0}% of Physical Damage as Extra Cold Damage","你和附近友方獲得等同 {0}% 物理傷害的額外冰冷傷害"
"You and nearby allies gain {0}% reduced Accuracy Rating","你與附近的隊友減少 {0}% 命中值"
"You and nearby allies gain {0}% reduced Attack Speed","你與附近的隊友減少 {0}% 攻擊速度"
"You and nearby allies gain {0}% reduced Cast Speed","你與附近的隊友減少 {0}% 施放速度"
"You and nearby allies gain {0}% reduced Critical Strike Chance","你和附近友方減少 {0}% 暴擊率"
"You and nearby Allies gain {0}% reduced Energy Shield Recharge rate","你和附近友方獲得減少 {0}% 能量護盾充能率"
"You and nearby allies gain {0}% reduced Movement Speed","你與附近的隊友減少 {0}% 移動速度"
"You and nearby allies gain {0}% reduced Physical Damage","你與附近的隊友減少 {0}% 物理傷害"
"You and nearby allies gain {0}% to all Elemental Resistances","你與附近的隊友獲得 {0}% 全元素抗性"
"You and nearby Allies have {0} chance to avoid being Frozen","你和週圍友軍有 {0} 的機率避免被冰凍"
"You and nearby Allies have {0} chance to avoid being Ignited","你和週圍友軍有 {0} 的機率避免被點燃"
"You and nearby Allies have {0} chance to avoid being Shocked","你和週圍友軍有 {0} 的機率避免感電效果"
"You and nearby Allies have {0} chance to Avoid being Stunned","你和週圍友軍有 {0} 的機率避免被暈眩"
"You and nearby Allies have {0} chance to Avoid Chaos Damage from Hits","你和週圍友軍被擊中時，有 {0} 的機率避免混沌傷害"
"You and nearby Allies have {0} chance to avoid Elemental Ailments","你和週圍友軍有 {0} 的機率避免元素異常狀態"
"You and nearby Allies have {0} Chance to Block Attack Damage","你和週圍的友軍獲得 {0} 攻擊傷害格擋機率"
"You and nearby Allies have {0} chance to Impale Enemies on Hit with Attacks","你與週圍友軍攻擊擊中時有 {0} 的機率穿刺敵人"
"You and nearby Allies have {0} faster start of Energy Shield Recharge","你和週圍友軍的能量護盾充能時間提前 {0}"
"You and nearby Allies have {0} increased Attack and Cast Speed","你和週圍友軍的攻擊和施放速度增加 {0}"
"You and nearby Allies have {0} increased Attack, Cast and Movement Speed","你和週圍友軍的攻擊速度、施放速度、移動速度增加 {0}"
"You and nearby Allies have {0} increased Chill and Freeze Duration","你和週圍友軍的冰緩和冰凍持續時間延長 {0}"
"You and nearby Allies have {0} increased Critical Strike Chance","你和週圍友軍的暴擊率增加 {0}"
"You and nearby Allies have {0} increased Damage while on Full Energy Shield","能量護盾全滿時，你和週圍友軍的傷害增加 {0}"
"You and nearby Allies have {0} increased Damage while on Full Mana","魔力全滿時，你和週圍友軍的傷害增加 {0}"
"You and nearby Allies have {0} increased Impale Effect","你和週圍友軍的穿刺效果增加 {0}"
"You and Nearby Allies have {0} increased Item Rarity","你和週圍友軍的物品稀有度增加 {0}"
"You and nearby Allies have {0} increased Mana Recovery from Flasks","你和週圍友軍的藥劑魔力回復效果增加 {0}"
"You and nearby Allies have {0} increased Mana Regeneration Rate","你和週圍友軍的魔力再生率增加 {0}"
"You and nearby Allies have {0} increased Movement Speed while on Chilled Ground","你和週圍友軍在冰緩地面上時，移動速度加快 {0}"
"You and nearby Allies have {0} increased Projectile Speed","你和週圍友軍的投射物速度加快 {0}"
"You and nearby allies have {0} increased Skill Effect Duration","你和週圍友軍的技能效果持續時間延長 {0}"
"You and nearby allies have {0} increased Spell Critical Strike Chance","你與週圍友軍的法術暴擊機率增加 {0}"
"You and nearby Allies have {0} increased Totem Placement speed","你和週圍友軍的圖騰放置速度加快 {0}"
"You and nearby Allies have {0} less Area of Effect","你和週圍友軍的總效果區域額外縮小 {0}"
"You and nearby Allies have {0} more Area of Effect","你和週圍友軍的總效果區域額外擴大 {0}"
"You and nearby Allies have {0} reduced Attack and Cast Speed","你和週圍友軍的攻擊和施放速度減少 {0}"
"You and nearby Allies have {0} reduced Attack, Cast and Movement Speed","你和週圍友軍的攻擊速度、施放速度、移動速度減少 {0}"
"You and nearby Allies have {0} reduced Chill and Freeze Duration","你和週圍友軍的冰緩和冰凍持續時間縮短 {0}"
"You and nearby Allies have {0} reduced Critical Strike Chance","你和週圍友軍的暴擊率減少 {0}"
"You and nearby Allies have {0} reduced Damage while on Full Energy Shield","能量護盾全滿時，你和週圍友軍的傷害減少 {0}"
"You and nearby Allies have {0} reduced Damage while on Full Mana","魔力全滿時，你和週圍友軍的傷害減少 {0}"
"You and nearby Allies have {0} reduced Impale Effect","你和週圍友軍的穿刺效果減少 {0}"
"You and Nearby Allies have {0} reduced Item Rarity","你和週圍友軍的物品稀有度減少 {0}"
"You and nearby Allies have {0} reduced Mana Regeneration Rate","你和週圍友軍的魔力再生率減少 {0}"
"You and nearby Allies have {0} reduced Movement Speed while on Chilled Ground","你和週圍友軍在冰緩地面上時，移動速度減慢 {0}"
"You and nearby Allies have {0} reduced Projectile Speed","你和週圍友軍的投射物速度減慢 {0}"
"You and nearby allies have {0} reduced Spell Critical Strike Chance","你與週圍友軍的法術暴擊機率減少 {0}"
"You and nearby Allies have {0} reduced Totem Placement speed","你和週圍友軍的圖騰放置速度減慢 {0}"
"You and nearby Allies have {0} slower start of Energy Shield Recharge","你和週圍友軍的能量護盾充能時間延後  {0}"
