ㄎ,翻譯
Limited to,使用上限
Chance to Block,格檔機率
Chilled,冰緩
Non Chaos Damage Gain As Chaos,非混沌傷害的額外混沌傷害
Ignore weapon swap,忽略副手武器
Ignore Items and skills in weapon swap,忽略放在副手的武器和技能
{0} metres to Melee Strike Range with Swords,"使用劍時, {0} 米近戰打擊距離"
Min,最小
Your unreserved Mana is negative,你的保留超過了魔力可保留的值
You do not have enough Mana to use,你沒有足夠的魔力使用下列技能
You do not have enough Unreserved Mana% to use,你沒有足夠的未保留魔力使用下列技能
Combined Total Damage,綜合總傷害
Physical Damage Convert To Cold,物理傷害轉換為冰冷傷害
Resulting ailment effect,異常效果
Ailment Threshold,閥值
Scorch Effect,焦灼效果
Brittle Effect,易碎效果
Sap Effect,殘喘效果
Repeat Count,重複次數
Block Effect,格擋減輕效果
UsingShield,使用盾牌
Using Flask,使用藥劑
Unnamed build,尚未存檔的人物
{0} metres to Melee Strike Range,{0} 米近戰打擊距離
per point,每點
Auras from your Skills grant 5% increased Recovery Rate of Life Mana and Energy Shield to you and Allies,來自你技能的光環，使你和友方增加 5% 生命、魔力和能量護盾恢復率
Warden,聖賢守護者
Warlock,咒之術士
Primalist,荒野使者
Split Count:,裂化物數量:
Shrapnel Ballista:,彈片砲塔:
# of Shotgunning Projectiles:,# 重複擊中的投射物數量:
Enemy Max Resistance is always 75%,敵人最大抗性總是 75%
Show Advanced Info,顯示進階資訊
Disable Party Effects,禁用隊伍效果
Rebuild All,重建全部
Auras,光環
Link Skills,連結技能
Party Member Stats,隊員統計
Enemy Conditions,敵人狀況
Enemy Modifiers,敵人詞綴
Curses,詛咒
Append,附加
Enter a build code/URL below:,在下面輸入流派程式碼或連結:
	All of these effects can be found in the Calcs tab,所有這些效果都可以在「計算」頁面中找到
Wither Effect:,凋零效果:
Effective Hit Pool,有效擊中血池
Artillery Quiver,火炮箭袋
Stored Uses:,儲存使用次數:
Eff. Source Rate:,有效來源速度:
Barkskin,木質外膚
Tincture,萃取物
Enable buffs:,啟用增益:
Barkskin:,木質外膚:
# of Barkskin Stacks:,# 木質外膚疊層:
50% more Accuracy Rating against Marked Enemy,對被印記的敵人有 50% 更多命中值
Focused Amulet,專注護身符
