add,翻譯
Synthesised Monsters drop a Breach Splinter,追憶之魔法怪物掉落 1 個裂痕裂片
Synthesised Monsters drop a Currency Item,追憶之怪物掉落 1 個通貨
Synthesised Monsters drop a Currency Shard,追憶之怪物掉落 1 個通貨碎片
Synthesised Monsters drop a Divination Card,追憶之怪物掉落 1 張命運卡
Synthesised Monsters drop a Fossil,追憶之怪物掉落 1 個化石
Synthesised Monsters drop a Quality Currency Item,追憶之怪物掉落 1 個品質通貨
Synthesised Monsters drop a Shaper Item,追憶之怪物掉落 1 件塑者之物
Synthesised Monsters drop an Elder Item,追憶之怪物掉落 1 件尊師之物
Synthesised Rare Monsters are resurrected as an Ally when slain,當擊殺追憶之稀有怪物時，復活成為友方
Synthesised Rare Monsters drop a Breach Splinter,追憶之稀有怪物掉落 1 個裂痕裂片
Synthesised Rare Monsters drop a Currency Item,追憶之稀有怪物掉落 1 個通貨
Synthesised Rare Monsters drop a Divination Card,追憶之稀有怪物掉落 1 張命運卡
Synthesised Rare Monsters drop a Fossil,追憶之稀有怪物掉落 1 個化石
Synthesised Rare Monsters drop a Jewel,追憶之稀有怪物掉落 1 個珠寶
Synthesised Rare Monsters drop a Map,追憶之稀有怪物掉落 1 張地圖
Synthesised Rare Monsters drop a Quality Currency Item,追憶之稀有怪物掉落 1 個品質通貨
Synthesised Rare Monsters drop a Shaper Item,追憶之稀有怪物掉落 1 件塑者之物
Synthesised Rare Monsters drop a Talisman,追憶之稀有怪物掉落 1 個魔符
Synthesised Rare Monsters drop a Vaal Fragment,追憶之稀有怪物掉落 1 個瓦爾碎片
Synthesised Rare Monsters drop a Veiled Item,追憶之稀有怪物掉落 1 件隱匿物品
Synthesised Rare Monsters drop an Abyss Jewel,追憶之稀有怪物掉落 1 個深淵珠寶
Synthesised Rare Monsters drop an additional Breach Splinter,追憶之稀有怪物掉落 1 個額外裂痕裂片
Synthesised Rare Monsters drop an additional Currency Item,追憶之稀有怪物掉落 1 個額外通貨
Synthesised Rare Monsters drop an additional Currency Shard,追憶之稀有怪物掉落 1 個額外通貨碎片
Synthesised Rare Monsters drop an additional Quality Currency Item,追憶之稀有怪物掉落 1 個額外品質通貨
Synthesised Rare Monsters drop an Elder Item,追憶之稀有怪物掉落 1 件尊師之物
Synthesised Rare Monsters drop an Essence,追憶之稀有怪物掉落 1 個精髓
Tabula Rasa,無盡之衣
Tackle,捕繩
Tail Spike,尾刺
Tailwind,流順之風
Tainted,汙染油瓶
Tainted Oil,汙染油瓶
Take 50% less Damage over Time if you've started taking Damage over Time in the past second\n100% more Duration of Ailments on you,若你在過去 1 秒開始受到持續傷害，承受 50% 更少持續傷害。\n100% 更多你身上異常狀態的持續時間
Take no Extra Damage from Critical Strikes,不會受到暴擊產成的額外暴擊傷害
Take no Extra Damage from Critical Strikes if you have a Magic Ring in left slot,若你左戒指欄位為魔法戒指，不會受到來自暴擊的額外傷害
Take no Extra Damage from Critical Strikes if you have taken a Critical Strike Recently,若近期受到暴擊傷害，則不再受到暴擊的額外傷害
Taken,承受
Taken As:,承受轉換:
Taken From Block:,格擋承受傷害:
Taken Mult,承受加成
Taken:,承受:
Taking Cold Damage instead heals you,你承受的治療會被轉化為承受冰冷傷害
Taking Elemental Damage instead heals you,你承受的治療會被轉化為承受元素傷害
Taking Elemental Damage instead heals you and Nearby Allies,你和附近友方承受元素傷害而不是回復生命
Taking Fire Damage instead heals you,你承受的治療會被轉化為承受火焰傷害
Taking Lightning Damage instead heals you,你承受的治療會被轉化為承受閃電傷害
Tale,故事
Talisman,魔符
Talisman Degen,魔符詛咒
Talisman Hardcore,魔符(HC)
Talisman of the Victor,勝者護符
Talisman Standard,魔符(標準)
Talisman Summon Lightning Spiral,魔符召喚電渦
Talismans found in this Area are Rare,此區域尋獲的魔符為稀有魔符
Talon Axe,猛禽爪斧
Talons,爪鋒
Taproot,砥礪深根
Tar Projectile,焦油投射物
Target,單體目標
Tarnished Spirit Shield,環形魔盾
Taryn's Shiver,塔林的顫慄之語
"Tasalio, Cleansing Water",淨化之水．塔薩里奧
Tasalio's Sign,塔薩里之印
Taste for Blood,血味
Taste of Hate,恨意
Taunt,嘲諷
Taunt Enemies on Hit with Attacks,攻擊擊中時嘲諷敵人
Taunted an Enemy Recently?,近期有嘲諷敵人?
Taunts nearby Enemies on use,使用時嘲諷附近敵人
Tavukai,狂靈之怒
"Tawhoa, Forest's Strength",森林之力．塔赫亞
Tawhoa's Chosen,塔赫亞的抉擇
Taxing Gauntlets,負重護手
Teak Round Shield,柚木圓盾
Teal,清綠油瓶
Teal Oil,清綠油瓶
Tear of Entropy,亂世之淚
Tear of Purity,純淨之淚
Tecrod's Gaze,特克羅德的邪眼
Tectonic Slam,破體之擊
Tempered Arrowheads,鍛煉的箭頭
Tempered Flesh,冶鍊之體
Tempered Foil,強化細劍
Tempered Mind,冶鍊之意
Tempered Spirit,冶鍊之靈
Tempering (Defense),冶鍊的 (防禦)
Tempest,暴風
Tempest Blast,風暴衝擊
Tempest Shield,暴風之盾
Tempest Shield chains an additional time,暴風之盾額外連鎖一次
Templar,聖堂武僧
TEMPLAR,聖堂武僧
Templar Ascendancy,聖堂武僧昇華職業
Templar Tactician,聖宗軍師
Temple Architects drop an additional Map Currency Item,神殿建築師掉落 1 張額外地圖
Temporal Chains,時空鎖鏈
Temporal Chains has no Reservation if Cast as an Aura,若時空鎖鏈以光環施放沒有保留
Temporal Chains on Hit,擊中造成時空鎖鏈
Temporal Chains:,【時空鎖鏈】:
Temporal Rift,時空裂隙
Temporal Rift has no Reservation,時空裂隙沒有保留
Tempt the Storm,誘惑風暴
Temptation Step,誘惑步伐
Tenacity,不屈不撓
Tenderizer,裂肉之錘
Tentacle Miscreation,古靈實驗者：掃蕩者
Tentacle Whip,觸手鞭擊
Terminus Est,行刑之刃
Terrified,嚇壞的
Territories Unknown,未曉疆域
Territory,領土
Terror,恐懼
Terror Claw,恐懼之牙
Terror Maul,懼靈重錘
Testament,遺囑
Testudo,龜甲盾
Tether,束靈
Thaumaturgical Lure,奇術魚餌
Thaumophage,噬菌體
The Admiral,上將
The Agnostic,不可知論
The Anima Stone,聚魂石
The Annihilating Light,毀滅白光
The Anticipation,懸念
The Anvil,信念之砧
The Ascetic,苦行
The Aylardex,艾拉黛絲
The Baron,男爵
The Beachhead,神諭之殿
The Beast Fur Shawl,獸毛披肩
The Black Cane,黑藤
The Blood Crucible can transform Unique Equipment,血腥匣盒可以轉化傳奇裝備
The Blood Dance,血影
The Blood Reaper,竭血之鐮
The Blood Thorn,血棘
The Blue Dream,碧影夢境
The Blue Nightmare,碧影夢魘
The Brass Dome,堅銅戰罩
The Brine Crown,海王冠冕
The Bringer of Rain,祭禮之雨
The Broken Crown,缺角帝冠
The Builder,建造者
The Cauteriser,燒灼器
The Claim,索取
The Closest Peak,近距高峰
The Coming Calamity,災難臨頭
The Consuming Dark,蠶食之闇
The Covenant,血誓
The Coward's Trial,懦者的試驗
The Crimson Storm,緋紅風暴
The Dancing Dervish,狂舞德爾維希
The Dancing Duo,雙人舞
The Dark Seer,黯黑賢者
The Deep One's Hide,深淵絕壁
"The default is 1.5 times the enemy's base damage, which is the same value","預設值為敵人基礎傷害的 1.5 倍,此設定與遊戲相同"
The default level is the level requirement of the Raise Spectre skill.,預設等級為【喚醒幽魂】需求等級:
"The default level is your character level, capped at 84, which is the same value","預設等級和你的角色等級相同(最高84級),此設定與遊戲相同"
The Devouring Diadem,吞噬之冠
The Divine Font may bless belts,神聖之泉可以祝福腰帶
The Druggery,純貨
The Effect of Chill on you is reversed,冰緩效果對你是相反的
The Effigon,艾非根
The Embalmer,福馬林
The Enmity Divine,惡言聖語
The Ephemeral Bond,短期債券
The Eternal Apple,永恆的蘋果
The Eternity Shroud,永恆屍布
The False Hope,虛假希望
The Felbog Fang,費爾博格獠牙
The first Strongbox Opened in this Area is guarded by an additional Rare Monster,開啟的第一個保險箱額外受到 1 個稀有怪物的保護
The Fledgling,幼雛
The Flow Untethered,潺流不息
The Formless Flame,無形火炬
The Formless Inferno,無形煉獄
The Fracturing Spinner,裂斷蛛絲
The Front Line,前列的線
The Fulcrum,支點
The Ghastly Theatre,恐怖劇院
The Gluttonous Tide,饕餮浪潮
The Goddess Bound,女神的靈縛
The Goddess Scorned,女神的怒炎
The Goddess Unleashed,女神的束縛
The Golden Rule,黃金守則
The Green Dream,青影夢境
The Green Nightmare,青影夢魘
The Grey Spire,斑駁蒼杖
The Gryphon,獅鷲
The Gull,鷗喙
The Halcyon,太平
The Harvest,收割者
The Hidden Blade,隱藏之劍
The Highwayman,高尚之人
The Hungry Loop,惡鬼轉世
The Ignomon,烈陽徽記
The Immortal Will,不朽之意志
The Impaler,穿刺者
The increase to Physical Damage from Strength applies to Projectile Attacks as well as Melee Attacks,力量屬性對近戰攻擊和投射物的物理傷害均會加成
The Infinite Pursuit,無盡之距
The Interrogation,審問
The Iron Fortress,鋼鐵壁壘
The Iron Mass,鐵塊
the item and add it to your build. You can ,來查看或編輯物品並新增到你的流派.
The Ivory Tower,象牙塔
The Jinxed Juju,惡咒護符
The Labyrinth's rewards have been enriched,帝王迷宮的獎勵變豐富了
The Long Winter,凜冽久冬
The Magnate,堅毅之環
The Naming Temporary,暫名
The Nomad,游牧
the number of targets Projectile Splits towards,投射物裂化目標數量
The Oak,橡樹
The Oppressor,壓迫者
The Overflowing Chalice,滿溢聖杯
The Pandemonius,群魔殿
The Pantheon:,眾神殿:
The Pariah,草民
The Perandus Manor,普蘭德斯莊園
The Peregrine,疾風的沉思
The Perfect Form,完美姿態
The Poet's Pen,學富之筆
The Primordial Chain,先祖羈絆
The Princess,女爵
The Putrid Cloister,腐臭迴廊
The Queen's Hunger,女王的渴望
The Rat Cage,疫鼠囚籠
The Red Dream,赤影夢境
The Red Nightmare,赤影夢魘
The Red Trail,赤紅蹤跡
The Restless Ward,無盡之衛
The Retch,嘔吐
The Ring takes no Cut,邪戒不會抽成
The Rippling Thoughts,漣漪冥想
The Saviour,救世主
The Scales of Justice,正義天秤
The Scourge,災害
The Screaming Eagle,鷹嘯
The Searing Touch,熾炎之使
The Shattered Divinity,碎裂之神力
The Siege,圍城
The Signal Fire,狼煙
The Snowblind Grace,雪盲恩惠
The Sorrow of the Divine,神聖哀悼
The Squire,大地主
The Stampede,潰逃之靴
"The stats in the sidebar are always shown in Effective DPS mode, regardless of this setting.","左側欄的統計資料始終是「有效秒傷」模式,不受此設定影響."
The Stormheart,風暴之眼
The Stormwall,風暴堅牆
The Supreme Truth,無上箴言
The Surging Thoughts,湧浪之思想
The Surrender,降伏
The Tactician,智勇軍師
The Taming,元素之章
The Tempest,暴風雨
The Tempest's Binding,風暴的拘束
The Tempest's Liberation,暴雨之解放
The Tempestuous Steel,暴風之鋼
The Three Dragons,三龍戰紀
The Torrent's Reclamation,奔流之開拓
The Twilight Temple,暮色神廟
The Unshattered Will,不滅意志
The Untouchable,不可觸碰
The Vast Horizon,廣闊平地
The Vertex,謎容
The Vigil,監視守夜
The Vinktar Square,維克塔廣場
The Walls,城牆
The Warden's Brand,獄使之印
The Wasp Nest,蜂巢浪湧
The Whispering Ice,冰點低語
The Wise Oak,哲櫟
The Writhing Jar,扭曲之罐
The Yielding Mortality,屈服之死相
their Life as Lightning Damage which cannot Shock,爆炸無法造成感電
Thick Skin,強化之膚
Thickened,加厚的
Thicket Bow,林野獵弓
Thief's Craft,盜賊工藝
Thief's Garb,竊賊之裝
Thief's Torment,竊罪
Thief's Trinket,盜賊飾品
Third Hit,三段擊中
Thirst,渴望
Thirst for Battle,渴望戰鬥
Thirst for Blood,嗜血
Thirst for Horrors,顫慄之飢
This adds the following modifiers:,這將增加以下詞綴:
This also implies that the enemy is Burning.,這將意味著敵人被燃燒.
This also implies that the enemy is Chilled.,這將意味著敵人被冰緩.
This also implies that you are Burning.,這也意味著你在燃燒.
This also implies that you are Chilled.,這也意味著你被冰緩.
This also implies that you are Poisoned.,這也意味著你中毒了.
This also implies that you are Shocked.,這也意味著你被感電.
This also implies that you have been Hit Recently.,這也意味著你近期被擊中.
This also implies that you have Blocked Recently.,這將意味著你近期有格擋.
This also implies that you have Killed Recently.,這也意味著你近期有擊殺.
This also implies that you have used a Skill Recently.,這將意味著你近期有使用技能.
This also implies that your Minions have Killed Recently.,這也意味著你的召喚物近期有擊殺.
This also implies that your Skills have Crit Recently.,這也意味著你近期有暴擊.
This also implies that your Totems have Killed Recently.,這也意味著你的圖騰近期有擊殺.
This Attack and Minion's Melee Strike Skills deal Splash Damage to surrounding targets,此攻擊和召喚物的近戰打擊技能對目標附近造成擴散傷害
This Attack and Minions always Freeze Enemies,攻擊與召喚物擊中時總是冰凍敵人
This Attack and Minions always Poison on Hit,攻擊和召喚物擊中時造成中毒
This Attack and Minions Attacks always Maim on Hit,攻擊和召喚物攻擊擊中造成癱瘓
This Attack and Minions cannot cause Bleeding,攻擊和召喚物無法造成流血
This Attack and Minions cannot inflict Elemental Ailments,攻擊和召喚物無法造成元素異常狀態
This Attack and Minions cause Bleeding,攻擊和召喚物造成流血
This Attack and Minions deal no Chaos Damage,攻擊和召喚物無法造成混沌傷害
This Attack and Minions deal no Elemental Damage,攻擊和召喚物無法造成元素傷害
This Attack and Minions gain Endurance Charges when Stunning Enemies with Melee Damage,此攻擊和召喚物用近戰傷害暈眩敵人時獲得 1 顆耐力球
This Attack and Minions gain Fortify on Melee hit,此攻擊與召喚物近戰命中時獲得護體
This Attack and Minions have Culling Strike,攻擊與召喚物帶有撲殺效果
This Attack and Minions have Point Blank,攻擊與召喚物帶有零點射擊效果
This Attack and Minions inflict Withered on Hit,此攻擊和召喚物擊中時造成凋零
This Attack and Minions Knock Enemies back on Hit,此攻擊和召喚物擊中敵人時造成擊退
This Attack and Minions Poison Enemies on Hit,這個攻擊和召喚物擊中敵人時造成中毒
This Attack and Minions' Attacks always Impale Enemies on Hit,此攻擊和召喚物的攻擊擊中時穿刺敵人
This Attack and Minoins gain a Power Charge on Critical Strike,攻擊與召喚物造成暴擊時獲得暴擊球
This Attack can be Exerted as though it was not a Vaal Skill,此攻擊可以竭盡有如它不是瓦爾技能
This build has unsaved changes.,這個流派的變更還未儲存.
This controls the calculation of the stats shown in this tab.,這個選項卡的面板顯示計算出來的統計信息.
This Curse is applied by Bane,此詛咒被災厄施放
This Curse is Cast as an Aura applying to nearby Enemies,此詛咒以光環施放並對附近敵人造成影響
This is a list of item sets that will be shared,這個物品集列表共享
This is a list of items that will be shared between all of,這個列表中的物品共享在
"This is an older tree version, which may not be fully compatible with the current game version.","這個天賦樹是舊版,可能有個別地方與當前最新版本的遊戲不兼容."
"This is automatically enabled if you have a flask active,","如果有使用藥劑將會自動開啟此狀態,"
This is divided by 4.25 to represent 4 damage types + some chaos,這裡除以 4.25 代表 4 種傷害類型 + 一些渾沌傷害
This Map's Modifiers to Quantity of Items found also apply to Rarity,此地圖的物品數量詞綴同時套用在物品稀有度上
This Map's Quality also applies to Rarity of Items found,該地圖的品質加成將同時套用在掉落物品稀有度上
This option is specific to Oni-Goroshi.,這是【西拉氣流殺】的選項.
This option prevents EE from being reset by the hit damage of your main skill.,此選項可防止【元素之相】被你主技能的擊中傷害重置.
This overrides the default damage amount used to estimate your physical damage reduction from armour.,設定傷害量會影響你來自護甲的物理傷害減免估算
This overrides the default enemy level used to estimate your hit and evade chances.,設定敵人等級會影響你的命中和閃避機率估算.
This Passive applies to your Minions instead of you,此天賦能力由你的招喚物獲得
This Skill and Minions gain a Frenzy Charge when a Mine is Detonated targeting an Enemy,當地雷對敵人引爆時，此技能和召喚物獲得 1 顆狂怒球
This Skill and Minions gain a Power Charge when a Mine is Detonated targeting an Enemy,當地雷對敵人引爆時，此技能和召喚物獲得 1 顆暴擊球
This Skill and Minions gain a Power Charge when your Trap is triggered by an Enemy,當你的陷阱被敵人觸發時，此技能和召喚物獲得 1 顆暴擊球
This Skill and Minions have gain a Frenzy Charge when your Trap is triggered by an Enemy,當你的陷阱被敵人觸發時，此技能和召喚物獲得 1 顆狂怒球
This Skill and Minions Spend Life instead of Mana,此技能和召喚物將消耗生命使用
This Skill and Minions Spend Life instead of Mana for Skill Effects,此技能和召喚物的技能效果消耗生命而非魔力
This Skill can only be used with Axes and Swords,該技能只能由斧類和劍類發動
This Skill can only be used with Axes or Swords,此技能只能被斧或劍使用
This Skill can only be used with Bows,此技能只能被弓使用
This Skill can only be used with Bows and Wands,該技能只能由弓類和法杖發動
This Skill can only be used with Bows or Wands,此技能只能被弓和法杖使用
This Skill can only be used with Claws and Daggers,該技能限定爪類和匕首
This Skill can only be used with Claws or Daggers,此技能只能被爪和匕首使用
"This Skill can only be used with Maces, Sceptres and Staves",該技能只能由鎚類、短杖類、長杖類發動
"This Skill can only be used with Maces, Sceptres or Staves",此技能只能被錘、權杖和長杖使用
This Skill cannot Knock Enemies Back,此技能無法擊退敵人
This Skill Costs nothing,此技能不消耗東西
This Skill counts as Triggered,此技能視為觸發型
This Skill gains Intensity when used,使用時，該技能獲得【法術凝聚】
"This Skill gains Intensity when used, up to a maximum of 4",使用時，此技能獲得【法術凝聚】，最多 4 層
This Skill is Triggered by a Unique Item,此技能被傳奇道具觸發
"This Skill is Triggered by Arcanist Brand, from the Brand's location",從奧術烙印的位置觸發此技能
This Skill is Triggered by Attacks Exerted by Infernal Cry,此技能被煉獄戰吼的竭盡攻擊觸發
This Skill is Triggered by Snipe,此技能被狙擊觸發
This Skill is Triggered by the Item granting it,此技能透過物品給予而被觸發
This Skill is used by Mirage Warriors Summoned by General's Cry,此技能被將軍戰吼召喚的幻影戰士使用
This Skill will Trigger Shockwave Skill on Hit,此技能擊中時觸發震波技能
this Skill's Area of Effect,此技能的範圍效果
This Skill's Cast Speed cannot be modified,此技能的施放速度不能被詞綴
This Skill's Cooldown does not recover during its effect,此技能的冷卻時間在它的效果持續時間內不會恢復
This Skill's Duration cannot be modified,此技能的持續時間無法被調整
"This Skill's Mana Reservation is the total of the Mana Reservations of Supported Skills, and cannot be further modified",此技能的魔力保留為被輔助技能的總魔力保留，且不能被改變
This Spell and Minion's Spells Repeat an additional time,此法術和召喚物的法術重複額外 1 次
This Spell and Minions always Freeze Enemies,此法術和召喚物必定冰凍敵人
This Spell and Minions always Poison on Hit,此法術和召喚物擊中時必定造成中毒
This Spell and Minions cannot inflict Elemental Ailments,此法術和召喚物不能造成元素異常狀態
This Spell and Minions gain a Power Charge on Critical Strike,此法術和召喚物暴擊時獲得 1 顆暴擊球
This Spell and Minions gain Cruelty on Hit,此法術和召喚物擊中時獲得殘酷
This Spell and Minions inflict Cold Exposure on Hit,此法術和召喚物擊中時造成冰冷曝曬
This Spell and Minions inflict Fire Exposure on Hit,此法術和召喚物擊中時造成火焰曝曬
"This Spell and Minions inflict Fire, Cold, and Lightning Exposure on Hit",此法術和召喚物擊中時造成火焰、冰冷和閃電曝曬
This Spell and Minions inflict Lightning Exposure on Hit,此法術和召喚物擊中時造成閃電曝
This Spell and Minions inflict Withered on Hit,此法術和召喚物擊中時造成凋零
This Spell and Minions knock Enemies Back on Hit,此法術和召喚物擊中時擊退敵人
This Spell and Minions Poison Enemies on Hit,此法術和召喚物擊中時中毒敵人
This Spell gains Intensity when you Cast it,當你施放此法術時，它獲得強化
This Spell is Triggered by a Crafted Modifier,此法術被工藝詞綴觸發
This Spell is Triggered by Attacks Exerted by Battlemage's Cry,此法術被戰法戰吼的竭盡攻擊觸發
This Spell is Triggered when Equipped,裝備時觸發此技能
This Spell is Triggered when Gained,當獲得時觸發此法術
This Spell's Cast Speed cannot be modified,此技能的施放速度不能被詞綴
This will allow the skill to benefit from modifiers on the item that affect socketed gems.,這將會使物品上的技能寶石受到物品上的詞綴加成.
this will apply Shock's Damage Taken modifier to the enemy.,這將對敵人應用感電傷害的加成.
this will apply the 6% life regen modifier granted by Consecrated Ground.,這將應用【奉獻地面】的 獲得 6% 生命回復加成.
This will enable the Adrenaline buff:,這將開啟【腎上腺素】增益效果:
This will enable the Divinity buff:,這將開啟【神性】增益效果:
this will enable the Onslaught buff itself. (20% increased Attack/Cast/Movement Speed),這將開啟【猛攻】增益效果. (攻擊/施放/移動速度增加 20% )
this will enable the Tailwind buff itself. (Grants 8% increased Action Speed),這將開啟【流順之風】增益效果. (增加 8% 行動速度)
this will enable the Tailwind buff itself. (You are 10% faster),這將開啟【流順之風】增益效果. (你比平常快 10%)
This will enable the Unholy Might buff. (Gain 30% of Physical Damage as Extra Chaos Damage),這將開啟【不潔之力】增益效果. (物理傷害的 30% 額外混沌傷害)
"this will lessen the enemy's chance to hit, and thereby increase your evade chance.",這將減少敵人的擊中機率從而增加你的閃避機率.
Thorium Spirit Shield,暗金魔盾
Thorn Arrows,荊棘箭
Thorn Rapier,棘刺細劍
Thought Barrier,思想障礙
Thousand Ribbons,千縷
Thousand Teeth Temu,千齒
Thread,綢帶
Thread of Hope,希望之絃
Three Hands Talisman,三手魔符
Three Rat Talisman,三鼠魔符
Three-step Assault,三步突擊
Thresher,之鏈
Thresher Claw,撕裂尖爪
Thrill Killer,驚險殺手
Thrill of the Kill,殺戮快感
Thrill Seeker,尋歡者
Throat Stabber,刺喉刃
Throatseeker,割喉者
Throw,投擲
Throw an additional Mine,放置 1 個額外的地雷
Throw Dynamite,投擲炸藥
Throw Fire,擲火
Throw Flare,投擲閃光
Throws a Remote Mine which uses the Supported Skill when detonated,投擲 1 個遙控地雷，爆炸時使用被輔助的技能
Throws a Remote Mine which uses this Skill when detonated,投擲 1 個遙控地雷，當引爆時使用此技能
Throws a Trap which uses this Skill when Triggered,當觸發時使用此技能投擲 1 個陷阱
Throws Bear Traps,投擲捕熊陷阱
Throws Caustic Bombs,使用腐蝕炸彈
Throws Chaos Bombs,投擲渾沌炸彈
Throws Fire Bombs,投擲火焰炸彈
Thrusting One Handed Sword,細劍
Thunder,雷鳴
Thunder of the Dawn,曙雷
Thunderfist,轟天雷
Thunderous Salvos,雷鳴轟炸
Thundersight,雷視
Thunderstruck,雷擊
Tidebreaker,破浪者
Tiger Hook,虎鉤
Tiger Sword,虎牙巨劍
Tiger's Paw,虎爪刃
Timber Axe,裂木巨斧
Time before death:,存活時間:
Time of Need,緊急時刻
Timeclasp,時光之握
Timeless,永恆
Timeless Jewel,永恆珠寶
Timetwist,時空扭曲
Timeworn Claw,遠古戰爪
Tinkerskin,焊匠之膚
"Tip: After you finish importing a character, make sure you update the bandit choices,","提示: 角色匯入完成後,請務必選擇盜賊選項,"
Tip: Hold Shift to hide this tooltip.,提示: 按住 Shift 鍵可以隱藏此提示.
Tip: Press Ctrl+D to disable the display of stat differences.,提示: 可使用 Ctrl+D 關閉差異統計.
Tip: Press Ctrl+D to enable the display of stat differences.,提示: 可使用 Ctrl+D 開啟差異統計.
Tip: Right click this socket to go to the items page and choose the jewel for this socket.,提示: 右鍵單擊插槽跳轉到物品頁然後更換此插槽的珠寶.
"Tip: To reach this node by a different path, hold Shift, then trace the path and click this node","提示: 選擇其它到達這個天賦的路徑,請按住 Shift 鍵,然後鼠標選擇路徑並單擊確認"
Tip: You can copy/paste socket groups using Ctrl+C and Ctrl+V.,提示: 你可以使用 Ctrl+C 和 Ctrl+V 來複製/貼上插槽
Tireless,冷酷
Tireless Soldier,堅韌的士兵
Titan Gauntlets,巨人護手
Titan Greaves,巨人脛甲
Titanic Impacts,巨大影響
Titanic Swings,泰坦揮擊
Titanium Spirit Shield,巨人魔盾
Titucius' Span,提圖庫斯的堅盾
to 40% increased Damage with Hits to targets,擊中目標時最多增加 40%
to 50% increased Damage with Hits to targets,擊中目標時最多增加 50%
"To be used with totems, minions, shot-gunning of projectiles (e.g., VD, magma-orbs),","一般用在圖騰、召喚、可多次擊中的投射物(例如:天雷之珠),"
To Dust,塵埃落定
"To import a build, enter the code here:",在此處輸入 POB 代碼匯入流派
"To start importing a character, enter the character's account name:",輸入 '角色帳號名' 後點擊 '開始' 匯入角色
to surrounding targets,雙持打擊時副手武器對周圍敵人造成擴散傷害
to surrounding targets while wielding a Mace,持 1 把錘時雙持打擊對附近目標造成擴散傷害
to the number of targets Projectiles Split towards,作用於向目標發射投射物的分裂數量
to you and Allies,免疫元素異常狀態
Tolerance,寬容
Tomahawk,征戰之斧
Tombfist,陵拳
Tool,工具
Topaz Flask,黃玉藥劑
Topaz Ring,黃玉戒指
Torc,頸環
Torchoak Step,火柳之步
Torment,責難
Tormented Spirits haunt Wraeclast,罪魂縈繞在瓦爾克拉斯的大地上
Tornado,龍捲風
Tornado Shot,龍捲射擊
Tornado Shot fires an additional secondary Projectile,龍捲射擊發射 1 個額外二段投射物
Tornado Wand,狂風法杖
Torture,暴虐
Torture Cage,刑罰頭籠
Total,總計
Total Base:,總計基礎:
Total damage from the enemy:,來自敵人的總傷害:
Total Damage per Ignite,每次點燃總傷害
Total Damage per Ignite:,每次點燃總傷害:
Total Damage per Poison,每次中毒總傷害
Total Damage per Poison:,每次中毒總傷害:
Total damage taken after mitigation:,總承受傷害(減輕後):
Total damage taken from the enemy after taken as:,來自敵人的總承受傷害(轉換後):
Total damage:,總傷害:
Total Degen:,總計每秒扣血:
Total DPS,總計秒傷
Total DPS inc. DoT:,總計秒傷(含持續):
Total DPS inc. Ignite,總計秒傷(含點燃)
Total DPS inc. Ignite:,總計秒傷(含點燃):
Total DPS inc. Impale:,總計秒傷(含穿刺):
Total DPS inc. Poison,總計秒傷(含中毒)
Total DPS inc. Poison:,總計秒傷(含中毒):
Total DPS:,總計秒傷:
Total Effective Dot Pool,總計有效持續血池
Total from Base:,基礎總計:
Total from Dexterity:,敏捷總計:
Total from Intelligence:,智慧總計:
Total from Item:,物品總計:
Total from Skill:,技能總計:
Total from Strength:,力量總計:
Total from Tree:,天賦總計:
Total Increased:,總計增加:
Total leeched per instance:,每個實例總偷取:
Total Life,最大生命
Total life protected:,生命與能盾需承受:
Total Life:,總生命:
Total Mana,最大魔力
Total Mana:,總魔力:
Total Mirage DPS:,總計幻影射手秒傷:
Total More:,總計更多:
Total Multiplier:,總計加成:
Total Net Regen:,淨回復:
Total Pool,總血池
Total Pool:,總血池:
Total Recovery per second from Life Leech is Doubled,來自生命偷取的總回復為 2 倍
Total Recovery per second from Life Leech is doubled,來自生命偷取的每秒總恢復加倍
Total Recovery per second from Life Leech is doubled\nMaximum total Life Recovery per second from Leech is doubled\nLife Regeneration has no effect,來自生命偷取的每秒總恢復加倍\n生命偷取每秒最大總恢復加倍\n生命回復沒有效果
Total:,總計:
TotalPool,總血池
Totem,圖騰
Totem and Brand Critical Strike Chance,圖騰和烙印暴擊率
Totem and Brand Critical Strike Multiplier,圖騰和烙印暴擊加成
Totem and Brand Damage,圖騰和烙印傷害
Totem and Brand Damage and Critical Strike Chance,圖騰和烙印傷害和暴擊率
"Totem and Brand Damage, Totem Placement Speed",圖騰和烙印傷害傷害，圖騰放置速度
Totem Attack and Cast Speed,圖騰攻擊和施放速度
"Totem Attack and Cast Speed, Brand Cast Speed",圖騰攻擊和施放速度，烙印施放速度
"Totem Attack and Cast Speed, Brand Frequency","圖騰攻擊, 施放速度，烙印啟動速度"
Totem Attack and Placement Speed,圖騰攻擊和放置速度
Totem Critical Strike Chance,圖騰暴擊率
Totem Critical Strike Chance and Multiplier,圖騰暴擊率和加成
Totem Critical Strike Multiplier,圖騰暴擊加成
Totem Damage,圖騰傷害
Totem Damage and Attack Speed,圖騰傷害和攻擊速度
Totem Damage and Placement Speed,圖騰傷害和放置速度
Totem Damage Mastery,圖騰傷害專精
"Totem Damage, Attack and Cast Speed","圖騰傷害, 攻擊和施放速度"
"Totem Duration, Attack and Cast Speed",圖騰持續時間，攻擊和施放速度
Totem Life and Elemental Resistances,圖騰生命和元素抗性
